11 x 1 = 0-11, 11 x 2 = 0-22, 11 x 3 = 1-7, 11 x 4 = 1-18, 11 x 5 = 2-3, 11 x 6 = 2-14, 11 x 7 = 2-25, 11 x 8 = 3-10, 11 x 9 = 3-21, 11 x 10 = 4-6, 11 x 11 = 4-17, 11 x 12 = 5-2, 11 x 13 = 5-13, 11 x 14 = 5-24, 11 x 15 = 6-9, 11 x 16 = 6-20, 11 x 17 = 7-5, 11 x 18 = 7-16, 11 x 19 = 8-1, 11 x 20 = 8-12, 11 x 21 = 8-23, 11 x 22 = 9-8, 11 x 23 = 9-19, 11 x 24 = 10-4, 11 x 25 = 10-15, 
12 x 1 = 0-12, 12 x 2 = 0-24, 12 x 3 = 1-10, 12 x 4 = 1-22, 12 x 5 = 2-8, 12 x 6 = 2-20, 12 x 7 = 3-6, 12 x 8 = 3-18, 12 x 9 = 4-4, 12 x 10 = 4-16, 12 x 11 = 5-2, 12 x 12 = 5-14, 12 x 13 = 6-0, 12 x 14 = 6-12, 12 x 15 = 6-24, 12 x 16 = 7-10, 12 x 17 = 7-22, 12 x 18 = 8-8, 12 x 19 = 8-20, 12 x 20 = 9-6, 12 x 21 = 9-18, 12 x 22 = 10-4, 12 x 23 = 10-16, 12 x 24 = 11-2, 12 x 25 = 11-14, 
13 x 1 = 0-13, 13 x 2 = 1-0, 13 x 3 = 1-13, 13 x 4 = 2-0, 13 x 5 = 2-13, 13 x 6 = 3-0, 13 x 7 = 3-13, 13 x 8 = 4-0, 13 x 9 = 4-13, 13 x 10 = 5-0, 13 x 11 = 5-13, 13 x 12 = 6-0, 13 x 13 = 6-13, 13 x 14 = 7-0, 13 x 15 = 7-13, 13 x 16 = 8-0, 13 x 17 = 8-13, 13 x 18 = 9-0, 13 x 19 = 9-13, 13 x 20 = 10-0, 13 x 21 = 10-13, 13 x 22 = 11-0, 13 x 23 = 11-13, 13 x 24 = 12-0, 13 x 25 = 12-13, 
14 x 1 = 0-14, 14 x 2 = 1-2, 14 x 3 = 1-16, 14 x 4 = 2-4, 14 x 5 = 2-18, 14 x 6 = 3-6, 14 x 7 = 3-20, 14 x 8 = 4-8, 14 x 9 = 4-22, 14 x 10 = 5-10, 14 x 11 = 5-24, 14 x 12 = 6-12, 14 x 13 = 7-0, 14 x 14 = 7-14, 14 x 15 = 8-2, 14 x 16 = 8-16, 14 x 17 = 9-4, 14 x 18 = 9-18, 14 x 19 = 10-6, 14 x 20 = 10-20, 14 x 21 = 11-8, 14 x 22 = 11-22, 14 x 23 = 12-10, 14 x 24 = 12-24, 14 x 25 = 13-12, 
15 x 1 = 0-15, 15 x 2 = 1-4, 15 x 3 = 1-19, 15 x 4 = 2-8, 15 x 5 = 2-23, 15 x 6 = 3-12, 15 x 7 = 4-1, 15 x 8 = 4-16, 15 x 9 = 5-5, 15 x 10 = 5-20, 15 x 11 = 6-9, 15 x 12 = 6-24, 15 x 13 = 7-13, 15 x 14 = 8-2, 15 x 15 = 8-17, 15 x 16 = 9-6, 15 x 17 = 9-21, 15 x 18 = 10-10, 15 x 19 = 10-25, 15 x 20 = 11-14, 15 x 21 = 12-3, 15 x 22 = 12-18, 15 x 23 = 13-7, 15 x 24 = 13-22, 15 x 25 = 14-11, 
16 x 1 = 0-16, 16 x 2 = 1-6, 16 x 3 = 1-22, 16 x 4 = 2-12, 16 x 5 = 3-2, 16 x 6 = 3-18, 16 x 7 = 4-8, 16 x 8 = 4-24, 16 x 9 = 5-14, 16 x 10 = 6-4, 16 x 11 = 6-20, 16 x 12 = 7-10, 16 x 13 = 8-0, 16 x 14 = 8-16, 16 x 15 = 9-6, 16 x 16 = 9-22, 16 x 17 = 10-12, 16 x 18 = 11-2, 16 x 19 = 11-18, 16 x 20 = 12-8, 16 x 21 = 12-24, 16 x 22 = 13-14, 16 x 23 = 14-4, 16 x 24 = 14-20, 16 x 25 = 15-10, 
17 x 1 = 0-17, 17 x 2 = 1-8, 17 x 3 = 1-25, 17 x 4 = 2-16, 17 x 5 = 3-7, 17 x 6 = 3-24, 17 x 7 = 4-15, 17 x 8 = 5-6, 17 x 9 = 5-23, 17 x 10 = 6-14, 17 x 11 = 7-5, 17 x 12 = 7-22, 17 x 13 = 8-13, 17 x 14 = 9-4, 17 x 15 = 9-21, 17 x 16 = 10-12, 17 x 17 = 11-3, 17 x 18 = 11-20, 17 x 19 = 12-11, 17 x 20 = 13-2, 17 x 21 = 13-19, 17 x 22 = 14-10, 17 x 23 = 15-1, 17 x 24 = 15-18, 17 x 25 = 16-9, 
18 x 1 = 0-18, 18 x 2 = 1-10, 18 x 3 = 2-2, 18 x 4 = 2-20, 18 x 5 = 3-12, 18 x 6 = 4-4, 18 x 7 = 4-22, 18 x 8 = 5-14, 18 x 9 = 6-6, 18 x 10 = 6-24, 18 x 11 = 7-16, 18 x 12 = 8-8, 18 x 13 = 9-0, 18 x 14 = 9-18, 18 x 15 = 10-10, 18 x 16 = 11-2, 18 x 17 = 11-20, 18 x 18 = 12-12, 18 x 19 = 13-4, 18 x 20 = 13-22, 18 x 21 = 14-14, 18 x 22 = 15-6, 18 x 23 = 15-24, 18 x 24 = 16-16, 18 x 25 = 17-8, 
19 x 1 = 0-19, 19 x 2 = 1-12, 19 x 3 = 2-5, 19 x 4 = 2-24, 19 x 5 = 3-17, 19 x 6 = 4-10, 19 x 7 = 5-3, 19 x 8 = 5-22, 19 x 9 = 6-15, 19 x 10 = 7-8, 19 x 11 = 8-1, 19 x 12 = 8-20, 19 x 13 = 9-13, 19 x 14 = 10-6, 19 x 15 = 10-25, 19 x 16 = 11-18, 19 x 17 = 12-11, 19 x 18 = 13-4, 19 x 19 = 13-23, 19 x 20 = 14-16, 19 x 21 = 15-9, 19 x 22 = 16-2, 19 x 23 = 16-21, 19 x 24 = 17-14, 19 x 25 = 18-7, 
20 x 1 = 0-20, 20 x 2 = 1-14, 20 x 3 = 2-8, 20 x 4 = 3-2, 20 x 5 = 3-22, 20 x 6 = 4-16, 20 x 7 = 5-10, 20 x 8 = 6-4, 20 x 9 = 6-24, 20 x 10 = 7-18, 20 x 11 = 8-12, 20 x 12 = 9-6, 20 x 13 = 10-0, 20 x 14 = 10-20, 20 x 15 = 11-14, 20 x 16 = 12-8, 20 x 17 = 13-2, 20 x 18 = 13-22, 20 x 19 = 14-16, 20 x 20 = 15-10, 20 x 21 = 16-4, 20 x 22 = 16-24, 20 x 23 = 17-18, 20 x 24 = 18-12, 20 x 25 = 19-6, 
21 x 1 = 0-21, 21 x 2 = 1-16, 21 x 3 = 2-11, 21 x 4 = 3-6, 21 x 5 = 4-1, 21 x 6 = 4-22, 21 x 7 = 5-17, 21 x 8 = 6-12, 21 x 9 = 7-7, 21 x 10 = 8-2, 21 x 11 = 8-23, 21 x 12 = 9-18, 21 x 13 = 10-13, 21 x 14 = 11-8, 21 x 15 = 12-3, 21 x 16 = 12-24, 21 x 17 = 13-19, 21 x 18 = 14-14, 21 x 19 = 15-9, 21 x 20 = 16-4, 21 x 21 = 16-25, 21 x 22 = 17-20, 21 x 23 = 18-15, 21 x 24 = 19-10, 21 x 25 = 20-5, 
22 x 1 = 0-22, 22 x 2 = 1-18, 22 x 3 = 2-14, 22 x 4 = 3-10, 22 x 5 = 4-6, 22 x 6 = 5-2, 22 x 7 = 5-24, 22 x 8 = 6-20, 22 x 9 = 7-16, 22 x 10 = 8-12, 22 x 11 = 9-8, 22 x 12 = 10-4, 22 x 13 = 11-0, 22 x 14 = 11-22, 22 x 15 = 12-18, 22 x 16 = 13-14, 22 x 17 = 14-10, 22 x 18 = 15-6, 22 x 19 = 16-2, 22 x 20 = 16-24, 22 x 21 = 17-20, 22 x 22 = 18-16, 22 x 23 = 19-12, 22 x 24 = 20-8, 22 x 25 = 21-4, 
23 x 1 = 0-23, 23 x 2 = 1-20, 23 x 3 = 2-17, 23 x 4 = 3-14, 23 x 5 = 4-11, 23 x 6 = 5-8, 23 x 7 = 6-5, 23 x 8 = 7-2, 23 x 9 = 7-25, 23 x 10 = 8-22, 23 x 11 = 9-19, 23 x 12 = 10-16, 23 x 13 = 11-13, 23 x 14 = 12-10, 23 x 15 = 13-7, 23 x 16 = 14-4, 23 x 17 = 15-1, 23 x 18 = 15-24, 23 x 19 = 16-21, 23 x 20 = 17-18, 23 x 21 = 18-15, 23 x 22 = 19-12, 23 x 23 = 20-9, 23 x 24 = 21-6, 23 x 25 = 22-3, 
24 x 1 = 0-24, 24 x 2 = 1-22, 24 x 3 = 2-20, 24 x 4 = 3-18, 24 x 5 = 4-16, 24 x 6 = 5-14, 24 x 7 = 6-12, 24 x 8 = 7-10, 24 x 9 = 8-8, 24 x 10 = 9-6, 24 x 11 = 10-4, 24 x 12 = 11-2, 24 x 13 = 12-0, 24 x 14 = 12-24, 24 x 15 = 13-22, 24 x 16 = 14-20, 24 x 17 = 15-18, 24 x 18 = 16-16, 24 x 19 = 17-14, 24 x 20 = 18-12, 24 x 21 = 19-10, 24 x 22 = 20-8, 24 x 23 = 21-6, 24 x 24 = 22-4, 24 x 25 = 23-2, 
25 x 1 = 0-25, 25 x 2 = 1-24, 25 x 3 = 2-23, 25 x 4 = 3-22, 25 x 5 = 4-21, 25 x 6 = 5-20, 25 x 7 = 6-19, 25 x 8 = 7-18, 25 x 9 = 8-17, 25 x 10 = 9-16, 25 x 11 = 10-15, 25 x 12 = 11-14, 25 x 13 = 12-13, 25 x 14 = 13-12, 25 x 15 = 14-11, 25 x 16 = 15-10, 25 x 17 = 16-9, 25 x 18 = 17-8, 25 x 19 = 18-7, 25 x 20 = 19-6, 25 x 21 = 20-5, 25 x 22 = 21-4, 25 x 23 = 22-3, 25 x 24 = 23-2, 25 x 25 = 24-1, 
