0-11 x 0-1 = 0-11, 0-11 x 0-2 = 0-22, 0-11 x 0-3 = 0-33, 0-11 x 0-4 = 1-9, 0-11 x 0-5 = 1-20, 0-11 x 0-6 = 1-31, 0-11 x 0-7 = 2-7, 0-11 x 0-8 = 2-18, 0-11 x 0-9 = 2-29, 0-11 x 0-10 = 3-5, 0-11 x 0-11 = 3-16, 0-11 x 0-12 = 3-27, 0-11 x 0-13 = 4-3, 0-11 x 0-14 = 4-14, 0-11 x 0-15 = 4-25, 0-11 x 0-16 = 5-1, 0-11 x 0-17 = 5-12, 0-11 x 0-18 = 5-23, 0-11 x 0-19 = 5-34, 0-11 x 0-20 = 6-10, 0-11 x 0-21 = 6-21, 0-11 x 0-22 = 6-32, 0-11 x 0-23 = 7-8, 0-11 x 0-24 = 7-19, 0-11 x 0-25 = 7-30, 0-11 x 0-26 = 8-6, 0-11 x 0-27 = 8-17, 0-11 x 0-28 = 8-28, 0-11 x 0-29 = 9-4, 0-11 x 0-30 = 9-15, 0-11 x 0-31 = 9-26, 0-11 x 0-32 = 10-2, 0-11 x 0-33 = 10-13, 0-11 x 0-34 = 10-24, 
0-12 x 0-1 = 0-12, 0-12 x 0-2 = 0-24, 0-12 x 0-3 = 1-1, 0-12 x 0-4 = 1-13, 0-12 x 0-5 = 1-25, 0-12 x 0-6 = 2-2, 0-12 x 0-7 = 2-14, 0-12 x 0-8 = 2-26, 0-12 x 0-9 = 3-3, 0-12 x 0-10 = 3-15, 0-12 x 0-11 = 3-27, 0-12 x 0-12 = 4-4, 0-12 x 0-13 = 4-16, 0-12 x 0-14 = 4-28, 0-12 x 0-15 = 5-5, 0-12 x 0-16 = 5-17, 0-12 x 0-17 = 5-29, 0-12 x 0-18 = 6-6, 0-12 x 0-19 = 6-18, 0-12 x 0-20 = 6-30, 0-12 x 0-21 = 7-7, 0-12 x 0-22 = 7-19, 0-12 x 0-23 = 7-31, 0-12 x 0-24 = 8-8, 0-12 x 0-25 = 8-20, 0-12 x 0-26 = 8-32, 0-12 x 0-27 = 9-9, 0-12 x 0-28 = 9-21, 0-12 x 0-29 = 9-33, 0-12 x 0-30 = 10-10, 0-12 x 0-31 = 10-22, 0-12 x 0-32 = 10-34, 0-12 x 0-33 = 11-11, 0-12 x 0-34 = 11-23, 
0-13 x 0-1 = 0-13, 0-13 x 0-2 = 0-26, 0-13 x 0-3 = 1-4, 0-13 x 0-4 = 1-17, 0-13 x 0-5 = 1-30, 0-13 x 0-6 = 2-8, 0-13 x 0-7 = 2-21, 0-13 x 0-8 = 2-34, 0-13 x 0-9 = 3-12, 0-13 x 0-10 = 3-25, 0-13 x 0-11 = 4-3, 0-13 x 0-12 = 4-16, 0-13 x 0-13 = 4-29, 0-13 x 0-14 = 5-7, 0-13 x 0-15 = 5-20, 0-13 x 0-16 = 5-33, 0-13 x 0-17 = 6-11, 0-13 x 0-18 = 6-24, 0-13 x 0-19 = 7-2, 0-13 x 0-20 = 7-15, 0-13 x 0-21 = 7-28, 0-13 x 0-22 = 8-6, 0-13 x 0-23 = 8-19, 0-13 x 0-24 = 8-32, 0-13 x 0-25 = 9-10, 0-13 x 0-26 = 9-23, 0-13 x 0-27 = 10-1, 0-13 x 0-28 = 10-14, 0-13 x 0-29 = 10-27, 0-13 x 0-30 = 11-5, 0-13 x 0-31 = 11-18, 0-13 x 0-32 = 11-31, 0-13 x 0-33 = 12-9, 0-13 x 0-34 = 12-22, 
0-14 x 0-1 = 0-14, 0-14 x 0-2 = 0-28, 0-14 x 0-3 = 1-7, 0-14 x 0-4 = 1-21, 0-14 x 0-5 = 2-0, 0-14 x 0-6 = 2-14, 0-14 x 0-7 = 2-28, 0-14 x 0-8 = 3-7, 0-14 x 0-9 = 3-21, 0-14 x 0-10 = 4-0, 0-14 x 0-11 = 4-14, 0-14 x 0-12 = 4-28, 0-14 x 0-13 = 5-7, 0-14 x 0-14 = 5-21, 0-14 x 0-15 = 6-0, 0-14 x 0-16 = 6-14, 0-14 x 0-17 = 6-28, 0-14 x 0-18 = 7-7, 0-14 x 0-19 = 7-21, 0-14 x 0-20 = 8-0, 0-14 x 0-21 = 8-14, 0-14 x 0-22 = 8-28, 0-14 x 0-23 = 9-7, 0-14 x 0-24 = 9-21, 0-14 x 0-25 = 10-0, 0-14 x 0-26 = 10-14, 0-14 x 0-27 = 10-28, 0-14 x 0-28 = 11-7, 0-14 x 0-29 = 11-21, 0-14 x 0-30 = 12-0, 0-14 x 0-31 = 12-14, 0-14 x 0-32 = 12-28, 0-14 x 0-33 = 13-7, 0-14 x 0-34 = 13-21, 
0-15 x 0-1 = 0-15, 0-15 x 0-2 = 0-30, 0-15 x 0-3 = 1-10, 0-15 x 0-4 = 1-25, 0-15 x 0-5 = 2-5, 0-15 x 0-6 = 2-20, 0-15 x 0-7 = 3-0, 0-15 x 0-8 = 3-15, 0-15 x 0-9 = 3-30, 0-15 x 0-10 = 4-10, 0-15 x 0-11 = 4-25, 0-15 x 0-12 = 5-5, 0-15 x 0-13 = 5-20, 0-15 x 0-14 = 6-0, 0-15 x 0-15 = 6-15, 0-15 x 0-16 = 6-30, 0-15 x 0-17 = 7-10, 0-15 x 0-18 = 7-25, 0-15 x 0-19 = 8-5, 0-15 x 0-20 = 8-20, 0-15 x 0-21 = 9-0, 0-15 x 0-22 = 9-15, 0-15 x 0-23 = 9-30, 0-15 x 0-24 = 10-10, 0-15 x 0-25 = 10-25, 0-15 x 0-26 = 11-5, 0-15 x 0-27 = 11-20, 0-15 x 0-28 = 12-0, 0-15 x 0-29 = 12-15, 0-15 x 0-30 = 12-30, 0-15 x 0-31 = 13-10, 0-15 x 0-32 = 13-25, 0-15 x 0-33 = 14-5, 0-15 x 0-34 = 14-20, 
0-16 x 0-1 = 0-16, 0-16 x 0-2 = 0-32, 0-16 x 0-3 = 1-13, 0-16 x 0-4 = 1-29, 0-16 x 0-5 = 2-10, 0-16 x 0-6 = 2-26, 0-16 x 0-7 = 3-7, 0-16 x 0-8 = 3-23, 0-16 x 0-9 = 4-4, 0-16 x 0-10 = 4-20, 0-16 x 0-11 = 5-1, 0-16 x 0-12 = 5-17, 0-16 x 0-13 = 5-33, 0-16 x 0-14 = 6-14, 0-16 x 0-15 = 6-30, 0-16 x 0-16 = 7-11, 0-16 x 0-17 = 7-27, 0-16 x 0-18 = 8-8, 0-16 x 0-19 = 8-24, 0-16 x 0-20 = 9-5, 0-16 x 0-21 = 9-21, 0-16 x 0-22 = 10-2, 0-16 x 0-23 = 10-18, 0-16 x 0-24 = 10-34, 0-16 x 0-25 = 11-15, 0-16 x 0-26 = 11-31, 0-16 x 0-27 = 12-12, 0-16 x 0-28 = 12-28, 0-16 x 0-29 = 13-9, 0-16 x 0-30 = 13-25, 0-16 x 0-31 = 14-6, 0-16 x 0-32 = 14-22, 0-16 x 0-33 = 15-3, 0-16 x 0-34 = 15-19, 
0-17 x 0-1 = 0-17, 0-17 x 0-2 = 0-34, 0-17 x 0-3 = 1-16, 0-17 x 0-4 = 1-33, 0-17 x 0-5 = 2-15, 0-17 x 0-6 = 2-32, 0-17 x 0-7 = 3-14, 0-17 x 0-8 = 3-31, 0-17 x 0-9 = 4-13, 0-17 x 0-10 = 4-30, 0-17 x 0-11 = 5-12, 0-17 x 0-12 = 5-29, 0-17 x 0-13 = 6-11, 0-17 x 0-14 = 6-28, 0-17 x 0-15 = 7-10, 0-17 x 0-16 = 7-27, 0-17 x 0-17 = 8-9, 0-17 x 0-18 = 8-26, 0-17 x 0-19 = 9-8, 0-17 x 0-20 = 9-25, 0-17 x 0-21 = 10-7, 0-17 x 0-22 = 10-24, 0-17 x 0-23 = 11-6, 0-17 x 0-24 = 11-23, 0-17 x 0-25 = 12-5, 0-17 x 0-26 = 12-22, 0-17 x 0-27 = 13-4, 0-17 x 0-28 = 13-21, 0-17 x 0-29 = 14-3, 0-17 x 0-30 = 14-20, 0-17 x 0-31 = 15-2, 0-17 x 0-32 = 15-19, 0-17 x 0-33 = 16-1, 0-17 x 0-34 = 16-18, 
0-18 x 0-1 = 0-18, 0-18 x 0-2 = 1-1, 0-18 x 0-3 = 1-19, 0-18 x 0-4 = 2-2, 0-18 x 0-5 = 2-20, 0-18 x 0-6 = 3-3, 0-18 x 0-7 = 3-21, 0-18 x 0-8 = 4-4, 0-18 x 0-9 = 4-22, 0-18 x 0-10 = 5-5, 0-18 x 0-11 = 5-23, 0-18 x 0-12 = 6-6, 0-18 x 0-13 = 6-24, 0-18 x 0-14 = 7-7, 0-18 x 0-15 = 7-25, 0-18 x 0-16 = 8-8, 0-18 x 0-17 = 8-26, 0-18 x 0-18 = 9-9, 0-18 x 0-19 = 9-27, 0-18 x 0-20 = 10-10, 0-18 x 0-21 = 10-28, 0-18 x 0-22 = 11-11, 0-18 x 0-23 = 11-29, 0-18 x 0-24 = 12-12, 0-18 x 0-25 = 12-30, 0-18 x 0-26 = 13-13, 0-18 x 0-27 = 13-31, 0-18 x 0-28 = 14-14, 0-18 x 0-29 = 14-32, 0-18 x 0-30 = 15-15, 0-18 x 0-31 = 15-33, 0-18 x 0-32 = 16-16, 0-18 x 0-33 = 16-34, 0-18 x 0-34 = 17-17, 
0-19 x 0-1 = 0-19, 0-19 x 0-2 = 1-3, 0-19 x 0-3 = 1-22, 0-19 x 0-4 = 2-6, 0-19 x 0-5 = 2-25, 0-19 x 0-6 = 3-9, 0-19 x 0-7 = 3-28, 0-19 x 0-8 = 4-12, 0-19 x 0-9 = 4-31, 0-19 x 0-10 = 5-15, 0-19 x 0-11 = 5-34, 0-19 x 0-12 = 6-18, 0-19 x 0-13 = 7-2, 0-19 x 0-14 = 7-21, 0-19 x 0-15 = 8-5, 0-19 x 0-16 = 8-24, 0-19 x 0-17 = 9-8, 0-19 x 0-18 = 9-27, 0-19 x 0-19 = 10-11, 0-19 x 0-20 = 10-30, 0-19 x 0-21 = 11-14, 0-19 x 0-22 = 11-33, 0-19 x 0-23 = 12-17, 0-19 x 0-24 = 13-1, 0-19 x 0-25 = 13-20, 0-19 x 0-26 = 14-4, 0-19 x 0-27 = 14-23, 0-19 x 0-28 = 15-7, 0-19 x 0-29 = 15-26, 0-19 x 0-30 = 16-10, 0-19 x 0-31 = 16-29, 0-19 x 0-32 = 17-13, 0-19 x 0-33 = 17-32, 0-19 x 0-34 = 18-16, 
0-20 x 0-1 = 0-20, 0-20 x 0-2 = 1-5, 0-20 x 0-3 = 1-25, 0-20 x 0-4 = 2-10, 0-20 x 0-5 = 2-30, 0-20 x 0-6 = 3-15, 0-20 x 0-7 = 4-0, 0-20 x 0-8 = 4-20, 0-20 x 0-9 = 5-5, 0-20 x 0-10 = 5-25, 0-20 x 0-11 = 6-10, 0-20 x 0-12 = 6-30, 0-20 x 0-13 = 7-15, 0-20 x 0-14 = 8-0, 0-20 x 0-15 = 8-20, 0-20 x 0-16 = 9-5, 0-20 x 0-17 = 9-25, 0-20 x 0-18 = 10-10, 0-20 x 0-19 = 10-30, 0-20 x 0-20 = 11-15, 0-20 x 0-21 = 12-0, 0-20 x 0-22 = 12-20, 0-20 x 0-23 = 13-5, 0-20 x 0-24 = 13-25, 0-20 x 0-25 = 14-10, 0-20 x 0-26 = 14-30, 0-20 x 0-27 = 15-15, 0-20 x 0-28 = 16-0, 0-20 x 0-29 = 16-20, 0-20 x 0-30 = 17-5, 0-20 x 0-31 = 17-25, 0-20 x 0-32 = 18-10, 0-20 x 0-33 = 18-30, 0-20 x 0-34 = 19-15, 
