11 x 1 = 0-11, 11 x 2 = 0-22, 11 x 3 = 0-33, 11 x 4 = 0-44, 11 x 5 = 1-1, 11 x 6 = 1-12, 11 x 7 = 1-23, 11 x 8 = 1-34, 11 x 9 = 1-45, 11 x 10 = 2-2, 11 x 11 = 2-13, 11 x 12 = 2-24, 11 x 13 = 2-35, 11 x 14 = 2-46, 11 x 15 = 3-3, 11 x 16 = 3-14, 11 x 17 = 3-25, 11 x 18 = 3-36, 11 x 19 = 3-47, 11 x 20 = 4-4, 11 x 21 = 4-15, 11 x 22 = 4-26, 11 x 23 = 4-37, 11 x 24 = 4-48, 11 x 25 = 5-5, 11 x 26 = 5-16, 11 x 27 = 5-27, 11 x 28 = 5-38, 11 x 29 = 5-49, 11 x 30 = 6-6, 11 x 31 = 6-17, 11 x 32 = 6-28, 11 x 33 = 6-39, 11 x 34 = 6-50, 11 x 35 = 7-7, 11 x 36 = 7-18, 11 x 37 = 7-29, 11 x 38 = 7-40, 11 x 39 = 7-51, 11 x 40 = 8-8, 11 x 41 = 8-19, 11 x 42 = 8-30, 11 x 43 = 8-41, 11 x 44 = 8-52, 11 x 45 = 9-9, 11 x 46 = 9-20, 11 x 47 = 9-31, 11 x 48 = 9-42, 11 x 49 = 9-53, 11 x 50 = 10-10, 11 x 51 = 10-21, 11 x 52 = 10-32, 11 x 53 = 10-43, 
12 x 1 = 0-12, 12 x 2 = 0-24, 12 x 3 = 0-36, 12 x 4 = 0-48, 12 x 5 = 1-6, 12 x 6 = 1-18, 12 x 7 = 1-30, 12 x 8 = 1-42, 12 x 9 = 2-0, 12 x 10 = 2-12, 12 x 11 = 2-24, 12 x 12 = 2-36, 12 x 13 = 2-48, 12 x 14 = 3-6, 12 x 15 = 3-18, 12 x 16 = 3-30, 12 x 17 = 3-42, 12 x 18 = 4-0, 12 x 19 = 4-12, 12 x 20 = 4-24, 12 x 21 = 4-36, 12 x 22 = 4-48, 12 x 23 = 5-6, 12 x 24 = 5-18, 12 x 25 = 5-30, 12 x 26 = 5-42, 12 x 27 = 6-0, 12 x 28 = 6-12, 12 x 29 = 6-24, 12 x 30 = 6-36, 12 x 31 = 6-48, 12 x 32 = 7-6, 12 x 33 = 7-18, 12 x 34 = 7-30, 12 x 35 = 7-42, 12 x 36 = 8-0, 12 x 37 = 8-12, 12 x 38 = 8-24, 12 x 39 = 8-36, 12 x 40 = 8-48, 12 x 41 = 9-6, 12 x 42 = 9-18, 12 x 43 = 9-30, 12 x 44 = 9-42, 12 x 45 = 10-0, 12 x 46 = 10-12, 12 x 47 = 10-24, 12 x 48 = 10-36, 12 x 49 = 10-48, 12 x 50 = 11-6, 12 x 51 = 11-18, 12 x 52 = 11-30, 12 x 53 = 11-42, 
13 x 1 = 0-13, 13 x 2 = 0-26, 13 x 3 = 0-39, 13 x 4 = 0-52, 13 x 5 = 1-11, 13 x 6 = 1-24, 13 x 7 = 1-37, 13 x 8 = 1-50, 13 x 9 = 2-9, 13 x 10 = 2-22, 13 x 11 = 2-35, 13 x 12 = 2-48, 13 x 13 = 3-7, 13 x 14 = 3-20, 13 x 15 = 3-33, 13 x 16 = 3-46, 13 x 17 = 4-5, 13 x 18 = 4-18, 13 x 19 = 4-31, 13 x 20 = 4-44, 13 x 21 = 5-3, 13 x 22 = 5-16, 13 x 23 = 5-29, 13 x 24 = 5-42, 13 x 25 = 6-1, 13 x 26 = 6-14, 13 x 27 = 6-27, 13 x 28 = 6-40, 13 x 29 = 6-53, 13 x 30 = 7-12, 13 x 31 = 7-25, 13 x 32 = 7-38, 13 x 33 = 7-51, 13 x 34 = 8-10, 13 x 35 = 8-23, 13 x 36 = 8-36, 13 x 37 = 8-49, 13 x 38 = 9-8, 13 x 39 = 9-21, 13 x 40 = 9-34, 13 x 41 = 9-47, 13 x 42 = 10-6, 13 x 43 = 10-19, 13 x 44 = 10-32, 13 x 45 = 10-45, 13 x 46 = 11-4, 13 x 47 = 11-17, 13 x 48 = 11-30, 13 x 49 = 11-43, 13 x 50 = 12-2, 13 x 51 = 12-15, 13 x 52 = 12-28, 13 x 53 = 12-41, 
14 x 1 = 0-14, 14 x 2 = 0-28, 14 x 3 = 0-42, 14 x 4 = 1-2, 14 x 5 = 1-16, 14 x 6 = 1-30, 14 x 7 = 1-44, 14 x 8 = 2-4, 14 x 9 = 2-18, 14 x 10 = 2-32, 14 x 11 = 2-46, 14 x 12 = 3-6, 14 x 13 = 3-20, 14 x 14 = 3-34, 14 x 15 = 3-48, 14 x 16 = 4-8, 14 x 17 = 4-22, 14 x 18 = 4-36, 14 x 19 = 4-50, 14 x 20 = 5-10, 14 x 21 = 5-24, 14 x 22 = 5-38, 14 x 23 = 5-52, 14 x 24 = 6-12, 14 x 25 = 6-26, 14 x 26 = 6-40, 14 x 27 = 7-0, 14 x 28 = 7-14, 14 x 29 = 7-28, 14 x 30 = 7-42, 14 x 31 = 8-2, 14 x 32 = 8-16, 14 x 33 = 8-30, 14 x 34 = 8-44, 14 x 35 = 9-4, 14 x 36 = 9-18, 14 x 37 = 9-32, 14 x 38 = 9-46, 14 x 39 = 10-6, 14 x 40 = 10-20, 14 x 41 = 10-34, 14 x 42 = 10-48, 14 x 43 = 11-8, 14 x 44 = 11-22, 14 x 45 = 11-36, 14 x 46 = 11-50, 14 x 47 = 12-10, 14 x 48 = 12-24, 14 x 49 = 12-38, 14 x 50 = 12-52, 14 x 51 = 13-12, 14 x 52 = 13-26, 14 x 53 = 13-40, 
15 x 1 = 0-15, 15 x 2 = 0-30, 15 x 3 = 0-45, 15 x 4 = 1-6, 15 x 5 = 1-21, 15 x 6 = 1-36, 15 x 7 = 1-51, 15 x 8 = 2-12, 15 x 9 = 2-27, 15 x 10 = 2-42, 15 x 11 = 3-3, 15 x 12 = 3-18, 15 x 13 = 3-33, 15 x 14 = 3-48, 15 x 15 = 4-9, 15 x 16 = 4-24, 15 x 17 = 4-39, 15 x 18 = 5-0, 15 x 19 = 5-15, 15 x 20 = 5-30, 15 x 21 = 5-45, 15 x 22 = 6-6, 15 x 23 = 6-21, 15 x 24 = 6-36, 15 x 25 = 6-51, 15 x 26 = 7-12, 15 x 27 = 7-27, 15 x 28 = 7-42, 15 x 29 = 8-3, 15 x 30 = 8-18, 15 x 31 = 8-33, 15 x 32 = 8-48, 15 x 33 = 9-9, 15 x 34 = 9-24, 15 x 35 = 9-39, 15 x 36 = 10-0, 15 x 37 = 10-15, 15 x 38 = 10-30, 15 x 39 = 10-45, 15 x 40 = 11-6, 15 x 41 = 11-21, 15 x 42 = 11-36, 15 x 43 = 11-51, 15 x 44 = 12-12, 15 x 45 = 12-27, 15 x 46 = 12-42, 15 x 47 = 13-3, 15 x 48 = 13-18, 15 x 49 = 13-33, 15 x 50 = 13-48, 15 x 51 = 14-9, 15 x 52 = 14-24, 15 x 53 = 14-39, 
16 x 1 = 0-16, 16 x 2 = 0-32, 16 x 3 = 0-48, 16 x 4 = 1-10, 16 x 5 = 1-26, 16 x 6 = 1-42, 16 x 7 = 2-4, 16 x 8 = 2-20, 16 x 9 = 2-36, 16 x 10 = 2-52, 16 x 11 = 3-14, 16 x 12 = 3-30, 16 x 13 = 3-46, 16 x 14 = 4-8, 16 x 15 = 4-24, 16 x 16 = 4-40, 16 x 17 = 5-2, 16 x 18 = 5-18, 16 x 19 = 5-34, 16 x 20 = 5-50, 16 x 21 = 6-12, 16 x 22 = 6-28, 16 x 23 = 6-44, 16 x 24 = 7-6, 16 x 25 = 7-22, 16 x 26 = 7-38, 16 x 27 = 8-0, 16 x 28 = 8-16, 16 x 29 = 8-32, 16 x 30 = 8-48, 16 x 31 = 9-10, 16 x 32 = 9-26, 16 x 33 = 9-42, 16 x 34 = 10-4, 16 x 35 = 10-20, 16 x 36 = 10-36, 16 x 37 = 10-52, 16 x 38 = 11-14, 16 x 39 = 11-30, 16 x 40 = 11-46, 16 x 41 = 12-8, 16 x 42 = 12-24, 16 x 43 = 12-40, 16 x 44 = 13-2, 16 x 45 = 13-18, 16 x 46 = 13-34, 16 x 47 = 13-50, 16 x 48 = 14-12, 16 x 49 = 14-28, 16 x 50 = 14-44, 16 x 51 = 15-6, 16 x 52 = 15-22, 16 x 53 = 15-38, 
17 x 1 = 0-17, 17 x 2 = 0-34, 17 x 3 = 0-51, 17 x 4 = 1-14, 17 x 5 = 1-31, 17 x 6 = 1-48, 17 x 7 = 2-11, 17 x 8 = 2-28, 17 x 9 = 2-45, 17 x 10 = 3-8, 17 x 11 = 3-25, 17 x 12 = 3-42, 17 x 13 = 4-5, 17 x 14 = 4-22, 17 x 15 = 4-39, 17 x 16 = 5-2, 17 x 17 = 5-19, 17 x 18 = 5-36, 17 x 19 = 5-53, 17 x 20 = 6-16, 17 x 21 = 6-33, 17 x 22 = 6-50, 17 x 23 = 7-13, 17 x 24 = 7-30, 17 x 25 = 7-47, 17 x 26 = 8-10, 17 x 27 = 8-27, 17 x 28 = 8-44, 17 x 29 = 9-7, 17 x 30 = 9-24, 17 x 31 = 9-41, 17 x 32 = 10-4, 17 x 33 = 10-21, 17 x 34 = 10-38, 17 x 35 = 11-1, 17 x 36 = 11-18, 17 x 37 = 11-35, 17 x 38 = 11-52, 17 x 39 = 12-15, 17 x 40 = 12-32, 17 x 41 = 12-49, 17 x 42 = 13-12, 17 x 43 = 13-29, 17 x 44 = 13-46, 17 x 45 = 14-9, 17 x 46 = 14-26, 17 x 47 = 14-43, 17 x 48 = 15-6, 17 x 49 = 15-23, 17 x 50 = 15-40, 17 x 51 = 16-3, 17 x 52 = 16-20, 17 x 53 = 16-37, 
18 x 1 = 0-18, 18 x 2 = 0-36, 18 x 3 = 1-0, 18 x 4 = 1-18, 18 x 5 = 1-36, 18 x 6 = 2-0, 18 x 7 = 2-18, 18 x 8 = 2-36, 18 x 9 = 3-0, 18 x 10 = 3-18, 18 x 11 = 3-36, 18 x 12 = 4-0, 18 x 13 = 4-18, 18 x 14 = 4-36, 18 x 15 = 5-0, 18 x 16 = 5-18, 18 x 17 = 5-36, 18 x 18 = 6-0, 18 x 19 = 6-18, 18 x 20 = 6-36, 18 x 21 = 7-0, 18 x 22 = 7-18, 18 x 23 = 7-36, 18 x 24 = 8-0, 18 x 25 = 8-18, 18 x 26 = 8-36, 18 x 27 = 9-0, 18 x 28 = 9-18, 18 x 29 = 9-36, 18 x 30 = 10-0, 18 x 31 = 10-18, 18 x 32 = 10-36, 18 x 33 = 11-0, 18 x 34 = 11-18, 18 x 35 = 11-36, 18 x 36 = 12-0, 18 x 37 = 12-18, 18 x 38 = 12-36, 18 x 39 = 13-0, 18 x 40 = 13-18, 18 x 41 = 13-36, 18 x 42 = 14-0, 18 x 43 = 14-18, 18 x 44 = 14-36, 18 x 45 = 15-0, 18 x 46 = 15-18, 18 x 47 = 15-36, 18 x 48 = 16-0, 18 x 49 = 16-18, 18 x 50 = 16-36, 18 x 51 = 17-0, 18 x 52 = 17-18, 18 x 53 = 17-36, 
19 x 1 = 0-19, 19 x 2 = 0-38, 19 x 3 = 1-3, 19 x 4 = 1-22, 19 x 5 = 1-41, 19 x 6 = 2-6, 19 x 7 = 2-25, 19 x 8 = 2-44, 19 x 9 = 3-9, 19 x 10 = 3-28, 19 x 11 = 3-47, 19 x 12 = 4-12, 19 x 13 = 4-31, 19 x 14 = 4-50, 19 x 15 = 5-15, 19 x 16 = 5-34, 19 x 17 = 5-53, 19 x 18 = 6-18, 19 x 19 = 6-37, 19 x 20 = 7-2, 19 x 21 = 7-21, 19 x 22 = 7-40, 19 x 23 = 8-5, 19 x 24 = 8-24, 19 x 25 = 8-43, 19 x 26 = 9-8, 19 x 27 = 9-27, 19 x 28 = 9-46, 19 x 29 = 10-11, 19 x 30 = 10-30, 19 x 31 = 10-49, 19 x 32 = 11-14, 19 x 33 = 11-33, 19 x 34 = 11-52, 19 x 35 = 12-17, 19 x 36 = 12-36, 19 x 37 = 13-1, 19 x 38 = 13-20, 19 x 39 = 13-39, 19 x 40 = 14-4, 19 x 41 = 14-23, 19 x 42 = 14-42, 19 x 43 = 15-7, 19 x 44 = 15-26, 19 x 45 = 15-45, 19 x 46 = 16-10, 19 x 47 = 16-29, 19 x 48 = 16-48, 19 x 49 = 17-13, 19 x 50 = 17-32, 19 x 51 = 17-51, 19 x 52 = 18-16, 19 x 53 = 18-35, 
20 x 1 = 0-20, 20 x 2 = 0-40, 20 x 3 = 1-6, 20 x 4 = 1-26, 20 x 5 = 1-46, 20 x 6 = 2-12, 20 x 7 = 2-32, 20 x 8 = 2-52, 20 x 9 = 3-18, 20 x 10 = 3-38, 20 x 11 = 4-4, 20 x 12 = 4-24, 20 x 13 = 4-44, 20 x 14 = 5-10, 20 x 15 = 5-30, 20 x 16 = 5-50, 20 x 17 = 6-16, 20 x 18 = 6-36, 20 x 19 = 7-2, 20 x 20 = 7-22, 20 x 21 = 7-42, 20 x 22 = 8-8, 20 x 23 = 8-28, 20 x 24 = 8-48, 20 x 25 = 9-14, 20 x 26 = 9-34, 20 x 27 = 10-0, 20 x 28 = 10-20, 20 x 29 = 10-40, 20 x 30 = 11-6, 20 x 31 = 11-26, 20 x 32 = 11-46, 20 x 33 = 12-12, 20 x 34 = 12-32, 20 x 35 = 12-52, 20 x 36 = 13-18, 20 x 37 = 13-38, 20 x 38 = 14-4, 20 x 39 = 14-24, 20 x 40 = 14-44, 20 x 41 = 15-10, 20 x 42 = 15-30, 20 x 43 = 15-50, 20 x 44 = 16-16, 20 x 45 = 16-36, 20 x 46 = 17-2, 20 x 47 = 17-22, 20 x 48 = 17-42, 20 x 49 = 18-8, 20 x 50 = 18-28, 20 x 51 = 18-48, 20 x 52 = 19-14, 20 x 53 = 19-34, 
