11 x 1 = 0-11, 11 x 2 = 0-22, 11 x 3 = 1-4, 11 x 4 = 1-15, 11 x 5 = 1-26, 11 x 6 = 2-8, 11 x 7 = 2-19, 11 x 8 = 3-1, 11 x 9 = 3-12, 11 x 10 = 3-23, 11 x 11 = 4-5, 11 x 12 = 4-16, 11 x 13 = 4-27, 11 x 14 = 5-9, 11 x 15 = 5-20, 11 x 16 = 6-2, 11 x 17 = 6-13, 11 x 18 = 6-24, 11 x 19 = 7-6, 11 x 20 = 7-17, 11 x 21 = 7-28, 11 x 22 = 8-10, 11 x 23 = 8-21, 11 x 24 = 9-3, 11 x 25 = 9-14, 11 x 26 = 9-25, 11 x 27 = 10-7, 11 x 28 = 10-18, 
12 x 1 = 0-12, 12 x 2 = 0-24, 12 x 3 = 1-7, 12 x 4 = 1-19, 12 x 5 = 2-2, 12 x 6 = 2-14, 12 x 7 = 2-26, 12 x 8 = 3-9, 12 x 9 = 3-21, 12 x 10 = 4-4, 12 x 11 = 4-16, 12 x 12 = 4-28, 12 x 13 = 5-11, 12 x 14 = 5-23, 12 x 15 = 6-6, 12 x 16 = 6-18, 12 x 17 = 7-1, 12 x 18 = 7-13, 12 x 19 = 7-25, 12 x 20 = 8-8, 12 x 21 = 8-20, 12 x 22 = 9-3, 12 x 23 = 9-15, 12 x 24 = 9-27, 12 x 25 = 10-10, 12 x 26 = 10-22, 12 x 27 = 11-5, 12 x 28 = 11-17, 
13 x 1 = 0-13, 13 x 2 = 0-26, 13 x 3 = 1-10, 13 x 4 = 1-23, 13 x 5 = 2-7, 13 x 6 = 2-20, 13 x 7 = 3-4, 13 x 8 = 3-17, 13 x 9 = 4-1, 13 x 10 = 4-14, 13 x 11 = 4-27, 13 x 12 = 5-11, 13 x 13 = 5-24, 13 x 14 = 6-8, 13 x 15 = 6-21, 13 x 16 = 7-5, 13 x 17 = 7-18, 13 x 18 = 8-2, 13 x 19 = 8-15, 13 x 20 = 8-28, 13 x 21 = 9-12, 13 x 22 = 9-25, 13 x 23 = 10-9, 13 x 24 = 10-22, 13 x 25 = 11-6, 13 x 26 = 11-19, 13 x 27 = 12-3, 13 x 28 = 12-16, 
14 x 1 = 0-14, 14 x 2 = 0-28, 14 x 3 = 1-13, 14 x 4 = 1-27, 14 x 5 = 2-12, 14 x 6 = 2-26, 14 x 7 = 3-11, 14 x 8 = 3-25, 14 x 9 = 4-10, 14 x 10 = 4-24, 14 x 11 = 5-9, 14 x 12 = 5-23, 14 x 13 = 6-8, 14 x 14 = 6-22, 14 x 15 = 7-7, 14 x 16 = 7-21, 14 x 17 = 8-6, 14 x 18 = 8-20, 14 x 19 = 9-5, 14 x 20 = 9-19, 14 x 21 = 10-4, 14 x 22 = 10-18, 14 x 23 = 11-3, 14 x 24 = 11-17, 14 x 25 = 12-2, 14 x 26 = 12-16, 14 x 27 = 13-1, 14 x 28 = 13-15, 
15 x 1 = 0-15, 15 x 2 = 1-1, 15 x 3 = 1-16, 15 x 4 = 2-2, 15 x 5 = 2-17, 15 x 6 = 3-3, 15 x 7 = 3-18, 15 x 8 = 4-4, 15 x 9 = 4-19, 15 x 10 = 5-5, 15 x 11 = 5-20, 15 x 12 = 6-6, 15 x 13 = 6-21, 15 x 14 = 7-7, 15 x 15 = 7-22, 15 x 16 = 8-8, 15 x 17 = 8-23, 15 x 18 = 9-9, 15 x 19 = 9-24, 15 x 20 = 10-10, 15 x 21 = 10-25, 15 x 22 = 11-11, 15 x 23 = 11-26, 15 x 24 = 12-12, 15 x 25 = 12-27, 15 x 26 = 13-13, 15 x 27 = 13-28, 15 x 28 = 14-14, 
16 x 1 = 0-16, 16 x 2 = 1-3, 16 x 3 = 1-19, 16 x 4 = 2-6, 16 x 5 = 2-22, 16 x 6 = 3-9, 16 x 7 = 3-25, 16 x 8 = 4-12, 16 x 9 = 4-28, 16 x 10 = 5-15, 16 x 11 = 6-2, 16 x 12 = 6-18, 16 x 13 = 7-5, 16 x 14 = 7-21, 16 x 15 = 8-8, 16 x 16 = 8-24, 16 x 17 = 9-11, 16 x 18 = 9-27, 16 x 19 = 10-14, 16 x 20 = 11-1, 16 x 21 = 11-17, 16 x 22 = 12-4, 16 x 23 = 12-20, 16 x 24 = 13-7, 16 x 25 = 13-23, 16 x 26 = 14-10, 16 x 27 = 14-26, 16 x 28 = 15-13, 
17 x 1 = 0-17, 17 x 2 = 1-5, 17 x 3 = 1-22, 17 x 4 = 2-10, 17 x 5 = 2-27, 17 x 6 = 3-15, 17 x 7 = 4-3, 17 x 8 = 4-20, 17 x 9 = 5-8, 17 x 10 = 5-25, 17 x 11 = 6-13, 17 x 12 = 7-1, 17 x 13 = 7-18, 17 x 14 = 8-6, 17 x 15 = 8-23, 17 x 16 = 9-11, 17 x 17 = 9-28, 17 x 18 = 10-16, 17 x 19 = 11-4, 17 x 20 = 11-21, 17 x 21 = 12-9, 17 x 22 = 12-26, 17 x 23 = 13-14, 17 x 24 = 14-2, 17 x 25 = 14-19, 17 x 26 = 15-7, 17 x 27 = 15-24, 17 x 28 = 16-12, 
18 x 1 = 0-18, 18 x 2 = 1-7, 18 x 3 = 1-25, 18 x 4 = 2-14, 18 x 5 = 3-3, 18 x 6 = 3-21, 18 x 7 = 4-10, 18 x 8 = 4-28, 18 x 9 = 5-17, 18 x 10 = 6-6, 18 x 11 = 6-24, 18 x 12 = 7-13, 18 x 13 = 8-2, 18 x 14 = 8-20, 18 x 15 = 9-9, 18 x 16 = 9-27, 18 x 17 = 10-16, 18 x 18 = 11-5, 18 x 19 = 11-23, 18 x 20 = 12-12, 18 x 21 = 13-1, 18 x 22 = 13-19, 18 x 23 = 14-8, 18 x 24 = 14-26, 18 x 25 = 15-15, 18 x 26 = 16-4, 18 x 27 = 16-22, 18 x 28 = 17-11, 
19 x 1 = 0-19, 19 x 2 = 1-9, 19 x 3 = 1-28, 19 x 4 = 2-18, 19 x 5 = 3-8, 19 x 6 = 3-27, 19 x 7 = 4-17, 19 x 8 = 5-7, 19 x 9 = 5-26, 19 x 10 = 6-16, 19 x 11 = 7-6, 19 x 12 = 7-25, 19 x 13 = 8-15, 19 x 14 = 9-5, 19 x 15 = 9-24, 19 x 16 = 10-14, 19 x 17 = 11-4, 19 x 18 = 11-23, 19 x 19 = 12-13, 19 x 20 = 13-3, 19 x 21 = 13-22, 19 x 22 = 14-12, 19 x 23 = 15-2, 19 x 24 = 15-21, 19 x 25 = 16-11, 19 x 26 = 17-1, 19 x 27 = 17-20, 19 x 28 = 18-10, 
20 x 1 = 0-20, 20 x 2 = 1-11, 20 x 3 = 2-2, 20 x 4 = 2-22, 20 x 5 = 3-13, 20 x 6 = 4-4, 20 x 7 = 4-24, 20 x 8 = 5-15, 20 x 9 = 6-6, 20 x 10 = 6-26, 20 x 11 = 7-17, 20 x 12 = 8-8, 20 x 13 = 8-28, 20 x 14 = 9-19, 20 x 15 = 10-10, 20 x 16 = 11-1, 20 x 17 = 11-21, 20 x 18 = 12-12, 20 x 19 = 13-3, 20 x 20 = 13-23, 20 x 21 = 14-14, 20 x 22 = 15-5, 20 x 23 = 15-25, 20 x 24 = 16-16, 20 x 25 = 17-7, 20 x 26 = 17-27, 20 x 27 = 18-18, 20 x 28 = 19-9, 
21 x 1 = 0-21, 21 x 2 = 1-13, 21 x 3 = 2-5, 21 x 4 = 2-26, 21 x 5 = 3-18, 21 x 6 = 4-10, 21 x 7 = 5-2, 21 x 8 = 5-23, 21 x 9 = 6-15, 21 x 10 = 7-7, 21 x 11 = 7-28, 21 x 12 = 8-20, 21 x 13 = 9-12, 21 x 14 = 10-4, 21 x 15 = 10-25, 21 x 16 = 11-17, 21 x 17 = 12-9, 21 x 18 = 13-1, 21 x 19 = 13-22, 21 x 20 = 14-14, 21 x 21 = 15-6, 21 x 22 = 15-27, 21 x 23 = 16-19, 21 x 24 = 17-11, 21 x 25 = 18-3, 21 x 26 = 18-24, 21 x 27 = 19-16, 21 x 28 = 20-8, 
22 x 1 = 0-22, 22 x 2 = 1-15, 22 x 3 = 2-8, 22 x 4 = 3-1, 22 x 5 = 3-23, 22 x 6 = 4-16, 22 x 7 = 5-9, 22 x 8 = 6-2, 22 x 9 = 6-24, 22 x 10 = 7-17, 22 x 11 = 8-10, 22 x 12 = 9-3, 22 x 13 = 9-25, 22 x 14 = 10-18, 22 x 15 = 11-11, 22 x 16 = 12-4, 22 x 17 = 12-26, 22 x 18 = 13-19, 22 x 19 = 14-12, 22 x 20 = 15-5, 22 x 21 = 15-27, 22 x 22 = 16-20, 22 x 23 = 17-13, 22 x 24 = 18-6, 22 x 25 = 18-28, 22 x 26 = 19-21, 22 x 27 = 20-14, 22 x 28 = 21-7, 
23 x 1 = 0-23, 23 x 2 = 1-17, 23 x 3 = 2-11, 23 x 4 = 3-5, 23 x 5 = 3-28, 23 x 6 = 4-22, 23 x 7 = 5-16, 23 x 8 = 6-10, 23 x 9 = 7-4, 23 x 10 = 7-27, 23 x 11 = 8-21, 23 x 12 = 9-15, 23 x 13 = 10-9, 23 x 14 = 11-3, 23 x 15 = 11-26, 23 x 16 = 12-20, 23 x 17 = 13-14, 23 x 18 = 14-8, 23 x 19 = 15-2, 23 x 20 = 15-25, 23 x 21 = 16-19, 23 x 22 = 17-13, 23 x 23 = 18-7, 23 x 24 = 19-1, 23 x 25 = 19-24, 23 x 26 = 20-18, 23 x 27 = 21-12, 23 x 28 = 22-6, 
24 x 1 = 0-24, 24 x 2 = 1-19, 24 x 3 = 2-14, 24 x 4 = 3-9, 24 x 5 = 4-4, 24 x 6 = 4-28, 24 x 7 = 5-23, 24 x 8 = 6-18, 24 x 9 = 7-13, 24 x 10 = 8-8, 24 x 11 = 9-3, 24 x 12 = 9-27, 24 x 13 = 10-22, 24 x 14 = 11-17, 24 x 15 = 12-12, 24 x 16 = 13-7, 24 x 17 = 14-2, 24 x 18 = 14-26, 24 x 19 = 15-21, 24 x 20 = 16-16, 24 x 21 = 17-11, 24 x 22 = 18-6, 24 x 23 = 19-1, 24 x 24 = 19-25, 24 x 25 = 20-20, 24 x 26 = 21-15, 24 x 27 = 22-10, 24 x 28 = 23-5, 
25 x 1 = 0-25, 25 x 2 = 1-21, 25 x 3 = 2-17, 25 x 4 = 3-13, 25 x 5 = 4-9, 25 x 6 = 5-5, 25 x 7 = 6-1, 25 x 8 = 6-26, 25 x 9 = 7-22, 25 x 10 = 8-18, 25 x 11 = 9-14, 25 x 12 = 10-10, 25 x 13 = 11-6, 25 x 14 = 12-2, 25 x 15 = 12-27, 25 x 16 = 13-23, 25 x 17 = 14-19, 25 x 18 = 15-15, 25 x 19 = 16-11, 25 x 20 = 17-7, 25 x 21 = 18-3, 25 x 22 = 18-28, 25 x 23 = 19-24, 25 x 24 = 20-20, 25 x 25 = 21-16, 25 x 26 = 22-12, 25 x 27 = 23-8, 25 x 28 = 24-4, 
26 x 1 = 0-26, 26 x 2 = 1-23, 26 x 3 = 2-20, 26 x 4 = 3-17, 26 x 5 = 4-14, 26 x 6 = 5-11, 26 x 7 = 6-8, 26 x 8 = 7-5, 26 x 9 = 8-2, 26 x 10 = 8-28, 26 x 11 = 9-25, 26 x 12 = 10-22, 26 x 13 = 11-19, 26 x 14 = 12-16, 26 x 15 = 13-13, 26 x 16 = 14-10, 26 x 17 = 15-7, 26 x 18 = 16-4, 26 x 19 = 17-1, 26 x 20 = 17-27, 26 x 21 = 18-24, 26 x 22 = 19-21, 26 x 23 = 20-18, 26 x 24 = 21-15, 26 x 25 = 22-12, 26 x 26 = 23-9, 26 x 27 = 24-6, 26 x 28 = 25-3, 
27 x 1 = 0-27, 27 x 2 = 1-25, 27 x 3 = 2-23, 27 x 4 = 3-21, 27 x 5 = 4-19, 27 x 6 = 5-17, 27 x 7 = 6-15, 27 x 8 = 7-13, 27 x 9 = 8-11, 27 x 10 = 9-9, 27 x 11 = 10-7, 27 x 12 = 11-5, 27 x 13 = 12-3, 27 x 14 = 13-1, 27 x 15 = 13-28, 27 x 16 = 14-26, 27 x 17 = 15-24, 27 x 18 = 16-22, 27 x 19 = 17-20, 27 x 20 = 18-18, 27 x 21 = 19-16, 27 x 22 = 20-14, 27 x 23 = 21-12, 27 x 24 = 22-10, 27 x 25 = 23-8, 27 x 26 = 24-6, 27 x 27 = 25-4, 27 x 28 = 26-2, 
28 x 1 = 0-28, 28 x 2 = 1-27, 28 x 3 = 2-26, 28 x 4 = 3-25, 28 x 5 = 4-24, 28 x 6 = 5-23, 28 x 7 = 6-22, 28 x 8 = 7-21, 28 x 9 = 8-20, 28 x 10 = 9-19, 28 x 11 = 10-18, 28 x 12 = 11-17, 28 x 13 = 12-16, 28 x 14 = 13-15, 28 x 15 = 14-14, 28 x 16 = 15-13, 28 x 17 = 16-12, 28 x 18 = 17-11, 28 x 19 = 18-10, 28 x 20 = 19-9, 28 x 21 = 20-8, 28 x 22 = 21-7, 28 x 23 = 22-6, 28 x 24 = 23-5, 28 x 25 = 24-4, 28 x 26 = 25-3, 28 x 27 = 26-2, 28 x 28 = 27-1, 
