0-11 x 0-1 = 0-11, 0-11 x 0-2 = 0-22, 0-11 x 0-3 = 1-8, 0-11 x 0-4 = 1-19, 0-11 x 0-5 = 2-5, 0-11 x 0-6 = 2-16, 0-11 x 0-7 = 3-2, 0-11 x 0-8 = 3-13, 0-11 x 0-9 = 3-24, 0-11 x 0-10 = 4-10, 0-11 x 0-11 = 4-21, 0-11 x 0-12 = 5-7, 0-11 x 0-13 = 5-18, 0-11 x 0-14 = 6-4, 0-11 x 0-15 = 6-15, 0-11 x 0-16 = 7-1, 0-11 x 0-17 = 7-12, 0-11 x 0-18 = 7-23, 0-11 x 0-19 = 8-9, 0-11 x 0-20 = 8-20, 0-11 x 0-21 = 9-6, 0-11 x 0-22 = 9-17, 0-11 x 0-23 = 10-3, 0-11 x 0-24 = 10-14, 
0-12 x 0-1 = 0-12, 0-12 x 0-2 = 0-24, 0-12 x 0-3 = 1-11, 0-12 x 0-4 = 1-23, 0-12 x 0-5 = 2-10, 0-12 x 0-6 = 2-22, 0-12 x 0-7 = 3-9, 0-12 x 0-8 = 3-21, 0-12 x 0-9 = 4-8, 0-12 x 0-10 = 4-20, 0-12 x 0-11 = 5-7, 0-12 x 0-12 = 5-19, 0-12 x 0-13 = 6-6, 0-12 x 0-14 = 6-18, 0-12 x 0-15 = 7-5, 0-12 x 0-16 = 7-17, 0-12 x 0-17 = 8-4, 0-12 x 0-18 = 8-16, 0-12 x 0-19 = 9-3, 0-12 x 0-20 = 9-15, 0-12 x 0-21 = 10-2, 0-12 x 0-22 = 10-14, 0-12 x 0-23 = 11-1, 0-12 x 0-24 = 11-13, 
0-13 x 0-1 = 0-13, 0-13 x 0-2 = 1-1, 0-13 x 0-3 = 1-14, 0-13 x 0-4 = 2-2, 0-13 x 0-5 = 2-15, 0-13 x 0-6 = 3-3, 0-13 x 0-7 = 3-16, 0-13 x 0-8 = 4-4, 0-13 x 0-9 = 4-17, 0-13 x 0-10 = 5-5, 0-13 x 0-11 = 5-18, 0-13 x 0-12 = 6-6, 0-13 x 0-13 = 6-19, 0-13 x 0-14 = 7-7, 0-13 x 0-15 = 7-20, 0-13 x 0-16 = 8-8, 0-13 x 0-17 = 8-21, 0-13 x 0-18 = 9-9, 0-13 x 0-19 = 9-22, 0-13 x 0-20 = 10-10, 0-13 x 0-21 = 10-23, 0-13 x 0-22 = 11-11, 0-13 x 0-23 = 11-24, 0-13 x 0-24 = 12-12, 
0-14 x 0-1 = 0-14, 0-14 x 0-2 = 1-3, 0-14 x 0-3 = 1-17, 0-14 x 0-4 = 2-6, 0-14 x 0-5 = 2-20, 0-14 x 0-6 = 3-9, 0-14 x 0-7 = 3-23, 0-14 x 0-8 = 4-12, 0-14 x 0-9 = 5-1, 0-14 x 0-10 = 5-15, 0-14 x 0-11 = 6-4, 0-14 x 0-12 = 6-18, 0-14 x 0-13 = 7-7, 0-14 x 0-14 = 7-21, 0-14 x 0-15 = 8-10, 0-14 x 0-16 = 8-24, 0-14 x 0-17 = 9-13, 0-14 x 0-18 = 10-2, 0-14 x 0-19 = 10-16, 0-14 x 0-20 = 11-5, 0-14 x 0-21 = 11-19, 0-14 x 0-22 = 12-8, 0-14 x 0-23 = 12-22, 0-14 x 0-24 = 13-11, 
0-15 x 0-1 = 0-15, 0-15 x 0-2 = 1-5, 0-15 x 0-3 = 1-20, 0-15 x 0-4 = 2-10, 0-15 x 0-5 = 3-0, 0-15 x 0-6 = 3-15, 0-15 x 0-7 = 4-5, 0-15 x 0-8 = 4-20, 0-15 x 0-9 = 5-10, 0-15 x 0-10 = 6-0, 0-15 x 0-11 = 6-15, 0-15 x 0-12 = 7-5, 0-15 x 0-13 = 7-20, 0-15 x 0-14 = 8-10, 0-15 x 0-15 = 9-0, 0-15 x 0-16 = 9-15, 0-15 x 0-17 = 10-5, 0-15 x 0-18 = 10-20, 0-15 x 0-19 = 11-10, 0-15 x 0-20 = 12-0, 0-15 x 0-21 = 12-15, 0-15 x 0-22 = 13-5, 0-15 x 0-23 = 13-20, 0-15 x 0-24 = 14-10, 
0-16 x 0-1 = 0-16, 0-16 x 0-2 = 1-7, 0-16 x 0-3 = 1-23, 0-16 x 0-4 = 2-14, 0-16 x 0-5 = 3-5, 0-16 x 0-6 = 3-21, 0-16 x 0-7 = 4-12, 0-16 x 0-8 = 5-3, 0-16 x 0-9 = 5-19, 0-16 x 0-10 = 6-10, 0-16 x 0-11 = 7-1, 0-16 x 0-12 = 7-17, 0-16 x 0-13 = 8-8, 0-16 x 0-14 = 8-24, 0-16 x 0-15 = 9-15, 0-16 x 0-16 = 10-6, 0-16 x 0-17 = 10-22, 0-16 x 0-18 = 11-13, 0-16 x 0-19 = 12-4, 0-16 x 0-20 = 12-20, 0-16 x 0-21 = 13-11, 0-16 x 0-22 = 14-2, 0-16 x 0-23 = 14-18, 0-16 x 0-24 = 15-9, 
0-17 x 0-1 = 0-17, 0-17 x 0-2 = 1-9, 0-17 x 0-3 = 2-1, 0-17 x 0-4 = 2-18, 0-17 x 0-5 = 3-10, 0-17 x 0-6 = 4-2, 0-17 x 0-7 = 4-19, 0-17 x 0-8 = 5-11, 0-17 x 0-9 = 6-3, 0-17 x 0-10 = 6-20, 0-17 x 0-11 = 7-12, 0-17 x 0-12 = 8-4, 0-17 x 0-13 = 8-21, 0-17 x 0-14 = 9-13, 0-17 x 0-15 = 10-5, 0-17 x 0-16 = 10-22, 0-17 x 0-17 = 11-14, 0-17 x 0-18 = 12-6, 0-17 x 0-19 = 12-23, 0-17 x 0-20 = 13-15, 0-17 x 0-21 = 14-7, 0-17 x 0-22 = 14-24, 0-17 x 0-23 = 15-16, 0-17 x 0-24 = 16-8, 
0-18 x 0-1 = 0-18, 0-18 x 0-2 = 1-11, 0-18 x 0-3 = 2-4, 0-18 x 0-4 = 2-22, 0-18 x 0-5 = 3-15, 0-18 x 0-6 = 4-8, 0-18 x 0-7 = 5-1, 0-18 x 0-8 = 5-19, 0-18 x 0-9 = 6-12, 0-18 x 0-10 = 7-5, 0-18 x 0-11 = 7-23, 0-18 x 0-12 = 8-16, 0-18 x 0-13 = 9-9, 0-18 x 0-14 = 10-2, 0-18 x 0-15 = 10-20, 0-18 x 0-16 = 11-13, 0-18 x 0-17 = 12-6, 0-18 x 0-18 = 12-24, 0-18 x 0-19 = 13-17, 0-18 x 0-20 = 14-10, 0-18 x 0-21 = 15-3, 0-18 x 0-22 = 15-21, 0-18 x 0-23 = 16-14, 0-18 x 0-24 = 17-7, 
0-19 x 0-1 = 0-19, 0-19 x 0-2 = 1-13, 0-19 x 0-3 = 2-7, 0-19 x 0-4 = 3-1, 0-19 x 0-5 = 3-20, 0-19 x 0-6 = 4-14, 0-19 x 0-7 = 5-8, 0-19 x 0-8 = 6-2, 0-19 x 0-9 = 6-21, 0-19 x 0-10 = 7-15, 0-19 x 0-11 = 8-9, 0-19 x 0-12 = 9-3, 0-19 x 0-13 = 9-22, 0-19 x 0-14 = 10-16, 0-19 x 0-15 = 11-10, 0-19 x 0-16 = 12-4, 0-19 x 0-17 = 12-23, 0-19 x 0-18 = 13-17, 0-19 x 0-19 = 14-11, 0-19 x 0-20 = 15-5, 0-19 x 0-21 = 15-24, 0-19 x 0-22 = 16-18, 0-19 x 0-23 = 17-12, 0-19 x 0-24 = 18-6, 
0-20 x 0-1 = 0-20, 0-20 x 0-2 = 1-15, 0-20 x 0-3 = 2-10, 0-20 x 0-4 = 3-5, 0-20 x 0-5 = 4-0, 0-20 x 0-6 = 4-20, 0-20 x 0-7 = 5-15, 0-20 x 0-8 = 6-10, 0-20 x 0-9 = 7-5, 0-20 x 0-10 = 8-0, 0-20 x 0-11 = 8-20, 0-20 x 0-12 = 9-15, 0-20 x 0-13 = 10-10, 0-20 x 0-14 = 11-5, 0-20 x 0-15 = 12-0, 0-20 x 0-16 = 12-20, 0-20 x 0-17 = 13-15, 0-20 x 0-18 = 14-10, 0-20 x 0-19 = 15-5, 0-20 x 0-20 = 16-0, 0-20 x 0-21 = 16-20, 0-20 x 0-22 = 17-15, 0-20 x 0-23 = 18-10, 0-20 x 0-24 = 19-5, 
0-21 x 0-1 = 0-21, 0-21 x 0-2 = 1-17, 0-21 x 0-3 = 2-13, 0-21 x 0-4 = 3-9, 0-21 x 0-5 = 4-5, 0-21 x 0-6 = 5-1, 0-21 x 0-7 = 5-22, 0-21 x 0-8 = 6-18, 0-21 x 0-9 = 7-14, 0-21 x 0-10 = 8-10, 0-21 x 0-11 = 9-6, 0-21 x 0-12 = 10-2, 0-21 x 0-13 = 10-23, 0-21 x 0-14 = 11-19, 0-21 x 0-15 = 12-15, 0-21 x 0-16 = 13-11, 0-21 x 0-17 = 14-7, 0-21 x 0-18 = 15-3, 0-21 x 0-19 = 15-24, 0-21 x 0-20 = 16-20, 0-21 x 0-21 = 17-16, 0-21 x 0-22 = 18-12, 0-21 x 0-23 = 19-8, 0-21 x 0-24 = 20-4, 
0-22 x 0-1 = 0-22, 0-22 x 0-2 = 1-19, 0-22 x 0-3 = 2-16, 0-22 x 0-4 = 3-13, 0-22 x 0-5 = 4-10, 0-22 x 0-6 = 5-7, 0-22 x 0-7 = 6-4, 0-22 x 0-8 = 7-1, 0-22 x 0-9 = 7-23, 0-22 x 0-10 = 8-20, 0-22 x 0-11 = 9-17, 0-22 x 0-12 = 10-14, 0-22 x 0-13 = 11-11, 0-22 x 0-14 = 12-8, 0-22 x 0-15 = 13-5, 0-22 x 0-16 = 14-2, 0-22 x 0-17 = 14-24, 0-22 x 0-18 = 15-21, 0-22 x 0-19 = 16-18, 0-22 x 0-20 = 17-15, 0-22 x 0-21 = 18-12, 0-22 x 0-22 = 19-9, 0-22 x 0-23 = 20-6, 0-22 x 0-24 = 21-3, 
0-23 x 0-1 = 0-23, 0-23 x 0-2 = 1-21, 0-23 x 0-3 = 2-19, 0-23 x 0-4 = 3-17, 0-23 x 0-5 = 4-15, 0-23 x 0-6 = 5-13, 0-23 x 0-7 = 6-11, 0-23 x 0-8 = 7-9, 0-23 x 0-9 = 8-7, 0-23 x 0-10 = 9-5, 0-23 x 0-11 = 10-3, 0-23 x 0-12 = 11-1, 0-23 x 0-13 = 11-24, 0-23 x 0-14 = 12-22, 0-23 x 0-15 = 13-20, 0-23 x 0-16 = 14-18, 0-23 x 0-17 = 15-16, 0-23 x 0-18 = 16-14, 0-23 x 0-19 = 17-12, 0-23 x 0-20 = 18-10, 0-23 x 0-21 = 19-8, 0-23 x 0-22 = 20-6, 0-23 x 0-23 = 21-4, 0-23 x 0-24 = 22-2, 
0-24 x 0-1 = 0-24, 0-24 x 0-2 = 1-23, 0-24 x 0-3 = 2-22, 0-24 x 0-4 = 3-21, 0-24 x 0-5 = 4-20, 0-24 x 0-6 = 5-19, 0-24 x 0-7 = 6-18, 0-24 x 0-8 = 7-17, 0-24 x 0-9 = 8-16, 0-24 x 0-10 = 9-15, 0-24 x 0-11 = 10-14, 0-24 x 0-12 = 11-13, 0-24 x 0-13 = 12-12, 0-24 x 0-14 = 13-11, 0-24 x 0-15 = 14-10, 0-24 x 0-16 = 15-9, 0-24 x 0-17 = 16-8, 0-24 x 0-18 = 17-7, 0-24 x 0-19 = 18-6, 0-24 x 0-20 = 19-5, 0-24 x 0-21 = 20-4, 0-24 x 0-22 = 21-3, 0-24 x 0-23 = 22-2, 0-24 x 0-24 = 23-1, 
