0-11 x 0-1 = 0-11, 0-11 x 0-2 = 0-22, 0-11 x 0-3 = 1-6, 0-11 x 0-4 = 1-17, 0-11 x 0-5 = 2-1, 0-11 x 0-6 = 2-12, 0-11 x 0-7 = 2-23, 0-11 x 0-8 = 3-7, 0-11 x 0-9 = 3-18, 0-11 x 0-10 = 4-2, 0-11 x 0-11 = 4-13, 0-11 x 0-12 = 4-24, 0-11 x 0-13 = 5-8, 0-11 x 0-14 = 5-19, 0-11 x 0-15 = 6-3, 0-11 x 0-16 = 6-14, 0-11 x 0-17 = 6-25, 0-11 x 0-18 = 7-9, 0-11 x 0-19 = 7-20, 0-11 x 0-20 = 8-4, 0-11 x 0-21 = 8-15, 0-11 x 0-22 = 8-26, 0-11 x 0-23 = 9-10, 0-11 x 0-24 = 9-21, 0-11 x 0-25 = 10-5, 0-11 x 0-26 = 10-16, 
0-12 x 0-1 = 0-12, 0-12 x 0-2 = 0-24, 0-12 x 0-3 = 1-9, 0-12 x 0-4 = 1-21, 0-12 x 0-5 = 2-6, 0-12 x 0-6 = 2-18, 0-12 x 0-7 = 3-3, 0-12 x 0-8 = 3-15, 0-12 x 0-9 = 4-0, 0-12 x 0-10 = 4-12, 0-12 x 0-11 = 4-24, 0-12 x 0-12 = 5-9, 0-12 x 0-13 = 5-21, 0-12 x 0-14 = 6-6, 0-12 x 0-15 = 6-18, 0-12 x 0-16 = 7-3, 0-12 x 0-17 = 7-15, 0-12 x 0-18 = 8-0, 0-12 x 0-19 = 8-12, 0-12 x 0-20 = 8-24, 0-12 x 0-21 = 9-9, 0-12 x 0-22 = 9-21, 0-12 x 0-23 = 10-6, 0-12 x 0-24 = 10-18, 0-12 x 0-25 = 11-3, 0-12 x 0-26 = 11-15, 
0-13 x 0-1 = 0-13, 0-13 x 0-2 = 0-26, 0-13 x 0-3 = 1-12, 0-13 x 0-4 = 1-25, 0-13 x 0-5 = 2-11, 0-13 x 0-6 = 2-24, 0-13 x 0-7 = 3-10, 0-13 x 0-8 = 3-23, 0-13 x 0-9 = 4-9, 0-13 x 0-10 = 4-22, 0-13 x 0-11 = 5-8, 0-13 x 0-12 = 5-21, 0-13 x 0-13 = 6-7, 0-13 x 0-14 = 6-20, 0-13 x 0-15 = 7-6, 0-13 x 0-16 = 7-19, 0-13 x 0-17 = 8-5, 0-13 x 0-18 = 8-18, 0-13 x 0-19 = 9-4, 0-13 x 0-20 = 9-17, 0-13 x 0-21 = 10-3, 0-13 x 0-22 = 10-16, 0-13 x 0-23 = 11-2, 0-13 x 0-24 = 11-15, 0-13 x 0-25 = 12-1, 0-13 x 0-26 = 12-14, 
0-14 x 0-1 = 0-14, 0-14 x 0-2 = 1-1, 0-14 x 0-3 = 1-15, 0-14 x 0-4 = 2-2, 0-14 x 0-5 = 2-16, 0-14 x 0-6 = 3-3, 0-14 x 0-7 = 3-17, 0-14 x 0-8 = 4-4, 0-14 x 0-9 = 4-18, 0-14 x 0-10 = 5-5, 0-14 x 0-11 = 5-19, 0-14 x 0-12 = 6-6, 0-14 x 0-13 = 6-20, 0-14 x 0-14 = 7-7, 0-14 x 0-15 = 7-21, 0-14 x 0-16 = 8-8, 0-14 x 0-17 = 8-22, 0-14 x 0-18 = 9-9, 0-14 x 0-19 = 9-23, 0-14 x 0-20 = 10-10, 0-14 x 0-21 = 10-24, 0-14 x 0-22 = 11-11, 0-14 x 0-23 = 11-25, 0-14 x 0-24 = 12-12, 0-14 x 0-25 = 12-26, 0-14 x 0-26 = 13-13, 
0-15 x 0-1 = 0-15, 0-15 x 0-2 = 1-3, 0-15 x 0-3 = 1-18, 0-15 x 0-4 = 2-6, 0-15 x 0-5 = 2-21, 0-15 x 0-6 = 3-9, 0-15 x 0-7 = 3-24, 0-15 x 0-8 = 4-12, 0-15 x 0-9 = 5-0, 0-15 x 0-10 = 5-15, 0-15 x 0-11 = 6-3, 0-15 x 0-12 = 6-18, 0-15 x 0-13 = 7-6, 0-15 x 0-14 = 7-21, 0-15 x 0-15 = 8-9, 0-15 x 0-16 = 8-24, 0-15 x 0-17 = 9-12, 0-15 x 0-18 = 10-0, 0-15 x 0-19 = 10-15, 0-15 x 0-20 = 11-3, 0-15 x 0-21 = 11-18, 0-15 x 0-22 = 12-6, 0-15 x 0-23 = 12-21, 0-15 x 0-24 = 13-9, 0-15 x 0-25 = 13-24, 0-15 x 0-26 = 14-12, 
0-16 x 0-1 = 0-16, 0-16 x 0-2 = 1-5, 0-16 x 0-3 = 1-21, 0-16 x 0-4 = 2-10, 0-16 x 0-5 = 2-26, 0-16 x 0-6 = 3-15, 0-16 x 0-7 = 4-4, 0-16 x 0-8 = 4-20, 0-16 x 0-9 = 5-9, 0-16 x 0-10 = 5-25, 0-16 x 0-11 = 6-14, 0-16 x 0-12 = 7-3, 0-16 x 0-13 = 7-19, 0-16 x 0-14 = 8-8, 0-16 x 0-15 = 8-24, 0-16 x 0-16 = 9-13, 0-16 x 0-17 = 10-2, 0-16 x 0-18 = 10-18, 0-16 x 0-19 = 11-7, 0-16 x 0-20 = 11-23, 0-16 x 0-21 = 12-12, 0-16 x 0-22 = 13-1, 0-16 x 0-23 = 13-17, 0-16 x 0-24 = 14-6, 0-16 x 0-25 = 14-22, 0-16 x 0-26 = 15-11, 
0-17 x 0-1 = 0-17, 0-17 x 0-2 = 1-7, 0-17 x 0-3 = 1-24, 0-17 x 0-4 = 2-14, 0-17 x 0-5 = 3-4, 0-17 x 0-6 = 3-21, 0-17 x 0-7 = 4-11, 0-17 x 0-8 = 5-1, 0-17 x 0-9 = 5-18, 0-17 x 0-10 = 6-8, 0-17 x 0-11 = 6-25, 0-17 x 0-12 = 7-15, 0-17 x 0-13 = 8-5, 0-17 x 0-14 = 8-22, 0-17 x 0-15 = 9-12, 0-17 x 0-16 = 10-2, 0-17 x 0-17 = 10-19, 0-17 x 0-18 = 11-9, 0-17 x 0-19 = 11-26, 0-17 x 0-20 = 12-16, 0-17 x 0-21 = 13-6, 0-17 x 0-22 = 13-23, 0-17 x 0-23 = 14-13, 0-17 x 0-24 = 15-3, 0-17 x 0-25 = 15-20, 0-17 x 0-26 = 16-10, 
0-18 x 0-1 = 0-18, 0-18 x 0-2 = 1-9, 0-18 x 0-3 = 2-0, 0-18 x 0-4 = 2-18, 0-18 x 0-5 = 3-9, 0-18 x 0-6 = 4-0, 0-18 x 0-7 = 4-18, 0-18 x 0-8 = 5-9, 0-18 x 0-9 = 6-0, 0-18 x 0-10 = 6-18, 0-18 x 0-11 = 7-9, 0-18 x 0-12 = 8-0, 0-18 x 0-13 = 8-18, 0-18 x 0-14 = 9-9, 0-18 x 0-15 = 10-0, 0-18 x 0-16 = 10-18, 0-18 x 0-17 = 11-9, 0-18 x 0-18 = 12-0, 0-18 x 0-19 = 12-18, 0-18 x 0-20 = 13-9, 0-18 x 0-21 = 14-0, 0-18 x 0-22 = 14-18, 0-18 x 0-23 = 15-9, 0-18 x 0-24 = 16-0, 0-18 x 0-25 = 16-18, 0-18 x 0-26 = 17-9, 
0-19 x 0-1 = 0-19, 0-19 x 0-2 = 1-11, 0-19 x 0-3 = 2-3, 0-19 x 0-4 = 2-22, 0-19 x 0-5 = 3-14, 0-19 x 0-6 = 4-6, 0-19 x 0-7 = 4-25, 0-19 x 0-8 = 5-17, 0-19 x 0-9 = 6-9, 0-19 x 0-10 = 7-1, 0-19 x 0-11 = 7-20, 0-19 x 0-12 = 8-12, 0-19 x 0-13 = 9-4, 0-19 x 0-14 = 9-23, 0-19 x 0-15 = 10-15, 0-19 x 0-16 = 11-7, 0-19 x 0-17 = 11-26, 0-19 x 0-18 = 12-18, 0-19 x 0-19 = 13-10, 0-19 x 0-20 = 14-2, 0-19 x 0-21 = 14-21, 0-19 x 0-22 = 15-13, 0-19 x 0-23 = 16-5, 0-19 x 0-24 = 16-24, 0-19 x 0-25 = 17-16, 0-19 x 0-26 = 18-8, 
0-20 x 0-1 = 0-20, 0-20 x 0-2 = 1-13, 0-20 x 0-3 = 2-6, 0-20 x 0-4 = 2-26, 0-20 x 0-5 = 3-19, 0-20 x 0-6 = 4-12, 0-20 x 0-7 = 5-5, 0-20 x 0-8 = 5-25, 0-20 x 0-9 = 6-18, 0-20 x 0-10 = 7-11, 0-20 x 0-11 = 8-4, 0-20 x 0-12 = 8-24, 0-20 x 0-13 = 9-17, 0-20 x 0-14 = 10-10, 0-20 x 0-15 = 11-3, 0-20 x 0-16 = 11-23, 0-20 x 0-17 = 12-16, 0-20 x 0-18 = 13-9, 0-20 x 0-19 = 14-2, 0-20 x 0-20 = 14-22, 0-20 x 0-21 = 15-15, 0-20 x 0-22 = 16-8, 0-20 x 0-23 = 17-1, 0-20 x 0-24 = 17-21, 0-20 x 0-25 = 18-14, 0-20 x 0-26 = 19-7, 
0-21 x 0-1 = 0-21, 0-21 x 0-2 = 1-15, 0-21 x 0-3 = 2-9, 0-21 x 0-4 = 3-3, 0-21 x 0-5 = 3-24, 0-21 x 0-6 = 4-18, 0-21 x 0-7 = 5-12, 0-21 x 0-8 = 6-6, 0-21 x 0-9 = 7-0, 0-21 x 0-10 = 7-21, 0-21 x 0-11 = 8-15, 0-21 x 0-12 = 9-9, 0-21 x 0-13 = 10-3, 0-21 x 0-14 = 10-24, 0-21 x 0-15 = 11-18, 0-21 x 0-16 = 12-12, 0-21 x 0-17 = 13-6, 0-21 x 0-18 = 14-0, 0-21 x 0-19 = 14-21, 0-21 x 0-20 = 15-15, 0-21 x 0-21 = 16-9, 0-21 x 0-22 = 17-3, 0-21 x 0-23 = 17-24, 0-21 x 0-24 = 18-18, 0-21 x 0-25 = 19-12, 0-21 x 0-26 = 20-6, 
0-22 x 0-1 = 0-22, 0-22 x 0-2 = 1-17, 0-22 x 0-3 = 2-12, 0-22 x 0-4 = 3-7, 0-22 x 0-5 = 4-2, 0-22 x 0-6 = 4-24, 0-22 x 0-7 = 5-19, 0-22 x 0-8 = 6-14, 0-22 x 0-9 = 7-9, 0-22 x 0-10 = 8-4, 0-22 x 0-11 = 8-26, 0-22 x 0-12 = 9-21, 0-22 x 0-13 = 10-16, 0-22 x 0-14 = 11-11, 0-22 x 0-15 = 12-6, 0-22 x 0-16 = 13-1, 0-22 x 0-17 = 13-23, 0-22 x 0-18 = 14-18, 0-22 x 0-19 = 15-13, 0-22 x 0-20 = 16-8, 0-22 x 0-21 = 17-3, 0-22 x 0-22 = 17-25, 0-22 x 0-23 = 18-20, 0-22 x 0-24 = 19-15, 0-22 x 0-25 = 20-10, 0-22 x 0-26 = 21-5, 
0-23 x 0-1 = 0-23, 0-23 x 0-2 = 1-19, 0-23 x 0-3 = 2-15, 0-23 x 0-4 = 3-11, 0-23 x 0-5 = 4-7, 0-23 x 0-6 = 5-3, 0-23 x 0-7 = 5-26, 0-23 x 0-8 = 6-22, 0-23 x 0-9 = 7-18, 0-23 x 0-10 = 8-14, 0-23 x 0-11 = 9-10, 0-23 x 0-12 = 10-6, 0-23 x 0-13 = 11-2, 0-23 x 0-14 = 11-25, 0-23 x 0-15 = 12-21, 0-23 x 0-16 = 13-17, 0-23 x 0-17 = 14-13, 0-23 x 0-18 = 15-9, 0-23 x 0-19 = 16-5, 0-23 x 0-20 = 17-1, 0-23 x 0-21 = 17-24, 0-23 x 0-22 = 18-20, 0-23 x 0-23 = 19-16, 0-23 x 0-24 = 20-12, 0-23 x 0-25 = 21-8, 0-23 x 0-26 = 22-4, 
0-24 x 0-1 = 0-24, 0-24 x 0-2 = 1-21, 0-24 x 0-3 = 2-18, 0-24 x 0-4 = 3-15, 0-24 x 0-5 = 4-12, 0-24 x 0-6 = 5-9, 0-24 x 0-7 = 6-6, 0-24 x 0-8 = 7-3, 0-24 x 0-9 = 8-0, 0-24 x 0-10 = 8-24, 0-24 x 0-11 = 9-21, 0-24 x 0-12 = 10-18, 0-24 x 0-13 = 11-15, 0-24 x 0-14 = 12-12, 0-24 x 0-15 = 13-9, 0-24 x 0-16 = 14-6, 0-24 x 0-17 = 15-3, 0-24 x 0-18 = 16-0, 0-24 x 0-19 = 16-24, 0-24 x 0-20 = 17-21, 0-24 x 0-21 = 18-18, 0-24 x 0-22 = 19-15, 0-24 x 0-23 = 20-12, 0-24 x 0-24 = 21-9, 0-24 x 0-25 = 22-6, 0-24 x 0-26 = 23-3, 
0-25 x 0-1 = 0-25, 0-25 x 0-2 = 1-23, 0-25 x 0-3 = 2-21, 0-25 x 0-4 = 3-19, 0-25 x 0-5 = 4-17, 0-25 x 0-6 = 5-15, 0-25 x 0-7 = 6-13, 0-25 x 0-8 = 7-11, 0-25 x 0-9 = 8-9, 0-25 x 0-10 = 9-7, 0-25 x 0-11 = 10-5, 0-25 x 0-12 = 11-3, 0-25 x 0-13 = 12-1, 0-25 x 0-14 = 12-26, 0-25 x 0-15 = 13-24, 0-25 x 0-16 = 14-22, 0-25 x 0-17 = 15-20, 0-25 x 0-18 = 16-18, 0-25 x 0-19 = 17-16, 0-25 x 0-20 = 18-14, 0-25 x 0-21 = 19-12, 0-25 x 0-22 = 20-10, 0-25 x 0-23 = 21-8, 0-25 x 0-24 = 22-6, 0-25 x 0-25 = 23-4, 0-25 x 0-26 = 24-2, 
0-26 x 0-1 = 0-26, 0-26 x 0-2 = 1-25, 0-26 x 0-3 = 2-24, 0-26 x 0-4 = 3-23, 0-26 x 0-5 = 4-22, 0-26 x 0-6 = 5-21, 0-26 x 0-7 = 6-20, 0-26 x 0-8 = 7-19, 0-26 x 0-9 = 8-18, 0-26 x 0-10 = 9-17, 0-26 x 0-11 = 10-16, 0-26 x 0-12 = 11-15, 0-26 x 0-13 = 12-14, 0-26 x 0-14 = 13-13, 0-26 x 0-15 = 14-12, 0-26 x 0-16 = 15-11, 0-26 x 0-17 = 16-10, 0-26 x 0-18 = 17-9, 0-26 x 0-19 = 18-8, 0-26 x 0-20 = 19-7, 0-26 x 0-21 = 20-6, 0-26 x 0-22 = 21-5, 0-26 x 0-23 = 22-4, 0-26 x 0-24 = 23-3, 0-26 x 0-25 = 24-2, 0-26 x 0-26 = 25-1, 
