0-11 x 0-1 = 0-11, 0-11 x 0-2 = 0-22, 0-11 x 0-3 = 1-0, 0-11 x 0-4 = 1-11, 0-11 x 0-5 = 1-22, 0-11 x 0-6 = 2-0, 0-11 x 0-7 = 2-11, 0-11 x 0-8 = 2-22, 0-11 x 0-9 = 3-0, 0-11 x 0-10 = 3-11, 0-11 x 0-11 = 3-22, 0-11 x 0-12 = 4-0, 0-11 x 0-13 = 4-11, 0-11 x 0-14 = 4-22, 0-11 x 0-15 = 5-0, 0-11 x 0-16 = 5-11, 0-11 x 0-17 = 5-22, 0-11 x 0-18 = 6-0, 0-11 x 0-19 = 6-11, 0-11 x 0-20 = 6-22, 0-11 x 0-21 = 7-0, 0-11 x 0-22 = 7-11, 0-11 x 0-23 = 7-22, 0-11 x 0-24 = 8-0, 0-11 x 0-25 = 8-11, 0-11 x 0-26 = 8-22, 0-11 x 0-27 = 9-0, 0-11 x 0-28 = 9-11, 0-11 x 0-29 = 9-22, 0-11 x 0-30 = 10-0, 0-11 x 0-31 = 10-11, 0-11 x 0-32 = 10-22, 
0-12 x 0-1 = 0-12, 0-12 x 0-2 = 0-24, 0-12 x 0-3 = 1-3, 0-12 x 0-4 = 1-15, 0-12 x 0-5 = 1-27, 0-12 x 0-6 = 2-6, 0-12 x 0-7 = 2-18, 0-12 x 0-8 = 2-30, 0-12 x 0-9 = 3-9, 0-12 x 0-10 = 3-21, 0-12 x 0-11 = 4-0, 0-12 x 0-12 = 4-12, 0-12 x 0-13 = 4-24, 0-12 x 0-14 = 5-3, 0-12 x 0-15 = 5-15, 0-12 x 0-16 = 5-27, 0-12 x 0-17 = 6-6, 0-12 x 0-18 = 6-18, 0-12 x 0-19 = 6-30, 0-12 x 0-20 = 7-9, 0-12 x 0-21 = 7-21, 0-12 x 0-22 = 8-0, 0-12 x 0-23 = 8-12, 0-12 x 0-24 = 8-24, 0-12 x 0-25 = 9-3, 0-12 x 0-26 = 9-15, 0-12 x 0-27 = 9-27, 0-12 x 0-28 = 10-6, 0-12 x 0-29 = 10-18, 0-12 x 0-30 = 10-30, 0-12 x 0-31 = 11-9, 0-12 x 0-32 = 11-21, 
0-13 x 0-1 = 0-13, 0-13 x 0-2 = 0-26, 0-13 x 0-3 = 1-6, 0-13 x 0-4 = 1-19, 0-13 x 0-5 = 1-32, 0-13 x 0-6 = 2-12, 0-13 x 0-7 = 2-25, 0-13 x 0-8 = 3-5, 0-13 x 0-9 = 3-18, 0-13 x 0-10 = 3-31, 0-13 x 0-11 = 4-11, 0-13 x 0-12 = 4-24, 0-13 x 0-13 = 5-4, 0-13 x 0-14 = 5-17, 0-13 x 0-15 = 5-30, 0-13 x 0-16 = 6-10, 0-13 x 0-17 = 6-23, 0-13 x 0-18 = 7-3, 0-13 x 0-19 = 7-16, 0-13 x 0-20 = 7-29, 0-13 x 0-21 = 8-9, 0-13 x 0-22 = 8-22, 0-13 x 0-23 = 9-2, 0-13 x 0-24 = 9-15, 0-13 x 0-25 = 9-28, 0-13 x 0-26 = 10-8, 0-13 x 0-27 = 10-21, 0-13 x 0-28 = 11-1, 0-13 x 0-29 = 11-14, 0-13 x 0-30 = 11-27, 0-13 x 0-31 = 12-7, 0-13 x 0-32 = 12-20, 
0-14 x 0-1 = 0-14, 0-14 x 0-2 = 0-28, 0-14 x 0-3 = 1-9, 0-14 x 0-4 = 1-23, 0-14 x 0-5 = 2-4, 0-14 x 0-6 = 2-18, 0-14 x 0-7 = 2-32, 0-14 x 0-8 = 3-13, 0-14 x 0-9 = 3-27, 0-14 x 0-10 = 4-8, 0-14 x 0-11 = 4-22, 0-14 x 0-12 = 5-3, 0-14 x 0-13 = 5-17, 0-14 x 0-14 = 5-31, 0-14 x 0-15 = 6-12, 0-14 x 0-16 = 6-26, 0-14 x 0-17 = 7-7, 0-14 x 0-18 = 7-21, 0-14 x 0-19 = 8-2, 0-14 x 0-20 = 8-16, 0-14 x 0-21 = 8-30, 0-14 x 0-22 = 9-11, 0-14 x 0-23 = 9-25, 0-14 x 0-24 = 10-6, 0-14 x 0-25 = 10-20, 0-14 x 0-26 = 11-1, 0-14 x 0-27 = 11-15, 0-14 x 0-28 = 11-29, 0-14 x 0-29 = 12-10, 0-14 x 0-30 = 12-24, 0-14 x 0-31 = 13-5, 0-14 x 0-32 = 13-19, 
0-15 x 0-1 = 0-15, 0-15 x 0-2 = 0-30, 0-15 x 0-3 = 1-12, 0-15 x 0-4 = 1-27, 0-15 x 0-5 = 2-9, 0-15 x 0-6 = 2-24, 0-15 x 0-7 = 3-6, 0-15 x 0-8 = 3-21, 0-15 x 0-9 = 4-3, 0-15 x 0-10 = 4-18, 0-15 x 0-11 = 5-0, 0-15 x 0-12 = 5-15, 0-15 x 0-13 = 5-30, 0-15 x 0-14 = 6-12, 0-15 x 0-15 = 6-27, 0-15 x 0-16 = 7-9, 0-15 x 0-17 = 7-24, 0-15 x 0-18 = 8-6, 0-15 x 0-19 = 8-21, 0-15 x 0-20 = 9-3, 0-15 x 0-21 = 9-18, 0-15 x 0-22 = 10-0, 0-15 x 0-23 = 10-15, 0-15 x 0-24 = 10-30, 0-15 x 0-25 = 11-12, 0-15 x 0-26 = 11-27, 0-15 x 0-27 = 12-9, 0-15 x 0-28 = 12-24, 0-15 x 0-29 = 13-6, 0-15 x 0-30 = 13-21, 0-15 x 0-31 = 14-3, 0-15 x 0-32 = 14-18, 
0-16 x 0-1 = 0-16, 0-16 x 0-2 = 0-32, 0-16 x 0-3 = 1-15, 0-16 x 0-4 = 1-31, 0-16 x 0-5 = 2-14, 0-16 x 0-6 = 2-30, 0-16 x 0-7 = 3-13, 0-16 x 0-8 = 3-29, 0-16 x 0-9 = 4-12, 0-16 x 0-10 = 4-28, 0-16 x 0-11 = 5-11, 0-16 x 0-12 = 5-27, 0-16 x 0-13 = 6-10, 0-16 x 0-14 = 6-26, 0-16 x 0-15 = 7-9, 0-16 x 0-16 = 7-25, 0-16 x 0-17 = 8-8, 0-16 x 0-18 = 8-24, 0-16 x 0-19 = 9-7, 0-16 x 0-20 = 9-23, 0-16 x 0-21 = 10-6, 0-16 x 0-22 = 10-22, 0-16 x 0-23 = 11-5, 0-16 x 0-24 = 11-21, 0-16 x 0-25 = 12-4, 0-16 x 0-26 = 12-20, 0-16 x 0-27 = 13-3, 0-16 x 0-28 = 13-19, 0-16 x 0-29 = 14-2, 0-16 x 0-30 = 14-18, 0-16 x 0-31 = 15-1, 0-16 x 0-32 = 15-17, 
0-17 x 0-1 = 0-17, 0-17 x 0-2 = 1-1, 0-17 x 0-3 = 1-18, 0-17 x 0-4 = 2-2, 0-17 x 0-5 = 2-19, 0-17 x 0-6 = 3-3, 0-17 x 0-7 = 3-20, 0-17 x 0-8 = 4-4, 0-17 x 0-9 = 4-21, 0-17 x 0-10 = 5-5, 0-17 x 0-11 = 5-22, 0-17 x 0-12 = 6-6, 0-17 x 0-13 = 6-23, 0-17 x 0-14 = 7-7, 0-17 x 0-15 = 7-24, 0-17 x 0-16 = 8-8, 0-17 x 0-17 = 8-25, 0-17 x 0-18 = 9-9, 0-17 x 0-19 = 9-26, 0-17 x 0-20 = 10-10, 0-17 x 0-21 = 10-27, 0-17 x 0-22 = 11-11, 0-17 x 0-23 = 11-28, 0-17 x 0-24 = 12-12, 0-17 x 0-25 = 12-29, 0-17 x 0-26 = 13-13, 0-17 x 0-27 = 13-30, 0-17 x 0-28 = 14-14, 0-17 x 0-29 = 14-31, 0-17 x 0-30 = 15-15, 0-17 x 0-31 = 15-32, 0-17 x 0-32 = 16-16, 
0-18 x 0-1 = 0-18, 0-18 x 0-2 = 1-3, 0-18 x 0-3 = 1-21, 0-18 x 0-4 = 2-6, 0-18 x 0-5 = 2-24, 0-18 x 0-6 = 3-9, 0-18 x 0-7 = 3-27, 0-18 x 0-8 = 4-12, 0-18 x 0-9 = 4-30, 0-18 x 0-10 = 5-15, 0-18 x 0-11 = 6-0, 0-18 x 0-12 = 6-18, 0-18 x 0-13 = 7-3, 0-18 x 0-14 = 7-21, 0-18 x 0-15 = 8-6, 0-18 x 0-16 = 8-24, 0-18 x 0-17 = 9-9, 0-18 x 0-18 = 9-27, 0-18 x 0-19 = 10-12, 0-18 x 0-20 = 10-30, 0-18 x 0-21 = 11-15, 0-18 x 0-22 = 12-0, 0-18 x 0-23 = 12-18, 0-18 x 0-24 = 13-3, 0-18 x 0-25 = 13-21, 0-18 x 0-26 = 14-6, 0-18 x 0-27 = 14-24, 0-18 x 0-28 = 15-9, 0-18 x 0-29 = 15-27, 0-18 x 0-30 = 16-12, 0-18 x 0-31 = 16-30, 0-18 x 0-32 = 17-15, 
0-19 x 0-1 = 0-19, 0-19 x 0-2 = 1-5, 0-19 x 0-3 = 1-24, 0-19 x 0-4 = 2-10, 0-19 x 0-5 = 2-29, 0-19 x 0-6 = 3-15, 0-19 x 0-7 = 4-1, 0-19 x 0-8 = 4-20, 0-19 x 0-9 = 5-6, 0-19 x 0-10 = 5-25, 0-19 x 0-11 = 6-11, 0-19 x 0-12 = 6-30, 0-19 x 0-13 = 7-16, 0-19 x 0-14 = 8-2, 0-19 x 0-15 = 8-21, 0-19 x 0-16 = 9-7, 0-19 x 0-17 = 9-26, 0-19 x 0-18 = 10-12, 0-19 x 0-19 = 10-31, 0-19 x 0-20 = 11-17, 0-19 x 0-21 = 12-3, 0-19 x 0-22 = 12-22, 0-19 x 0-23 = 13-8, 0-19 x 0-24 = 13-27, 0-19 x 0-25 = 14-13, 0-19 x 0-26 = 14-32, 0-19 x 0-27 = 15-18, 0-19 x 0-28 = 16-4, 0-19 x 0-29 = 16-23, 0-19 x 0-30 = 17-9, 0-19 x 0-31 = 17-28, 0-19 x 0-32 = 18-14, 
0-20 x 0-1 = 0-20, 0-20 x 0-2 = 1-7, 0-20 x 0-3 = 1-27, 0-20 x 0-4 = 2-14, 0-20 x 0-5 = 3-1, 0-20 x 0-6 = 3-21, 0-20 x 0-7 = 4-8, 0-20 x 0-8 = 4-28, 0-20 x 0-9 = 5-15, 0-20 x 0-10 = 6-2, 0-20 x 0-11 = 6-22, 0-20 x 0-12 = 7-9, 0-20 x 0-13 = 7-29, 0-20 x 0-14 = 8-16, 0-20 x 0-15 = 9-3, 0-20 x 0-16 = 9-23, 0-20 x 0-17 = 10-10, 0-20 x 0-18 = 10-30, 0-20 x 0-19 = 11-17, 0-20 x 0-20 = 12-4, 0-20 x 0-21 = 12-24, 0-20 x 0-22 = 13-11, 0-20 x 0-23 = 13-31, 0-20 x 0-24 = 14-18, 0-20 x 0-25 = 15-5, 0-20 x 0-26 = 15-25, 0-20 x 0-27 = 16-12, 0-20 x 0-28 = 16-32, 0-20 x 0-29 = 17-19, 0-20 x 0-30 = 18-6, 0-20 x 0-31 = 18-26, 0-20 x 0-32 = 19-13, 
