0-11 x 0-1 = 0-11, 0-11 x 0-2 = 0-22, 0-11 x 0-3 = 0-33, 0-11 x 0-4 = 1-4, 0-11 x 0-5 = 1-15, 0-11 x 0-6 = 1-26, 0-11 x 0-7 = 1-37, 0-11 x 0-8 = 2-8, 0-11 x 0-9 = 2-19, 0-11 x 0-10 = 2-30, 0-11 x 0-11 = 3-1, 0-11 x 0-12 = 3-12, 0-11 x 0-13 = 3-23, 0-11 x 0-14 = 3-34, 0-11 x 0-15 = 4-5, 0-11 x 0-16 = 4-16, 0-11 x 0-17 = 4-27, 0-11 x 0-18 = 4-38, 0-11 x 0-19 = 5-9, 0-11 x 0-20 = 5-20, 0-11 x 0-21 = 5-31, 0-11 x 0-22 = 6-2, 0-11 x 0-23 = 6-13, 0-11 x 0-24 = 6-24, 0-11 x 0-25 = 6-35, 0-11 x 0-26 = 7-6, 0-11 x 0-27 = 7-17, 0-11 x 0-28 = 7-28, 0-11 x 0-29 = 7-39, 0-11 x 0-30 = 8-10, 0-11 x 0-31 = 8-21, 0-11 x 0-32 = 8-32, 0-11 x 0-33 = 9-3, 0-11 x 0-34 = 9-14, 0-11 x 0-35 = 9-25, 0-11 x 0-36 = 9-36, 0-11 x 0-37 = 10-7, 0-11 x 0-38 = 10-18, 0-11 x 0-39 = 10-29, 
0-12 x 0-1 = 0-12, 0-12 x 0-2 = 0-24, 0-12 x 0-3 = 0-36, 0-12 x 0-4 = 1-8, 0-12 x 0-5 = 1-20, 0-12 x 0-6 = 1-32, 0-12 x 0-7 = 2-4, 0-12 x 0-8 = 2-16, 0-12 x 0-9 = 2-28, 0-12 x 0-10 = 3-0, 0-12 x 0-11 = 3-12, 0-12 x 0-12 = 3-24, 0-12 x 0-13 = 3-36, 0-12 x 0-14 = 4-8, 0-12 x 0-15 = 4-20, 0-12 x 0-16 = 4-32, 0-12 x 0-17 = 5-4, 0-12 x 0-18 = 5-16, 0-12 x 0-19 = 5-28, 0-12 x 0-20 = 6-0, 0-12 x 0-21 = 6-12, 0-12 x 0-22 = 6-24, 0-12 x 0-23 = 6-36, 0-12 x 0-24 = 7-8, 0-12 x 0-25 = 7-20, 0-12 x 0-26 = 7-32, 0-12 x 0-27 = 8-4, 0-12 x 0-28 = 8-16, 0-12 x 0-29 = 8-28, 0-12 x 0-30 = 9-0, 0-12 x 0-31 = 9-12, 0-12 x 0-32 = 9-24, 0-12 x 0-33 = 9-36, 0-12 x 0-34 = 10-8, 0-12 x 0-35 = 10-20, 0-12 x 0-36 = 10-32, 0-12 x 0-37 = 11-4, 0-12 x 0-38 = 11-16, 0-12 x 0-39 = 11-28, 
0-13 x 0-1 = 0-13, 0-13 x 0-2 = 0-26, 0-13 x 0-3 = 0-39, 0-13 x 0-4 = 1-12, 0-13 x 0-5 = 1-25, 0-13 x 0-6 = 1-38, 0-13 x 0-7 = 2-11, 0-13 x 0-8 = 2-24, 0-13 x 0-9 = 2-37, 0-13 x 0-10 = 3-10, 0-13 x 0-11 = 3-23, 0-13 x 0-12 = 3-36, 0-13 x 0-13 = 4-9, 0-13 x 0-14 = 4-22, 0-13 x 0-15 = 4-35, 0-13 x 0-16 = 5-8, 0-13 x 0-17 = 5-21, 0-13 x 0-18 = 5-34, 0-13 x 0-19 = 6-7, 0-13 x 0-20 = 6-20, 0-13 x 0-21 = 6-33, 0-13 x 0-22 = 7-6, 0-13 x 0-23 = 7-19, 0-13 x 0-24 = 7-32, 0-13 x 0-25 = 8-5, 0-13 x 0-26 = 8-18, 0-13 x 0-27 = 8-31, 0-13 x 0-28 = 9-4, 0-13 x 0-29 = 9-17, 0-13 x 0-30 = 9-30, 0-13 x 0-31 = 10-3, 0-13 x 0-32 = 10-16, 0-13 x 0-33 = 10-29, 0-13 x 0-34 = 11-2, 0-13 x 0-35 = 11-15, 0-13 x 0-36 = 11-28, 0-13 x 0-37 = 12-1, 0-13 x 0-38 = 12-14, 0-13 x 0-39 = 12-27, 
0-14 x 0-1 = 0-14, 0-14 x 0-2 = 0-28, 0-14 x 0-3 = 1-2, 0-14 x 0-4 = 1-16, 0-14 x 0-5 = 1-30, 0-14 x 0-6 = 2-4, 0-14 x 0-7 = 2-18, 0-14 x 0-8 = 2-32, 0-14 x 0-9 = 3-6, 0-14 x 0-10 = 3-20, 0-14 x 0-11 = 3-34, 0-14 x 0-12 = 4-8, 0-14 x 0-13 = 4-22, 0-14 x 0-14 = 4-36, 0-14 x 0-15 = 5-10, 0-14 x 0-16 = 5-24, 0-14 x 0-17 = 5-38, 0-14 x 0-18 = 6-12, 0-14 x 0-19 = 6-26, 0-14 x 0-20 = 7-0, 0-14 x 0-21 = 7-14, 0-14 x 0-22 = 7-28, 0-14 x 0-23 = 8-2, 0-14 x 0-24 = 8-16, 0-14 x 0-25 = 8-30, 0-14 x 0-26 = 9-4, 0-14 x 0-27 = 9-18, 0-14 x 0-28 = 9-32, 0-14 x 0-29 = 10-6, 0-14 x 0-30 = 10-20, 0-14 x 0-31 = 10-34, 0-14 x 0-32 = 11-8, 0-14 x 0-33 = 11-22, 0-14 x 0-34 = 11-36, 0-14 x 0-35 = 12-10, 0-14 x 0-36 = 12-24, 0-14 x 0-37 = 12-38, 0-14 x 0-38 = 13-12, 0-14 x 0-39 = 13-26, 
0-15 x 0-1 = 0-15, 0-15 x 0-2 = 0-30, 0-15 x 0-3 = 1-5, 0-15 x 0-4 = 1-20, 0-15 x 0-5 = 1-35, 0-15 x 0-6 = 2-10, 0-15 x 0-7 = 2-25, 0-15 x 0-8 = 3-0, 0-15 x 0-9 = 3-15, 0-15 x 0-10 = 3-30, 0-15 x 0-11 = 4-5, 0-15 x 0-12 = 4-20, 0-15 x 0-13 = 4-35, 0-15 x 0-14 = 5-10, 0-15 x 0-15 = 5-25, 0-15 x 0-16 = 6-0, 0-15 x 0-17 = 6-15, 0-15 x 0-18 = 6-30, 0-15 x 0-19 = 7-5, 0-15 x 0-20 = 7-20, 0-15 x 0-21 = 7-35, 0-15 x 0-22 = 8-10, 0-15 x 0-23 = 8-25, 0-15 x 0-24 = 9-0, 0-15 x 0-25 = 9-15, 0-15 x 0-26 = 9-30, 0-15 x 0-27 = 10-5, 0-15 x 0-28 = 10-20, 0-15 x 0-29 = 10-35, 0-15 x 0-30 = 11-10, 0-15 x 0-31 = 11-25, 0-15 x 0-32 = 12-0, 0-15 x 0-33 = 12-15, 0-15 x 0-34 = 12-30, 0-15 x 0-35 = 13-5, 0-15 x 0-36 = 13-20, 0-15 x 0-37 = 13-35, 0-15 x 0-38 = 14-10, 0-15 x 0-39 = 14-25, 
0-16 x 0-1 = 0-16, 0-16 x 0-2 = 0-32, 0-16 x 0-3 = 1-8, 0-16 x 0-4 = 1-24, 0-16 x 0-5 = 2-0, 0-16 x 0-6 = 2-16, 0-16 x 0-7 = 2-32, 0-16 x 0-8 = 3-8, 0-16 x 0-9 = 3-24, 0-16 x 0-10 = 4-0, 0-16 x 0-11 = 4-16, 0-16 x 0-12 = 4-32, 0-16 x 0-13 = 5-8, 0-16 x 0-14 = 5-24, 0-16 x 0-15 = 6-0, 0-16 x 0-16 = 6-16, 0-16 x 0-17 = 6-32, 0-16 x 0-18 = 7-8, 0-16 x 0-19 = 7-24, 0-16 x 0-20 = 8-0, 0-16 x 0-21 = 8-16, 0-16 x 0-22 = 8-32, 0-16 x 0-23 = 9-8, 0-16 x 0-24 = 9-24, 0-16 x 0-25 = 10-0, 0-16 x 0-26 = 10-16, 0-16 x 0-27 = 10-32, 0-16 x 0-28 = 11-8, 0-16 x 0-29 = 11-24, 0-16 x 0-30 = 12-0, 0-16 x 0-31 = 12-16, 0-16 x 0-32 = 12-32, 0-16 x 0-33 = 13-8, 0-16 x 0-34 = 13-24, 0-16 x 0-35 = 14-0, 0-16 x 0-36 = 14-16, 0-16 x 0-37 = 14-32, 0-16 x 0-38 = 15-8, 0-16 x 0-39 = 15-24, 
0-17 x 0-1 = 0-17, 0-17 x 0-2 = 0-34, 0-17 x 0-3 = 1-11, 0-17 x 0-4 = 1-28, 0-17 x 0-5 = 2-5, 0-17 x 0-6 = 2-22, 0-17 x 0-7 = 2-39, 0-17 x 0-8 = 3-16, 0-17 x 0-9 = 3-33, 0-17 x 0-10 = 4-10, 0-17 x 0-11 = 4-27, 0-17 x 0-12 = 5-4, 0-17 x 0-13 = 5-21, 0-17 x 0-14 = 5-38, 0-17 x 0-15 = 6-15, 0-17 x 0-16 = 6-32, 0-17 x 0-17 = 7-9, 0-17 x 0-18 = 7-26, 0-17 x 0-19 = 8-3, 0-17 x 0-20 = 8-20, 0-17 x 0-21 = 8-37, 0-17 x 0-22 = 9-14, 0-17 x 0-23 = 9-31, 0-17 x 0-24 = 10-8, 0-17 x 0-25 = 10-25, 0-17 x 0-26 = 11-2, 0-17 x 0-27 = 11-19, 0-17 x 0-28 = 11-36, 0-17 x 0-29 = 12-13, 0-17 x 0-30 = 12-30, 0-17 x 0-31 = 13-7, 0-17 x 0-32 = 13-24, 0-17 x 0-33 = 14-1, 0-17 x 0-34 = 14-18, 0-17 x 0-35 = 14-35, 0-17 x 0-36 = 15-12, 0-17 x 0-37 = 15-29, 0-17 x 0-38 = 16-6, 0-17 x 0-39 = 16-23, 
0-18 x 0-1 = 0-18, 0-18 x 0-2 = 0-36, 0-18 x 0-3 = 1-14, 0-18 x 0-4 = 1-32, 0-18 x 0-5 = 2-10, 0-18 x 0-6 = 2-28, 0-18 x 0-7 = 3-6, 0-18 x 0-8 = 3-24, 0-18 x 0-9 = 4-2, 0-18 x 0-10 = 4-20, 0-18 x 0-11 = 4-38, 0-18 x 0-12 = 5-16, 0-18 x 0-13 = 5-34, 0-18 x 0-14 = 6-12, 0-18 x 0-15 = 6-30, 0-18 x 0-16 = 7-8, 0-18 x 0-17 = 7-26, 0-18 x 0-18 = 8-4, 0-18 x 0-19 = 8-22, 0-18 x 0-20 = 9-0, 0-18 x 0-21 = 9-18, 0-18 x 0-22 = 9-36, 0-18 x 0-23 = 10-14, 0-18 x 0-24 = 10-32, 0-18 x 0-25 = 11-10, 0-18 x 0-26 = 11-28, 0-18 x 0-27 = 12-6, 0-18 x 0-28 = 12-24, 0-18 x 0-29 = 13-2, 0-18 x 0-30 = 13-20, 0-18 x 0-31 = 13-38, 0-18 x 0-32 = 14-16, 0-18 x 0-33 = 14-34, 0-18 x 0-34 = 15-12, 0-18 x 0-35 = 15-30, 0-18 x 0-36 = 16-8, 0-18 x 0-37 = 16-26, 0-18 x 0-38 = 17-4, 0-18 x 0-39 = 17-22, 
0-19 x 0-1 = 0-19, 0-19 x 0-2 = 0-38, 0-19 x 0-3 = 1-17, 0-19 x 0-4 = 1-36, 0-19 x 0-5 = 2-15, 0-19 x 0-6 = 2-34, 0-19 x 0-7 = 3-13, 0-19 x 0-8 = 3-32, 0-19 x 0-9 = 4-11, 0-19 x 0-10 = 4-30, 0-19 x 0-11 = 5-9, 0-19 x 0-12 = 5-28, 0-19 x 0-13 = 6-7, 0-19 x 0-14 = 6-26, 0-19 x 0-15 = 7-5, 0-19 x 0-16 = 7-24, 0-19 x 0-17 = 8-3, 0-19 x 0-18 = 8-22, 0-19 x 0-19 = 9-1, 0-19 x 0-20 = 9-20, 0-19 x 0-21 = 9-39, 0-19 x 0-22 = 10-18, 0-19 x 0-23 = 10-37, 0-19 x 0-24 = 11-16, 0-19 x 0-25 = 11-35, 0-19 x 0-26 = 12-14, 0-19 x 0-27 = 12-33, 0-19 x 0-28 = 13-12, 0-19 x 0-29 = 13-31, 0-19 x 0-30 = 14-10, 0-19 x 0-31 = 14-29, 0-19 x 0-32 = 15-8, 0-19 x 0-33 = 15-27, 0-19 x 0-34 = 16-6, 0-19 x 0-35 = 16-25, 0-19 x 0-36 = 17-4, 0-19 x 0-37 = 17-23, 0-19 x 0-38 = 18-2, 0-19 x 0-39 = 18-21, 
0-20 x 0-1 = 0-20, 0-20 x 0-2 = 1-0, 0-20 x 0-3 = 1-20, 0-20 x 0-4 = 2-0, 0-20 x 0-5 = 2-20, 0-20 x 0-6 = 3-0, 0-20 x 0-7 = 3-20, 0-20 x 0-8 = 4-0, 0-20 x 0-9 = 4-20, 0-20 x 0-10 = 5-0, 0-20 x 0-11 = 5-20, 0-20 x 0-12 = 6-0, 0-20 x 0-13 = 6-20, 0-20 x 0-14 = 7-0, 0-20 x 0-15 = 7-20, 0-20 x 0-16 = 8-0, 0-20 x 0-17 = 8-20, 0-20 x 0-18 = 9-0, 0-20 x 0-19 = 9-20, 0-20 x 0-20 = 10-0, 0-20 x 0-21 = 10-20, 0-20 x 0-22 = 11-0, 0-20 x 0-23 = 11-20, 0-20 x 0-24 = 12-0, 0-20 x 0-25 = 12-20, 0-20 x 0-26 = 13-0, 0-20 x 0-27 = 13-20, 0-20 x 0-28 = 14-0, 0-20 x 0-29 = 14-20, 0-20 x 0-30 = 15-0, 0-20 x 0-31 = 15-20, 0-20 x 0-32 = 16-0, 0-20 x 0-33 = 16-20, 0-20 x 0-34 = 17-0, 0-20 x 0-35 = 17-20, 0-20 x 0-36 = 18-0, 0-20 x 0-37 = 18-20, 0-20 x 0-38 = 19-0, 0-20 x 0-39 = 19-20, 
