0-11 x 0-1 = 0-11, 0-11 x 0-2 = 0-22, 0-11 x 0-3 = 0-33, 0-11 x 0-4 = 1-7, 0-11 x 0-5 = 1-18, 0-11 x 0-6 = 1-29, 0-11 x 0-7 = 2-3, 0-11 x 0-8 = 2-14, 0-11 x 0-9 = 2-25, 0-11 x 0-10 = 2-36, 0-11 x 0-11 = 3-10, 0-11 x 0-12 = 3-21, 0-11 x 0-13 = 3-32, 0-11 x 0-14 = 4-6, 0-11 x 0-15 = 4-17, 0-11 x 0-16 = 4-28, 0-11 x 0-17 = 5-2, 0-11 x 0-18 = 5-13, 0-11 x 0-19 = 5-24, 0-11 x 0-20 = 5-35, 0-11 x 0-21 = 6-9, 0-11 x 0-22 = 6-20, 0-11 x 0-23 = 6-31, 0-11 x 0-24 = 7-5, 0-11 x 0-25 = 7-16, 0-11 x 0-26 = 7-27, 0-11 x 0-27 = 8-1, 0-11 x 0-28 = 8-12, 0-11 x 0-29 = 8-23, 0-11 x 0-30 = 8-34, 0-11 x 0-31 = 9-8, 0-11 x 0-32 = 9-19, 0-11 x 0-33 = 9-30, 0-11 x 0-34 = 10-4, 0-11 x 0-35 = 10-15, 0-11 x 0-36 = 10-26, 
0-12 x 0-1 = 0-12, 0-12 x 0-2 = 0-24, 0-12 x 0-3 = 0-36, 0-12 x 0-4 = 1-11, 0-12 x 0-5 = 1-23, 0-12 x 0-6 = 1-35, 0-12 x 0-7 = 2-10, 0-12 x 0-8 = 2-22, 0-12 x 0-9 = 2-34, 0-12 x 0-10 = 3-9, 0-12 x 0-11 = 3-21, 0-12 x 0-12 = 3-33, 0-12 x 0-13 = 4-8, 0-12 x 0-14 = 4-20, 0-12 x 0-15 = 4-32, 0-12 x 0-16 = 5-7, 0-12 x 0-17 = 5-19, 0-12 x 0-18 = 5-31, 0-12 x 0-19 = 6-6, 0-12 x 0-20 = 6-18, 0-12 x 0-21 = 6-30, 0-12 x 0-22 = 7-5, 0-12 x 0-23 = 7-17, 0-12 x 0-24 = 7-29, 0-12 x 0-25 = 8-4, 0-12 x 0-26 = 8-16, 0-12 x 0-27 = 8-28, 0-12 x 0-28 = 9-3, 0-12 x 0-29 = 9-15, 0-12 x 0-30 = 9-27, 0-12 x 0-31 = 10-2, 0-12 x 0-32 = 10-14, 0-12 x 0-33 = 10-26, 0-12 x 0-34 = 11-1, 0-12 x 0-35 = 11-13, 0-12 x 0-36 = 11-25, 
0-13 x 0-1 = 0-13, 0-13 x 0-2 = 0-26, 0-13 x 0-3 = 1-2, 0-13 x 0-4 = 1-15, 0-13 x 0-5 = 1-28, 0-13 x 0-6 = 2-4, 0-13 x 0-7 = 2-17, 0-13 x 0-8 = 2-30, 0-13 x 0-9 = 3-6, 0-13 x 0-10 = 3-19, 0-13 x 0-11 = 3-32, 0-13 x 0-12 = 4-8, 0-13 x 0-13 = 4-21, 0-13 x 0-14 = 4-34, 0-13 x 0-15 = 5-10, 0-13 x 0-16 = 5-23, 0-13 x 0-17 = 5-36, 0-13 x 0-18 = 6-12, 0-13 x 0-19 = 6-25, 0-13 x 0-20 = 7-1, 0-13 x 0-21 = 7-14, 0-13 x 0-22 = 7-27, 0-13 x 0-23 = 8-3, 0-13 x 0-24 = 8-16, 0-13 x 0-25 = 8-29, 0-13 x 0-26 = 9-5, 0-13 x 0-27 = 9-18, 0-13 x 0-28 = 9-31, 0-13 x 0-29 = 10-7, 0-13 x 0-30 = 10-20, 0-13 x 0-31 = 10-33, 0-13 x 0-32 = 11-9, 0-13 x 0-33 = 11-22, 0-13 x 0-34 = 11-35, 0-13 x 0-35 = 12-11, 0-13 x 0-36 = 12-24, 
0-14 x 0-1 = 0-14, 0-14 x 0-2 = 0-28, 0-14 x 0-3 = 1-5, 0-14 x 0-4 = 1-19, 0-14 x 0-5 = 1-33, 0-14 x 0-6 = 2-10, 0-14 x 0-7 = 2-24, 0-14 x 0-8 = 3-1, 0-14 x 0-9 = 3-15, 0-14 x 0-10 = 3-29, 0-14 x 0-11 = 4-6, 0-14 x 0-12 = 4-20, 0-14 x 0-13 = 4-34, 0-14 x 0-14 = 5-11, 0-14 x 0-15 = 5-25, 0-14 x 0-16 = 6-2, 0-14 x 0-17 = 6-16, 0-14 x 0-18 = 6-30, 0-14 x 0-19 = 7-7, 0-14 x 0-20 = 7-21, 0-14 x 0-21 = 7-35, 0-14 x 0-22 = 8-12, 0-14 x 0-23 = 8-26, 0-14 x 0-24 = 9-3, 0-14 x 0-25 = 9-17, 0-14 x 0-26 = 9-31, 0-14 x 0-27 = 10-8, 0-14 x 0-28 = 10-22, 0-14 x 0-29 = 10-36, 0-14 x 0-30 = 11-13, 0-14 x 0-31 = 11-27, 0-14 x 0-32 = 12-4, 0-14 x 0-33 = 12-18, 0-14 x 0-34 = 12-32, 0-14 x 0-35 = 13-9, 0-14 x 0-36 = 13-23, 
0-15 x 0-1 = 0-15, 0-15 x 0-2 = 0-30, 0-15 x 0-3 = 1-8, 0-15 x 0-4 = 1-23, 0-15 x 0-5 = 2-1, 0-15 x 0-6 = 2-16, 0-15 x 0-7 = 2-31, 0-15 x 0-8 = 3-9, 0-15 x 0-9 = 3-24, 0-15 x 0-10 = 4-2, 0-15 x 0-11 = 4-17, 0-15 x 0-12 = 4-32, 0-15 x 0-13 = 5-10, 0-15 x 0-14 = 5-25, 0-15 x 0-15 = 6-3, 0-15 x 0-16 = 6-18, 0-15 x 0-17 = 6-33, 0-15 x 0-18 = 7-11, 0-15 x 0-19 = 7-26, 0-15 x 0-20 = 8-4, 0-15 x 0-21 = 8-19, 0-15 x 0-22 = 8-34, 0-15 x 0-23 = 9-12, 0-15 x 0-24 = 9-27, 0-15 x 0-25 = 10-5, 0-15 x 0-26 = 10-20, 0-15 x 0-27 = 10-35, 0-15 x 0-28 = 11-13, 0-15 x 0-29 = 11-28, 0-15 x 0-30 = 12-6, 0-15 x 0-31 = 12-21, 0-15 x 0-32 = 12-36, 0-15 x 0-33 = 13-14, 0-15 x 0-34 = 13-29, 0-15 x 0-35 = 14-7, 0-15 x 0-36 = 14-22, 
0-16 x 0-1 = 0-16, 0-16 x 0-2 = 0-32, 0-16 x 0-3 = 1-11, 0-16 x 0-4 = 1-27, 0-16 x 0-5 = 2-6, 0-16 x 0-6 = 2-22, 0-16 x 0-7 = 3-1, 0-16 x 0-8 = 3-17, 0-16 x 0-9 = 3-33, 0-16 x 0-10 = 4-12, 0-16 x 0-11 = 4-28, 0-16 x 0-12 = 5-7, 0-16 x 0-13 = 5-23, 0-16 x 0-14 = 6-2, 0-16 x 0-15 = 6-18, 0-16 x 0-16 = 6-34, 0-16 x 0-17 = 7-13, 0-16 x 0-18 = 7-29, 0-16 x 0-19 = 8-8, 0-16 x 0-20 = 8-24, 0-16 x 0-21 = 9-3, 0-16 x 0-22 = 9-19, 0-16 x 0-23 = 9-35, 0-16 x 0-24 = 10-14, 0-16 x 0-25 = 10-30, 0-16 x 0-26 = 11-9, 0-16 x 0-27 = 11-25, 0-16 x 0-28 = 12-4, 0-16 x 0-29 = 12-20, 0-16 x 0-30 = 12-36, 0-16 x 0-31 = 13-15, 0-16 x 0-32 = 13-31, 0-16 x 0-33 = 14-10, 0-16 x 0-34 = 14-26, 0-16 x 0-35 = 15-5, 0-16 x 0-36 = 15-21, 
0-17 x 0-1 = 0-17, 0-17 x 0-2 = 0-34, 0-17 x 0-3 = 1-14, 0-17 x 0-4 = 1-31, 0-17 x 0-5 = 2-11, 0-17 x 0-6 = 2-28, 0-17 x 0-7 = 3-8, 0-17 x 0-8 = 3-25, 0-17 x 0-9 = 4-5, 0-17 x 0-10 = 4-22, 0-17 x 0-11 = 5-2, 0-17 x 0-12 = 5-19, 0-17 x 0-13 = 5-36, 0-17 x 0-14 = 6-16, 0-17 x 0-15 = 6-33, 0-17 x 0-16 = 7-13, 0-17 x 0-17 = 7-30, 0-17 x 0-18 = 8-10, 0-17 x 0-19 = 8-27, 0-17 x 0-20 = 9-7, 0-17 x 0-21 = 9-24, 0-17 x 0-22 = 10-4, 0-17 x 0-23 = 10-21, 0-17 x 0-24 = 11-1, 0-17 x 0-25 = 11-18, 0-17 x 0-26 = 11-35, 0-17 x 0-27 = 12-15, 0-17 x 0-28 = 12-32, 0-17 x 0-29 = 13-12, 0-17 x 0-30 = 13-29, 0-17 x 0-31 = 14-9, 0-17 x 0-32 = 14-26, 0-17 x 0-33 = 15-6, 0-17 x 0-34 = 15-23, 0-17 x 0-35 = 16-3, 0-17 x 0-36 = 16-20, 
0-18 x 0-1 = 0-18, 0-18 x 0-2 = 0-36, 0-18 x 0-3 = 1-17, 0-18 x 0-4 = 1-35, 0-18 x 0-5 = 2-16, 0-18 x 0-6 = 2-34, 0-18 x 0-7 = 3-15, 0-18 x 0-8 = 3-33, 0-18 x 0-9 = 4-14, 0-18 x 0-10 = 4-32, 0-18 x 0-11 = 5-13, 0-18 x 0-12 = 5-31, 0-18 x 0-13 = 6-12, 0-18 x 0-14 = 6-30, 0-18 x 0-15 = 7-11, 0-18 x 0-16 = 7-29, 0-18 x 0-17 = 8-10, 0-18 x 0-18 = 8-28, 0-18 x 0-19 = 9-9, 0-18 x 0-20 = 9-27, 0-18 x 0-21 = 10-8, 0-18 x 0-22 = 10-26, 0-18 x 0-23 = 11-7, 0-18 x 0-24 = 11-25, 0-18 x 0-25 = 12-6, 0-18 x 0-26 = 12-24, 0-18 x 0-27 = 13-5, 0-18 x 0-28 = 13-23, 0-18 x 0-29 = 14-4, 0-18 x 0-30 = 14-22, 0-18 x 0-31 = 15-3, 0-18 x 0-32 = 15-21, 0-18 x 0-33 = 16-2, 0-18 x 0-34 = 16-20, 0-18 x 0-35 = 17-1, 0-18 x 0-36 = 17-19, 
0-19 x 0-1 = 0-19, 0-19 x 0-2 = 1-1, 0-19 x 0-3 = 1-20, 0-19 x 0-4 = 2-2, 0-19 x 0-5 = 2-21, 0-19 x 0-6 = 3-3, 0-19 x 0-7 = 3-22, 0-19 x 0-8 = 4-4, 0-19 x 0-9 = 4-23, 0-19 x 0-10 = 5-5, 0-19 x 0-11 = 5-24, 0-19 x 0-12 = 6-6, 0-19 x 0-13 = 6-25, 0-19 x 0-14 = 7-7, 0-19 x 0-15 = 7-26, 0-19 x 0-16 = 8-8, 0-19 x 0-17 = 8-27, 0-19 x 0-18 = 9-9, 0-19 x 0-19 = 9-28, 0-19 x 0-20 = 10-10, 0-19 x 0-21 = 10-29, 0-19 x 0-22 = 11-11, 0-19 x 0-23 = 11-30, 0-19 x 0-24 = 12-12, 0-19 x 0-25 = 12-31, 0-19 x 0-26 = 13-13, 0-19 x 0-27 = 13-32, 0-19 x 0-28 = 14-14, 0-19 x 0-29 = 14-33, 0-19 x 0-30 = 15-15, 0-19 x 0-31 = 15-34, 0-19 x 0-32 = 16-16, 0-19 x 0-33 = 16-35, 0-19 x 0-34 = 17-17, 0-19 x 0-35 = 17-36, 0-19 x 0-36 = 18-18, 
0-20 x 0-1 = 0-20, 0-20 x 0-2 = 1-3, 0-20 x 0-3 = 1-23, 0-20 x 0-4 = 2-6, 0-20 x 0-5 = 2-26, 0-20 x 0-6 = 3-9, 0-20 x 0-7 = 3-29, 0-20 x 0-8 = 4-12, 0-20 x 0-9 = 4-32, 0-20 x 0-10 = 5-15, 0-20 x 0-11 = 5-35, 0-20 x 0-12 = 6-18, 0-20 x 0-13 = 7-1, 0-20 x 0-14 = 7-21, 0-20 x 0-15 = 8-4, 0-20 x 0-16 = 8-24, 0-20 x 0-17 = 9-7, 0-20 x 0-18 = 9-27, 0-20 x 0-19 = 10-10, 0-20 x 0-20 = 10-30, 0-20 x 0-21 = 11-13, 0-20 x 0-22 = 11-33, 0-20 x 0-23 = 12-16, 0-20 x 0-24 = 12-36, 0-20 x 0-25 = 13-19, 0-20 x 0-26 = 14-2, 0-20 x 0-27 = 14-22, 0-20 x 0-28 = 15-5, 0-20 x 0-29 = 15-25, 0-20 x 0-30 = 16-8, 0-20 x 0-31 = 16-28, 0-20 x 0-32 = 17-11, 0-20 x 0-33 = 17-31, 0-20 x 0-34 = 18-14, 0-20 x 0-35 = 18-34, 0-20 x 0-36 = 19-17, 
