11 x 1 = 0-11, 11 x 2 = 0-22, 11 x 3 = 1-9, 11 x 4 = 1-20, 11 x 5 = 2-7, 11 x 6 = 2-18, 11 x 7 = 3-5, 11 x 8 = 3-16, 11 x 9 = 4-3, 11 x 10 = 4-14, 11 x 11 = 5-1, 11 x 12 = 5-12, 11 x 13 = 5-23, 11 x 14 = 6-10, 11 x 15 = 6-21, 11 x 16 = 7-8, 11 x 17 = 7-19, 11 x 18 = 8-6, 11 x 19 = 8-17, 11 x 20 = 9-4, 11 x 21 = 9-15, 11 x 22 = 10-2, 11 x 23 = 10-13, 
12 x 1 = 0-12, 12 x 2 = 1-0, 12 x 3 = 1-12, 12 x 4 = 2-0, 12 x 5 = 2-12, 12 x 6 = 3-0, 12 x 7 = 3-12, 12 x 8 = 4-0, 12 x 9 = 4-12, 12 x 10 = 5-0, 12 x 11 = 5-12, 12 x 12 = 6-0, 12 x 13 = 6-12, 12 x 14 = 7-0, 12 x 15 = 7-12, 12 x 16 = 8-0, 12 x 17 = 8-12, 12 x 18 = 9-0, 12 x 19 = 9-12, 12 x 20 = 10-0, 12 x 21 = 10-12, 12 x 22 = 11-0, 12 x 23 = 11-12, 
13 x 1 = 0-13, 13 x 2 = 1-2, 13 x 3 = 1-15, 13 x 4 = 2-4, 13 x 5 = 2-17, 13 x 6 = 3-6, 13 x 7 = 3-19, 13 x 8 = 4-8, 13 x 9 = 4-21, 13 x 10 = 5-10, 13 x 11 = 5-23, 13 x 12 = 6-12, 13 x 13 = 7-1, 13 x 14 = 7-14, 13 x 15 = 8-3, 13 x 16 = 8-16, 13 x 17 = 9-5, 13 x 18 = 9-18, 13 x 19 = 10-7, 13 x 20 = 10-20, 13 x 21 = 11-9, 13 x 22 = 11-22, 13 x 23 = 12-11, 
14 x 1 = 0-14, 14 x 2 = 1-4, 14 x 3 = 1-18, 14 x 4 = 2-8, 14 x 5 = 2-22, 14 x 6 = 3-12, 14 x 7 = 4-2, 14 x 8 = 4-16, 14 x 9 = 5-6, 14 x 10 = 5-20, 14 x 11 = 6-10, 14 x 12 = 7-0, 14 x 13 = 7-14, 14 x 14 = 8-4, 14 x 15 = 8-18, 14 x 16 = 9-8, 14 x 17 = 9-22, 14 x 18 = 10-12, 14 x 19 = 11-2, 14 x 20 = 11-16, 14 x 21 = 12-6, 14 x 22 = 12-20, 14 x 23 = 13-10, 
15 x 1 = 0-15, 15 x 2 = 1-6, 15 x 3 = 1-21, 15 x 4 = 2-12, 15 x 5 = 3-3, 15 x 6 = 3-18, 15 x 7 = 4-9, 15 x 8 = 5-0, 15 x 9 = 5-15, 15 x 10 = 6-6, 15 x 11 = 6-21, 15 x 12 = 7-12, 15 x 13 = 8-3, 15 x 14 = 8-18, 15 x 15 = 9-9, 15 x 16 = 10-0, 15 x 17 = 10-15, 15 x 18 = 11-6, 15 x 19 = 11-21, 15 x 20 = 12-12, 15 x 21 = 13-3, 15 x 22 = 13-18, 15 x 23 = 14-9, 
16 x 1 = 0-16, 16 x 2 = 1-8, 16 x 3 = 2-0, 16 x 4 = 2-16, 16 x 5 = 3-8, 16 x 6 = 4-0, 16 x 7 = 4-16, 16 x 8 = 5-8, 16 x 9 = 6-0, 16 x 10 = 6-16, 16 x 11 = 7-8, 16 x 12 = 8-0, 16 x 13 = 8-16, 16 x 14 = 9-8, 16 x 15 = 10-0, 16 x 16 = 10-16, 16 x 17 = 11-8, 16 x 18 = 12-0, 16 x 19 = 12-16, 16 x 20 = 13-8, 16 x 21 = 14-0, 16 x 22 = 14-16, 16 x 23 = 15-8, 
17 x 1 = 0-17, 17 x 2 = 1-10, 17 x 3 = 2-3, 17 x 4 = 2-20, 17 x 5 = 3-13, 17 x 6 = 4-6, 17 x 7 = 4-23, 17 x 8 = 5-16, 17 x 9 = 6-9, 17 x 10 = 7-2, 17 x 11 = 7-19, 17 x 12 = 8-12, 17 x 13 = 9-5, 17 x 14 = 9-22, 17 x 15 = 10-15, 17 x 16 = 11-8, 17 x 17 = 12-1, 17 x 18 = 12-18, 17 x 19 = 13-11, 17 x 20 = 14-4, 17 x 21 = 14-21, 17 x 22 = 15-14, 17 x 23 = 16-7, 
18 x 1 = 0-18, 18 x 2 = 1-12, 18 x 3 = 2-6, 18 x 4 = 3-0, 18 x 5 = 3-18, 18 x 6 = 4-12, 18 x 7 = 5-6, 18 x 8 = 6-0, 18 x 9 = 6-18, 18 x 10 = 7-12, 18 x 11 = 8-6, 18 x 12 = 9-0, 18 x 13 = 9-18, 18 x 14 = 10-12, 18 x 15 = 11-6, 18 x 16 = 12-0, 18 x 17 = 12-18, 18 x 18 = 13-12, 18 x 19 = 14-6, 18 x 20 = 15-0, 18 x 21 = 15-18, 18 x 22 = 16-12, 18 x 23 = 17-6, 
19 x 1 = 0-19, 19 x 2 = 1-14, 19 x 3 = 2-9, 19 x 4 = 3-4, 19 x 5 = 3-23, 19 x 6 = 4-18, 19 x 7 = 5-13, 19 x 8 = 6-8, 19 x 9 = 7-3, 19 x 10 = 7-22, 19 x 11 = 8-17, 19 x 12 = 9-12, 19 x 13 = 10-7, 19 x 14 = 11-2, 19 x 15 = 11-21, 19 x 16 = 12-16, 19 x 17 = 13-11, 19 x 18 = 14-6, 19 x 19 = 15-1, 19 x 20 = 15-20, 19 x 21 = 16-15, 19 x 22 = 17-10, 19 x 23 = 18-5, 
20 x 1 = 0-20, 20 x 2 = 1-16, 20 x 3 = 2-12, 20 x 4 = 3-8, 20 x 5 = 4-4, 20 x 6 = 5-0, 20 x 7 = 5-20, 20 x 8 = 6-16, 20 x 9 = 7-12, 20 x 10 = 8-8, 20 x 11 = 9-4, 20 x 12 = 10-0, 20 x 13 = 10-20, 20 x 14 = 11-16, 20 x 15 = 12-12, 20 x 16 = 13-8, 20 x 17 = 14-4, 20 x 18 = 15-0, 20 x 19 = 15-20, 20 x 20 = 16-16, 20 x 21 = 17-12, 20 x 22 = 18-8, 20 x 23 = 19-4, 
21 x 1 = 0-21, 21 x 2 = 1-18, 21 x 3 = 2-15, 21 x 4 = 3-12, 21 x 5 = 4-9, 21 x 6 = 5-6, 21 x 7 = 6-3, 21 x 8 = 7-0, 21 x 9 = 7-21, 21 x 10 = 8-18, 21 x 11 = 9-15, 21 x 12 = 10-12, 21 x 13 = 11-9, 21 x 14 = 12-6, 21 x 15 = 13-3, 21 x 16 = 14-0, 21 x 17 = 14-21, 21 x 18 = 15-18, 21 x 19 = 16-15, 21 x 20 = 17-12, 21 x 21 = 18-9, 21 x 22 = 19-6, 21 x 23 = 20-3, 
22 x 1 = 0-22, 22 x 2 = 1-20, 22 x 3 = 2-18, 22 x 4 = 3-16, 22 x 5 = 4-14, 22 x 6 = 5-12, 22 x 7 = 6-10, 22 x 8 = 7-8, 22 x 9 = 8-6, 22 x 10 = 9-4, 22 x 11 = 10-2, 22 x 12 = 11-0, 22 x 13 = 11-22, 22 x 14 = 12-20, 22 x 15 = 13-18, 22 x 16 = 14-16, 22 x 17 = 15-14, 22 x 18 = 16-12, 22 x 19 = 17-10, 22 x 20 = 18-8, 22 x 21 = 19-6, 22 x 22 = 20-4, 22 x 23 = 21-2, 
23 x 1 = 0-23, 23 x 2 = 1-22, 23 x 3 = 2-21, 23 x 4 = 3-20, 23 x 5 = 4-19, 23 x 6 = 5-18, 23 x 7 = 6-17, 23 x 8 = 7-16, 23 x 9 = 8-15, 23 x 10 = 9-14, 23 x 11 = 10-13, 23 x 12 = 11-12, 23 x 13 = 12-11, 23 x 14 = 13-10, 23 x 15 = 14-9, 23 x 16 = 15-8, 23 x 17 = 16-7, 23 x 18 = 17-6, 23 x 19 = 18-5, 23 x 20 = 19-4, 23 x 21 = 20-3, 23 x 22 = 21-2, 23 x 23 = 22-1, 
