11 x 1 = 0-11, 11 x 2 = 0-22, 11 x 3 = 0-33, 11 x 4 = 0-44, 11 x 5 = 1-7, 11 x 6 = 1-18, 11 x 7 = 1-29, 11 x 8 = 1-40, 11 x 9 = 2-3, 11 x 10 = 2-14, 11 x 11 = 2-25, 11 x 12 = 2-36, 11 x 13 = 2-47, 11 x 14 = 3-10, 11 x 15 = 3-21, 11 x 16 = 3-32, 11 x 17 = 3-43, 11 x 18 = 4-6, 11 x 19 = 4-17, 11 x 20 = 4-28, 11 x 21 = 4-39, 11 x 22 = 5-2, 11 x 23 = 5-13, 11 x 24 = 5-24, 11 x 25 = 5-35, 11 x 26 = 5-46, 11 x 27 = 6-9, 11 x 28 = 6-20, 11 x 29 = 6-31, 11 x 30 = 6-42, 11 x 31 = 7-5, 11 x 32 = 7-16, 11 x 33 = 7-27, 11 x 34 = 7-38, 11 x 35 = 8-1, 11 x 36 = 8-12, 11 x 37 = 8-23, 11 x 38 = 8-34, 11 x 39 = 8-45, 11 x 40 = 9-8, 11 x 41 = 9-19, 11 x 42 = 9-30, 11 x 43 = 9-41, 11 x 44 = 10-4, 11 x 45 = 10-15, 11 x 46 = 10-26, 11 x 47 = 10-37, 
12 x 1 = 0-12, 12 x 2 = 0-24, 12 x 3 = 0-36, 12 x 4 = 1-0, 12 x 5 = 1-12, 12 x 6 = 1-24, 12 x 7 = 1-36, 12 x 8 = 2-0, 12 x 9 = 2-12, 12 x 10 = 2-24, 12 x 11 = 2-36, 12 x 12 = 3-0, 12 x 13 = 3-12, 12 x 14 = 3-24, 12 x 15 = 3-36, 12 x 16 = 4-0, 12 x 17 = 4-12, 12 x 18 = 4-24, 12 x 19 = 4-36, 12 x 20 = 5-0, 12 x 21 = 5-12, 12 x 22 = 5-24, 12 x 23 = 5-36, 12 x 24 = 6-0, 12 x 25 = 6-12, 12 x 26 = 6-24, 12 x 27 = 6-36, 12 x 28 = 7-0, 12 x 29 = 7-12, 12 x 30 = 7-24, 12 x 31 = 7-36, 12 x 32 = 8-0, 12 x 33 = 8-12, 12 x 34 = 8-24, 12 x 35 = 8-36, 12 x 36 = 9-0, 12 x 37 = 9-12, 12 x 38 = 9-24, 12 x 39 = 9-36, 12 x 40 = 10-0, 12 x 41 = 10-12, 12 x 42 = 10-24, 12 x 43 = 10-36, 12 x 44 = 11-0, 12 x 45 = 11-12, 12 x 46 = 11-24, 12 x 47 = 11-36, 
13 x 1 = 0-13, 13 x 2 = 0-26, 13 x 3 = 0-39, 13 x 4 = 1-4, 13 x 5 = 1-17, 13 x 6 = 1-30, 13 x 7 = 1-43, 13 x 8 = 2-8, 13 x 9 = 2-21, 13 x 10 = 2-34, 13 x 11 = 2-47, 13 x 12 = 3-12, 13 x 13 = 3-25, 13 x 14 = 3-38, 13 x 15 = 4-3, 13 x 16 = 4-16, 13 x 17 = 4-29, 13 x 18 = 4-42, 13 x 19 = 5-7, 13 x 20 = 5-20, 13 x 21 = 5-33, 13 x 22 = 5-46, 13 x 23 = 6-11, 13 x 24 = 6-24, 13 x 25 = 6-37, 13 x 26 = 7-2, 13 x 27 = 7-15, 13 x 28 = 7-28, 13 x 29 = 7-41, 13 x 30 = 8-6, 13 x 31 = 8-19, 13 x 32 = 8-32, 13 x 33 = 8-45, 13 x 34 = 9-10, 13 x 35 = 9-23, 13 x 36 = 9-36, 13 x 37 = 10-1, 13 x 38 = 10-14, 13 x 39 = 10-27, 13 x 40 = 10-40, 13 x 41 = 11-5, 13 x 42 = 11-18, 13 x 43 = 11-31, 13 x 44 = 11-44, 13 x 45 = 12-9, 13 x 46 = 12-22, 13 x 47 = 12-35, 
14 x 1 = 0-14, 14 x 2 = 0-28, 14 x 3 = 0-42, 14 x 4 = 1-8, 14 x 5 = 1-22, 14 x 6 = 1-36, 14 x 7 = 2-2, 14 x 8 = 2-16, 14 x 9 = 2-30, 14 x 10 = 2-44, 14 x 11 = 3-10, 14 x 12 = 3-24, 14 x 13 = 3-38, 14 x 14 = 4-4, 14 x 15 = 4-18, 14 x 16 = 4-32, 14 x 17 = 4-46, 14 x 18 = 5-12, 14 x 19 = 5-26, 14 x 20 = 5-40, 14 x 21 = 6-6, 14 x 22 = 6-20, 14 x 23 = 6-34, 14 x 24 = 7-0, 14 x 25 = 7-14, 14 x 26 = 7-28, 14 x 27 = 7-42, 14 x 28 = 8-8, 14 x 29 = 8-22, 14 x 30 = 8-36, 14 x 31 = 9-2, 14 x 32 = 9-16, 14 x 33 = 9-30, 14 x 34 = 9-44, 14 x 35 = 10-10, 14 x 36 = 10-24, 14 x 37 = 10-38, 14 x 38 = 11-4, 14 x 39 = 11-18, 14 x 40 = 11-32, 14 x 41 = 11-46, 14 x 42 = 12-12, 14 x 43 = 12-26, 14 x 44 = 12-40, 14 x 45 = 13-6, 14 x 46 = 13-20, 14 x 47 = 13-34, 
15 x 1 = 0-15, 15 x 2 = 0-30, 15 x 3 = 0-45, 15 x 4 = 1-12, 15 x 5 = 1-27, 15 x 6 = 1-42, 15 x 7 = 2-9, 15 x 8 = 2-24, 15 x 9 = 2-39, 15 x 10 = 3-6, 15 x 11 = 3-21, 15 x 12 = 3-36, 15 x 13 = 4-3, 15 x 14 = 4-18, 15 x 15 = 4-33, 15 x 16 = 5-0, 15 x 17 = 5-15, 15 x 18 = 5-30, 15 x 19 = 5-45, 15 x 20 = 6-12, 15 x 21 = 6-27, 15 x 22 = 6-42, 15 x 23 = 7-9, 15 x 24 = 7-24, 15 x 25 = 7-39, 15 x 26 = 8-6, 15 x 27 = 8-21, 15 x 28 = 8-36, 15 x 29 = 9-3, 15 x 30 = 9-18, 15 x 31 = 9-33, 15 x 32 = 10-0, 15 x 33 = 10-15, 15 x 34 = 10-30, 15 x 35 = 10-45, 15 x 36 = 11-12, 15 x 37 = 11-27, 15 x 38 = 11-42, 15 x 39 = 12-9, 15 x 40 = 12-24, 15 x 41 = 12-39, 15 x 42 = 13-6, 15 x 43 = 13-21, 15 x 44 = 13-36, 15 x 45 = 14-3, 15 x 46 = 14-18, 15 x 47 = 14-33, 
16 x 1 = 0-16, 16 x 2 = 0-32, 16 x 3 = 1-0, 16 x 4 = 1-16, 16 x 5 = 1-32, 16 x 6 = 2-0, 16 x 7 = 2-16, 16 x 8 = 2-32, 16 x 9 = 3-0, 16 x 10 = 3-16, 16 x 11 = 3-32, 16 x 12 = 4-0, 16 x 13 = 4-16, 16 x 14 = 4-32, 16 x 15 = 5-0, 16 x 16 = 5-16, 16 x 17 = 5-32, 16 x 18 = 6-0, 16 x 19 = 6-16, 16 x 20 = 6-32, 16 x 21 = 7-0, 16 x 22 = 7-16, 16 x 23 = 7-32, 16 x 24 = 8-0, 16 x 25 = 8-16, 16 x 26 = 8-32, 16 x 27 = 9-0, 16 x 28 = 9-16, 16 x 29 = 9-32, 16 x 30 = 10-0, 16 x 31 = 10-16, 16 x 32 = 10-32, 16 x 33 = 11-0, 16 x 34 = 11-16, 16 x 35 = 11-32, 16 x 36 = 12-0, 16 x 37 = 12-16, 16 x 38 = 12-32, 16 x 39 = 13-0, 16 x 40 = 13-16, 16 x 41 = 13-32, 16 x 42 = 14-0, 16 x 43 = 14-16, 16 x 44 = 14-32, 16 x 45 = 15-0, 16 x 46 = 15-16, 16 x 47 = 15-32, 
17 x 1 = 0-17, 17 x 2 = 0-34, 17 x 3 = 1-3, 17 x 4 = 1-20, 17 x 5 = 1-37, 17 x 6 = 2-6, 17 x 7 = 2-23, 17 x 8 = 2-40, 17 x 9 = 3-9, 17 x 10 = 3-26, 17 x 11 = 3-43, 17 x 12 = 4-12, 17 x 13 = 4-29, 17 x 14 = 4-46, 17 x 15 = 5-15, 17 x 16 = 5-32, 17 x 17 = 6-1, 17 x 18 = 6-18, 17 x 19 = 6-35, 17 x 20 = 7-4, 17 x 21 = 7-21, 17 x 22 = 7-38, 17 x 23 = 8-7, 17 x 24 = 8-24, 17 x 25 = 8-41, 17 x 26 = 9-10, 17 x 27 = 9-27, 17 x 28 = 9-44, 17 x 29 = 10-13, 17 x 30 = 10-30, 17 x 31 = 10-47, 17 x 32 = 11-16, 17 x 33 = 11-33, 17 x 34 = 12-2, 17 x 35 = 12-19, 17 x 36 = 12-36, 17 x 37 = 13-5, 17 x 38 = 13-22, 17 x 39 = 13-39, 17 x 40 = 14-8, 17 x 41 = 14-25, 17 x 42 = 14-42, 17 x 43 = 15-11, 17 x 44 = 15-28, 17 x 45 = 15-45, 17 x 46 = 16-14, 17 x 47 = 16-31, 
18 x 1 = 0-18, 18 x 2 = 0-36, 18 x 3 = 1-6, 18 x 4 = 1-24, 18 x 5 = 1-42, 18 x 6 = 2-12, 18 x 7 = 2-30, 18 x 8 = 3-0, 18 x 9 = 3-18, 18 x 10 = 3-36, 18 x 11 = 4-6, 18 x 12 = 4-24, 18 x 13 = 4-42, 18 x 14 = 5-12, 18 x 15 = 5-30, 18 x 16 = 6-0, 18 x 17 = 6-18, 18 x 18 = 6-36, 18 x 19 = 7-6, 18 x 20 = 7-24, 18 x 21 = 7-42, 18 x 22 = 8-12, 18 x 23 = 8-30, 18 x 24 = 9-0, 18 x 25 = 9-18, 18 x 26 = 9-36, 18 x 27 = 10-6, 18 x 28 = 10-24, 18 x 29 = 10-42, 18 x 30 = 11-12, 18 x 31 = 11-30, 18 x 32 = 12-0, 18 x 33 = 12-18, 18 x 34 = 12-36, 18 x 35 = 13-6, 18 x 36 = 13-24, 18 x 37 = 13-42, 18 x 38 = 14-12, 18 x 39 = 14-30, 18 x 40 = 15-0, 18 x 41 = 15-18, 18 x 42 = 15-36, 18 x 43 = 16-6, 18 x 44 = 16-24, 18 x 45 = 16-42, 18 x 46 = 17-12, 18 x 47 = 17-30, 
19 x 1 = 0-19, 19 x 2 = 0-38, 19 x 3 = 1-9, 19 x 4 = 1-28, 19 x 5 = 1-47, 19 x 6 = 2-18, 19 x 7 = 2-37, 19 x 8 = 3-8, 19 x 9 = 3-27, 19 x 10 = 3-46, 19 x 11 = 4-17, 19 x 12 = 4-36, 19 x 13 = 5-7, 19 x 14 = 5-26, 19 x 15 = 5-45, 19 x 16 = 6-16, 19 x 17 = 6-35, 19 x 18 = 7-6, 19 x 19 = 7-25, 19 x 20 = 7-44, 19 x 21 = 8-15, 19 x 22 = 8-34, 19 x 23 = 9-5, 19 x 24 = 9-24, 19 x 25 = 9-43, 19 x 26 = 10-14, 19 x 27 = 10-33, 19 x 28 = 11-4, 19 x 29 = 11-23, 19 x 30 = 11-42, 19 x 31 = 12-13, 19 x 32 = 12-32, 19 x 33 = 13-3, 19 x 34 = 13-22, 19 x 35 = 13-41, 19 x 36 = 14-12, 19 x 37 = 14-31, 19 x 38 = 15-2, 19 x 39 = 15-21, 19 x 40 = 15-40, 19 x 41 = 16-11, 19 x 42 = 16-30, 19 x 43 = 17-1, 19 x 44 = 17-20, 19 x 45 = 17-39, 19 x 46 = 18-10, 19 x 47 = 18-29, 
20 x 1 = 0-20, 20 x 2 = 0-40, 20 x 3 = 1-12, 20 x 4 = 1-32, 20 x 5 = 2-4, 20 x 6 = 2-24, 20 x 7 = 2-44, 20 x 8 = 3-16, 20 x 9 = 3-36, 20 x 10 = 4-8, 20 x 11 = 4-28, 20 x 12 = 5-0, 20 x 13 = 5-20, 20 x 14 = 5-40, 20 x 15 = 6-12, 20 x 16 = 6-32, 20 x 17 = 7-4, 20 x 18 = 7-24, 20 x 19 = 7-44, 20 x 20 = 8-16, 20 x 21 = 8-36, 20 x 22 = 9-8, 20 x 23 = 9-28, 20 x 24 = 10-0, 20 x 25 = 10-20, 20 x 26 = 10-40, 20 x 27 = 11-12, 20 x 28 = 11-32, 20 x 29 = 12-4, 20 x 30 = 12-24, 20 x 31 = 12-44, 20 x 32 = 13-16, 20 x 33 = 13-36, 20 x 34 = 14-8, 20 x 35 = 14-28, 20 x 36 = 15-0, 20 x 37 = 15-20, 20 x 38 = 15-40, 20 x 39 = 16-12, 20 x 40 = 16-32, 20 x 41 = 17-4, 20 x 42 = 17-24, 20 x 43 = 17-44, 20 x 44 = 18-16, 20 x 45 = 18-36, 20 x 46 = 19-8, 20 x 47 = 19-28, 
