11 x 1 = 0-11, 11 x 2 = 0-22, 11 x 3 = 0-33, 11 x 4 = 1-1, 11 x 5 = 1-12, 11 x 6 = 1-23, 11 x 7 = 1-34, 11 x 8 = 2-2, 11 x 9 = 2-13, 11 x 10 = 2-24, 11 x 11 = 2-35, 11 x 12 = 3-3, 11 x 13 = 3-14, 11 x 14 = 3-25, 11 x 15 = 3-36, 11 x 16 = 4-4, 11 x 17 = 4-15, 11 x 18 = 4-26, 11 x 19 = 4-37, 11 x 20 = 5-5, 11 x 21 = 5-16, 11 x 22 = 5-27, 11 x 23 = 5-38, 11 x 24 = 6-6, 11 x 25 = 6-17, 11 x 26 = 6-28, 11 x 27 = 6-39, 11 x 28 = 7-7, 11 x 29 = 7-18, 11 x 30 = 7-29, 11 x 31 = 7-40, 11 x 32 = 8-8, 11 x 33 = 8-19, 11 x 34 = 8-30, 11 x 35 = 8-41, 11 x 36 = 9-9, 11 x 37 = 9-20, 11 x 38 = 9-31, 11 x 39 = 9-42, 11 x 40 = 10-10, 11 x 41 = 10-21, 11 x 42 = 10-32, 
12 x 1 = 0-12, 12 x 2 = 0-24, 12 x 3 = 0-36, 12 x 4 = 1-5, 12 x 5 = 1-17, 12 x 6 = 1-29, 12 x 7 = 1-41, 12 x 8 = 2-10, 12 x 9 = 2-22, 12 x 10 = 2-34, 12 x 11 = 3-3, 12 x 12 = 3-15, 12 x 13 = 3-27, 12 x 14 = 3-39, 12 x 15 = 4-8, 12 x 16 = 4-20, 12 x 17 = 4-32, 12 x 18 = 5-1, 12 x 19 = 5-13, 12 x 20 = 5-25, 12 x 21 = 5-37, 12 x 22 = 6-6, 12 x 23 = 6-18, 12 x 24 = 6-30, 12 x 25 = 6-42, 12 x 26 = 7-11, 12 x 27 = 7-23, 12 x 28 = 7-35, 12 x 29 = 8-4, 12 x 30 = 8-16, 12 x 31 = 8-28, 12 x 32 = 8-40, 12 x 33 = 9-9, 12 x 34 = 9-21, 12 x 35 = 9-33, 12 x 36 = 10-2, 12 x 37 = 10-14, 12 x 38 = 10-26, 12 x 39 = 10-38, 12 x 40 = 11-7, 12 x 41 = 11-19, 12 x 42 = 11-31, 
13 x 1 = 0-13, 13 x 2 = 0-26, 13 x 3 = 0-39, 13 x 4 = 1-9, 13 x 5 = 1-22, 13 x 6 = 1-35, 13 x 7 = 2-5, 13 x 8 = 2-18, 13 x 9 = 2-31, 13 x 10 = 3-1, 13 x 11 = 3-14, 13 x 12 = 3-27, 13 x 13 = 3-40, 13 x 14 = 4-10, 13 x 15 = 4-23, 13 x 16 = 4-36, 13 x 17 = 5-6, 13 x 18 = 5-19, 13 x 19 = 5-32, 13 x 20 = 6-2, 13 x 21 = 6-15, 13 x 22 = 6-28, 13 x 23 = 6-41, 13 x 24 = 7-11, 13 x 25 = 7-24, 13 x 26 = 7-37, 13 x 27 = 8-7, 13 x 28 = 8-20, 13 x 29 = 8-33, 13 x 30 = 9-3, 13 x 31 = 9-16, 13 x 32 = 9-29, 13 x 33 = 9-42, 13 x 34 = 10-12, 13 x 35 = 10-25, 13 x 36 = 10-38, 13 x 37 = 11-8, 13 x 38 = 11-21, 13 x 39 = 11-34, 13 x 40 = 12-4, 13 x 41 = 12-17, 13 x 42 = 12-30, 
14 x 1 = 0-14, 14 x 2 = 0-28, 14 x 3 = 0-42, 14 x 4 = 1-13, 14 x 5 = 1-27, 14 x 6 = 1-41, 14 x 7 = 2-12, 14 x 8 = 2-26, 14 x 9 = 2-40, 14 x 10 = 3-11, 14 x 11 = 3-25, 14 x 12 = 3-39, 14 x 13 = 4-10, 14 x 14 = 4-24, 14 x 15 = 4-38, 14 x 16 = 5-9, 14 x 17 = 5-23, 14 x 18 = 5-37, 14 x 19 = 6-8, 14 x 20 = 6-22, 14 x 21 = 6-36, 14 x 22 = 7-7, 14 x 23 = 7-21, 14 x 24 = 7-35, 14 x 25 = 8-6, 14 x 26 = 8-20, 14 x 27 = 8-34, 14 x 28 = 9-5, 14 x 29 = 9-19, 14 x 30 = 9-33, 14 x 31 = 10-4, 14 x 32 = 10-18, 14 x 33 = 10-32, 14 x 34 = 11-3, 14 x 35 = 11-17, 14 x 36 = 11-31, 14 x 37 = 12-2, 14 x 38 = 12-16, 14 x 39 = 12-30, 14 x 40 = 13-1, 14 x 41 = 13-15, 14 x 42 = 13-29, 
15 x 1 = 0-15, 15 x 2 = 0-30, 15 x 3 = 1-2, 15 x 4 = 1-17, 15 x 5 = 1-32, 15 x 6 = 2-4, 15 x 7 = 2-19, 15 x 8 = 2-34, 15 x 9 = 3-6, 15 x 10 = 3-21, 15 x 11 = 3-36, 15 x 12 = 4-8, 15 x 13 = 4-23, 15 x 14 = 4-38, 15 x 15 = 5-10, 15 x 16 = 5-25, 15 x 17 = 5-40, 15 x 18 = 6-12, 15 x 19 = 6-27, 15 x 20 = 6-42, 15 x 21 = 7-14, 15 x 22 = 7-29, 15 x 23 = 8-1, 15 x 24 = 8-16, 15 x 25 = 8-31, 15 x 26 = 9-3, 15 x 27 = 9-18, 15 x 28 = 9-33, 15 x 29 = 10-5, 15 x 30 = 10-20, 15 x 31 = 10-35, 15 x 32 = 11-7, 15 x 33 = 11-22, 15 x 34 = 11-37, 15 x 35 = 12-9, 15 x 36 = 12-24, 15 x 37 = 12-39, 15 x 38 = 13-11, 15 x 39 = 13-26, 15 x 40 = 13-41, 15 x 41 = 14-13, 15 x 42 = 14-28, 
16 x 1 = 0-16, 16 x 2 = 0-32, 16 x 3 = 1-5, 16 x 4 = 1-21, 16 x 5 = 1-37, 16 x 6 = 2-10, 16 x 7 = 2-26, 16 x 8 = 2-42, 16 x 9 = 3-15, 16 x 10 = 3-31, 16 x 11 = 4-4, 16 x 12 = 4-20, 16 x 13 = 4-36, 16 x 14 = 5-9, 16 x 15 = 5-25, 16 x 16 = 5-41, 16 x 17 = 6-14, 16 x 18 = 6-30, 16 x 19 = 7-3, 16 x 20 = 7-19, 16 x 21 = 7-35, 16 x 22 = 8-8, 16 x 23 = 8-24, 16 x 24 = 8-40, 16 x 25 = 9-13, 16 x 26 = 9-29, 16 x 27 = 10-2, 16 x 28 = 10-18, 16 x 29 = 10-34, 16 x 30 = 11-7, 16 x 31 = 11-23, 16 x 32 = 11-39, 16 x 33 = 12-12, 16 x 34 = 12-28, 16 x 35 = 13-1, 16 x 36 = 13-17, 16 x 37 = 13-33, 16 x 38 = 14-6, 16 x 39 = 14-22, 16 x 40 = 14-38, 16 x 41 = 15-11, 16 x 42 = 15-27, 
17 x 1 = 0-17, 17 x 2 = 0-34, 17 x 3 = 1-8, 17 x 4 = 1-25, 17 x 5 = 1-42, 17 x 6 = 2-16, 17 x 7 = 2-33, 17 x 8 = 3-7, 17 x 9 = 3-24, 17 x 10 = 3-41, 17 x 11 = 4-15, 17 x 12 = 4-32, 17 x 13 = 5-6, 17 x 14 = 5-23, 17 x 15 = 5-40, 17 x 16 = 6-14, 17 x 17 = 6-31, 17 x 18 = 7-5, 17 x 19 = 7-22, 17 x 20 = 7-39, 17 x 21 = 8-13, 17 x 22 = 8-30, 17 x 23 = 9-4, 17 x 24 = 9-21, 17 x 25 = 9-38, 17 x 26 = 10-12, 17 x 27 = 10-29, 17 x 28 = 11-3, 17 x 29 = 11-20, 17 x 30 = 11-37, 17 x 31 = 12-11, 17 x 32 = 12-28, 17 x 33 = 13-2, 17 x 34 = 13-19, 17 x 35 = 13-36, 17 x 36 = 14-10, 17 x 37 = 14-27, 17 x 38 = 15-1, 17 x 39 = 15-18, 17 x 40 = 15-35, 17 x 41 = 16-9, 17 x 42 = 16-26, 
18 x 1 = 0-18, 18 x 2 = 0-36, 18 x 3 = 1-11, 18 x 4 = 1-29, 18 x 5 = 2-4, 18 x 6 = 2-22, 18 x 7 = 2-40, 18 x 8 = 3-15, 18 x 9 = 3-33, 18 x 10 = 4-8, 18 x 11 = 4-26, 18 x 12 = 5-1, 18 x 13 = 5-19, 18 x 14 = 5-37, 18 x 15 = 6-12, 18 x 16 = 6-30, 18 x 17 = 7-5, 18 x 18 = 7-23, 18 x 19 = 7-41, 18 x 20 = 8-16, 18 x 21 = 8-34, 18 x 22 = 9-9, 18 x 23 = 9-27, 18 x 24 = 10-2, 18 x 25 = 10-20, 18 x 26 = 10-38, 18 x 27 = 11-13, 18 x 28 = 11-31, 18 x 29 = 12-6, 18 x 30 = 12-24, 18 x 31 = 12-42, 18 x 32 = 13-17, 18 x 33 = 13-35, 18 x 34 = 14-10, 18 x 35 = 14-28, 18 x 36 = 15-3, 18 x 37 = 15-21, 18 x 38 = 15-39, 18 x 39 = 16-14, 18 x 40 = 16-32, 18 x 41 = 17-7, 18 x 42 = 17-25, 
19 x 1 = 0-19, 19 x 2 = 0-38, 19 x 3 = 1-14, 19 x 4 = 1-33, 19 x 5 = 2-9, 19 x 6 = 2-28, 19 x 7 = 3-4, 19 x 8 = 3-23, 19 x 9 = 3-42, 19 x 10 = 4-18, 19 x 11 = 4-37, 19 x 12 = 5-13, 19 x 13 = 5-32, 19 x 14 = 6-8, 19 x 15 = 6-27, 19 x 16 = 7-3, 19 x 17 = 7-22, 19 x 18 = 7-41, 19 x 19 = 8-17, 19 x 20 = 8-36, 19 x 21 = 9-12, 19 x 22 = 9-31, 19 x 23 = 10-7, 19 x 24 = 10-26, 19 x 25 = 11-2, 19 x 26 = 11-21, 19 x 27 = 11-40, 19 x 28 = 12-16, 19 x 29 = 12-35, 19 x 30 = 13-11, 19 x 31 = 13-30, 19 x 32 = 14-6, 19 x 33 = 14-25, 19 x 34 = 15-1, 19 x 35 = 15-20, 19 x 36 = 15-39, 19 x 37 = 16-15, 19 x 38 = 16-34, 19 x 39 = 17-10, 19 x 40 = 17-29, 19 x 41 = 18-5, 19 x 42 = 18-24, 
20 x 1 = 0-20, 20 x 2 = 0-40, 20 x 3 = 1-17, 20 x 4 = 1-37, 20 x 5 = 2-14, 20 x 6 = 2-34, 20 x 7 = 3-11, 20 x 8 = 3-31, 20 x 9 = 4-8, 20 x 10 = 4-28, 20 x 11 = 5-5, 20 x 12 = 5-25, 20 x 13 = 6-2, 20 x 14 = 6-22, 20 x 15 = 6-42, 20 x 16 = 7-19, 20 x 17 = 7-39, 20 x 18 = 8-16, 20 x 19 = 8-36, 20 x 20 = 9-13, 20 x 21 = 9-33, 20 x 22 = 10-10, 20 x 23 = 10-30, 20 x 24 = 11-7, 20 x 25 = 11-27, 20 x 26 = 12-4, 20 x 27 = 12-24, 20 x 28 = 13-1, 20 x 29 = 13-21, 20 x 30 = 13-41, 20 x 31 = 14-18, 20 x 32 = 14-38, 20 x 33 = 15-15, 20 x 34 = 15-35, 20 x 35 = 16-12, 20 x 36 = 16-32, 20 x 37 = 17-9, 20 x 38 = 17-29, 20 x 39 = 18-6, 20 x 40 = 18-26, 20 x 41 = 19-3, 20 x 42 = 19-23, 
21 x 1 = 0-21, 21 x 2 = 0-42, 21 x 3 = 1-20, 21 x 4 = 1-41, 21 x 5 = 2-19, 21 x 6 = 2-40, 21 x 7 = 3-18, 21 x 8 = 3-39, 21 x 9 = 4-17, 21 x 10 = 4-38, 21 x 11 = 5-16, 21 x 12 = 5-37, 21 x 13 = 6-15, 21 x 14 = 6-36, 21 x 15 = 7-14, 21 x 16 = 7-35, 21 x 17 = 8-13, 21 x 18 = 8-34, 21 x 19 = 9-12, 21 x 20 = 9-33, 21 x 21 = 10-11, 21 x 22 = 10-32, 21 x 23 = 11-10, 21 x 24 = 11-31, 21 x 25 = 12-9, 21 x 26 = 12-30, 21 x 27 = 13-8, 21 x 28 = 13-29, 21 x 29 = 14-7, 21 x 30 = 14-28, 21 x 31 = 15-6, 21 x 32 = 15-27, 21 x 33 = 16-5, 21 x 34 = 16-26, 21 x 35 = 17-4, 21 x 36 = 17-25, 21 x 37 = 18-3, 21 x 38 = 18-24, 21 x 39 = 19-2, 21 x 40 = 19-23, 21 x 41 = 20-1, 21 x 42 = 20-22, 
22 x 1 = 0-22, 22 x 2 = 1-1, 22 x 3 = 1-23, 22 x 4 = 2-2, 22 x 5 = 2-24, 22 x 6 = 3-3, 22 x 7 = 3-25, 22 x 8 = 4-4, 22 x 9 = 4-26, 22 x 10 = 5-5, 22 x 11 = 5-27, 22 x 12 = 6-6, 22 x 13 = 6-28, 22 x 14 = 7-7, 22 x 15 = 7-29, 22 x 16 = 8-8, 22 x 17 = 8-30, 22 x 18 = 9-9, 22 x 19 = 9-31, 22 x 20 = 10-10, 22 x 21 = 10-32, 22 x 22 = 11-11, 22 x 23 = 11-33, 22 x 24 = 12-12, 22 x 25 = 12-34, 22 x 26 = 13-13, 22 x 27 = 13-35, 22 x 28 = 14-14, 22 x 29 = 14-36, 22 x 30 = 15-15, 22 x 31 = 15-37, 22 x 32 = 16-16, 22 x 33 = 16-38, 22 x 34 = 17-17, 22 x 35 = 17-39, 22 x 36 = 18-18, 22 x 37 = 18-40, 22 x 38 = 19-19, 22 x 39 = 19-41, 22 x 40 = 20-20, 22 x 41 = 20-42, 22 x 42 = 21-21, 
23 x 1 = 0-23, 23 x 2 = 1-3, 23 x 3 = 1-26, 23 x 4 = 2-6, 23 x 5 = 2-29, 23 x 6 = 3-9, 23 x 7 = 3-32, 23 x 8 = 4-12, 23 x 9 = 4-35, 23 x 10 = 5-15, 23 x 11 = 5-38, 23 x 12 = 6-18, 23 x 13 = 6-41, 23 x 14 = 7-21, 23 x 15 = 8-1, 23 x 16 = 8-24, 23 x 17 = 9-4, 23 x 18 = 9-27, 23 x 19 = 10-7, 23 x 20 = 10-30, 23 x 21 = 11-10, 23 x 22 = 11-33, 23 x 23 = 12-13, 23 x 24 = 12-36, 23 x 25 = 13-16, 23 x 26 = 13-39, 23 x 27 = 14-19, 23 x 28 = 14-42, 23 x 29 = 15-22, 23 x 30 = 16-2, 23 x 31 = 16-25, 23 x 32 = 17-5, 23 x 33 = 17-28, 23 x 34 = 18-8, 23 x 35 = 18-31, 23 x 36 = 19-11, 23 x 37 = 19-34, 23 x 38 = 20-14, 23 x 39 = 20-37, 23 x 40 = 21-17, 23 x 41 = 21-40, 23 x 42 = 22-20, 
24 x 1 = 0-24, 24 x 2 = 1-5, 24 x 3 = 1-29, 24 x 4 = 2-10, 24 x 5 = 2-34, 24 x 6 = 3-15, 24 x 7 = 3-39, 24 x 8 = 4-20, 24 x 9 = 5-1, 24 x 10 = 5-25, 24 x 11 = 6-6, 24 x 12 = 6-30, 24 x 13 = 7-11, 24 x 14 = 7-35, 24 x 15 = 8-16, 24 x 16 = 8-40, 24 x 17 = 9-21, 24 x 18 = 10-2, 24 x 19 = 10-26, 24 x 20 = 11-7, 24 x 21 = 11-31, 24 x 22 = 12-12, 24 x 23 = 12-36, 24 x 24 = 13-17, 24 x 25 = 13-41, 24 x 26 = 14-22, 24 x 27 = 15-3, 24 x 28 = 15-27, 24 x 29 = 16-8, 24 x 30 = 16-32, 24 x 31 = 17-13, 24 x 32 = 17-37, 24 x 33 = 18-18, 24 x 34 = 18-42, 24 x 35 = 19-23, 24 x 36 = 20-4, 24 x 37 = 20-28, 24 x 38 = 21-9, 24 x 39 = 21-33, 24 x 40 = 22-14, 24 x 41 = 22-38, 24 x 42 = 23-19, 
25 x 1 = 0-25, 25 x 2 = 1-7, 25 x 3 = 1-32, 25 x 4 = 2-14, 25 x 5 = 2-39, 25 x 6 = 3-21, 25 x 7 = 4-3, 25 x 8 = 4-28, 25 x 9 = 5-10, 25 x 10 = 5-35, 25 x 11 = 6-17, 25 x 12 = 6-42, 25 x 13 = 7-24, 25 x 14 = 8-6, 25 x 15 = 8-31, 25 x 16 = 9-13, 25 x 17 = 9-38, 25 x 18 = 10-20, 25 x 19 = 11-2, 25 x 20 = 11-27, 25 x 21 = 12-9, 25 x 22 = 12-34, 25 x 23 = 13-16, 25 x 24 = 13-41, 25 x 25 = 14-23, 25 x 26 = 15-5, 25 x 27 = 15-30, 25 x 28 = 16-12, 25 x 29 = 16-37, 25 x 30 = 17-19, 25 x 31 = 18-1, 25 x 32 = 18-26, 25 x 33 = 19-8, 25 x 34 = 19-33, 25 x 35 = 20-15, 25 x 36 = 20-40, 25 x 37 = 21-22, 25 x 38 = 22-4, 25 x 39 = 22-29, 25 x 40 = 23-11, 25 x 41 = 23-36, 25 x 42 = 24-18, 
