0-11 x 0-1 = 0-11, 0-11 x 0-2 = 0-22, 0-11 x 0-3 = 0-33, 0-11 x 0-4 = 1-3, 0-11 x 0-5 = 1-14, 0-11 x 0-6 = 1-25, 0-11 x 0-7 = 1-36, 0-11 x 0-8 = 2-6, 0-11 x 0-9 = 2-17, 0-11 x 0-10 = 2-28, 0-11 x 0-11 = 2-39, 0-11 x 0-12 = 3-9, 0-11 x 0-13 = 3-20, 0-11 x 0-14 = 3-31, 0-11 x 0-15 = 4-1, 0-11 x 0-16 = 4-12, 0-11 x 0-17 = 4-23, 0-11 x 0-18 = 4-34, 0-11 x 0-19 = 5-4, 0-11 x 0-20 = 5-15, 0-11 x 0-21 = 5-26, 0-11 x 0-22 = 5-37, 0-11 x 0-23 = 6-7, 0-11 x 0-24 = 6-18, 0-11 x 0-25 = 6-29, 0-11 x 0-26 = 6-40, 0-11 x 0-27 = 7-10, 0-11 x 0-28 = 7-21, 0-11 x 0-29 = 7-32, 0-11 x 0-30 = 8-2, 0-11 x 0-31 = 8-13, 0-11 x 0-32 = 8-24, 0-11 x 0-33 = 8-35, 0-11 x 0-34 = 9-5, 0-11 x 0-35 = 9-16, 0-11 x 0-36 = 9-27, 0-11 x 0-37 = 9-38, 0-11 x 0-38 = 10-8, 0-11 x 0-39 = 10-19, 0-11 x 0-40 = 10-30, 
0-12 x 0-1 = 0-12, 0-12 x 0-2 = 0-24, 0-12 x 0-3 = 0-36, 0-12 x 0-4 = 1-7, 0-12 x 0-5 = 1-19, 0-12 x 0-6 = 1-31, 0-12 x 0-7 = 2-2, 0-12 x 0-8 = 2-14, 0-12 x 0-9 = 2-26, 0-12 x 0-10 = 2-38, 0-12 x 0-11 = 3-9, 0-12 x 0-12 = 3-21, 0-12 x 0-13 = 3-33, 0-12 x 0-14 = 4-4, 0-12 x 0-15 = 4-16, 0-12 x 0-16 = 4-28, 0-12 x 0-17 = 4-40, 0-12 x 0-18 = 5-11, 0-12 x 0-19 = 5-23, 0-12 x 0-20 = 5-35, 0-12 x 0-21 = 6-6, 0-12 x 0-22 = 6-18, 0-12 x 0-23 = 6-30, 0-12 x 0-24 = 7-1, 0-12 x 0-25 = 7-13, 0-12 x 0-26 = 7-25, 0-12 x 0-27 = 7-37, 0-12 x 0-28 = 8-8, 0-12 x 0-29 = 8-20, 0-12 x 0-30 = 8-32, 0-12 x 0-31 = 9-3, 0-12 x 0-32 = 9-15, 0-12 x 0-33 = 9-27, 0-12 x 0-34 = 9-39, 0-12 x 0-35 = 10-10, 0-12 x 0-36 = 10-22, 0-12 x 0-37 = 10-34, 0-12 x 0-38 = 11-5, 0-12 x 0-39 = 11-17, 0-12 x 0-40 = 11-29, 
0-13 x 0-1 = 0-13, 0-13 x 0-2 = 0-26, 0-13 x 0-3 = 0-39, 0-13 x 0-4 = 1-11, 0-13 x 0-5 = 1-24, 0-13 x 0-6 = 1-37, 0-13 x 0-7 = 2-9, 0-13 x 0-8 = 2-22, 0-13 x 0-9 = 2-35, 0-13 x 0-10 = 3-7, 0-13 x 0-11 = 3-20, 0-13 x 0-12 = 3-33, 0-13 x 0-13 = 4-5, 0-13 x 0-14 = 4-18, 0-13 x 0-15 = 4-31, 0-13 x 0-16 = 5-3, 0-13 x 0-17 = 5-16, 0-13 x 0-18 = 5-29, 0-13 x 0-19 = 6-1, 0-13 x 0-20 = 6-14, 0-13 x 0-21 = 6-27, 0-13 x 0-22 = 6-40, 0-13 x 0-23 = 7-12, 0-13 x 0-24 = 7-25, 0-13 x 0-25 = 7-38, 0-13 x 0-26 = 8-10, 0-13 x 0-27 = 8-23, 0-13 x 0-28 = 8-36, 0-13 x 0-29 = 9-8, 0-13 x 0-30 = 9-21, 0-13 x 0-31 = 9-34, 0-13 x 0-32 = 10-6, 0-13 x 0-33 = 10-19, 0-13 x 0-34 = 10-32, 0-13 x 0-35 = 11-4, 0-13 x 0-36 = 11-17, 0-13 x 0-37 = 11-30, 0-13 x 0-38 = 12-2, 0-13 x 0-39 = 12-15, 0-13 x 0-40 = 12-28, 
0-14 x 0-1 = 0-14, 0-14 x 0-2 = 0-28, 0-14 x 0-3 = 1-1, 0-14 x 0-4 = 1-15, 0-14 x 0-5 = 1-29, 0-14 x 0-6 = 2-2, 0-14 x 0-7 = 2-16, 0-14 x 0-8 = 2-30, 0-14 x 0-9 = 3-3, 0-14 x 0-10 = 3-17, 0-14 x 0-11 = 3-31, 0-14 x 0-12 = 4-4, 0-14 x 0-13 = 4-18, 0-14 x 0-14 = 4-32, 0-14 x 0-15 = 5-5, 0-14 x 0-16 = 5-19, 0-14 x 0-17 = 5-33, 0-14 x 0-18 = 6-6, 0-14 x 0-19 = 6-20, 0-14 x 0-20 = 6-34, 0-14 x 0-21 = 7-7, 0-14 x 0-22 = 7-21, 0-14 x 0-23 = 7-35, 0-14 x 0-24 = 8-8, 0-14 x 0-25 = 8-22, 0-14 x 0-26 = 8-36, 0-14 x 0-27 = 9-9, 0-14 x 0-28 = 9-23, 0-14 x 0-29 = 9-37, 0-14 x 0-30 = 10-10, 0-14 x 0-31 = 10-24, 0-14 x 0-32 = 10-38, 0-14 x 0-33 = 11-11, 0-14 x 0-34 = 11-25, 0-14 x 0-35 = 11-39, 0-14 x 0-36 = 12-12, 0-14 x 0-37 = 12-26, 0-14 x 0-38 = 12-40, 0-14 x 0-39 = 13-13, 0-14 x 0-40 = 13-27, 
0-15 x 0-1 = 0-15, 0-15 x 0-2 = 0-30, 0-15 x 0-3 = 1-4, 0-15 x 0-4 = 1-19, 0-15 x 0-5 = 1-34, 0-15 x 0-6 = 2-8, 0-15 x 0-7 = 2-23, 0-15 x 0-8 = 2-38, 0-15 x 0-9 = 3-12, 0-15 x 0-10 = 3-27, 0-15 x 0-11 = 4-1, 0-15 x 0-12 = 4-16, 0-15 x 0-13 = 4-31, 0-15 x 0-14 = 5-5, 0-15 x 0-15 = 5-20, 0-15 x 0-16 = 5-35, 0-15 x 0-17 = 6-9, 0-15 x 0-18 = 6-24, 0-15 x 0-19 = 6-39, 0-15 x 0-20 = 7-13, 0-15 x 0-21 = 7-28, 0-15 x 0-22 = 8-2, 0-15 x 0-23 = 8-17, 0-15 x 0-24 = 8-32, 0-15 x 0-25 = 9-6, 0-15 x 0-26 = 9-21, 0-15 x 0-27 = 9-36, 0-15 x 0-28 = 10-10, 0-15 x 0-29 = 10-25, 0-15 x 0-30 = 10-40, 0-15 x 0-31 = 11-14, 0-15 x 0-32 = 11-29, 0-15 x 0-33 = 12-3, 0-15 x 0-34 = 12-18, 0-15 x 0-35 = 12-33, 0-15 x 0-36 = 13-7, 0-15 x 0-37 = 13-22, 0-15 x 0-38 = 13-37, 0-15 x 0-39 = 14-11, 0-15 x 0-40 = 14-26, 
0-16 x 0-1 = 0-16, 0-16 x 0-2 = 0-32, 0-16 x 0-3 = 1-7, 0-16 x 0-4 = 1-23, 0-16 x 0-5 = 1-39, 0-16 x 0-6 = 2-14, 0-16 x 0-7 = 2-30, 0-16 x 0-8 = 3-5, 0-16 x 0-9 = 3-21, 0-16 x 0-10 = 3-37, 0-16 x 0-11 = 4-12, 0-16 x 0-12 = 4-28, 0-16 x 0-13 = 5-3, 0-16 x 0-14 = 5-19, 0-16 x 0-15 = 5-35, 0-16 x 0-16 = 6-10, 0-16 x 0-17 = 6-26, 0-16 x 0-18 = 7-1, 0-16 x 0-19 = 7-17, 0-16 x 0-20 = 7-33, 0-16 x 0-21 = 8-8, 0-16 x 0-22 = 8-24, 0-16 x 0-23 = 8-40, 0-16 x 0-24 = 9-15, 0-16 x 0-25 = 9-31, 0-16 x 0-26 = 10-6, 0-16 x 0-27 = 10-22, 0-16 x 0-28 = 10-38, 0-16 x 0-29 = 11-13, 0-16 x 0-30 = 11-29, 0-16 x 0-31 = 12-4, 0-16 x 0-32 = 12-20, 0-16 x 0-33 = 12-36, 0-16 x 0-34 = 13-11, 0-16 x 0-35 = 13-27, 0-16 x 0-36 = 14-2, 0-16 x 0-37 = 14-18, 0-16 x 0-38 = 14-34, 0-16 x 0-39 = 15-9, 0-16 x 0-40 = 15-25, 
0-17 x 0-1 = 0-17, 0-17 x 0-2 = 0-34, 0-17 x 0-3 = 1-10, 0-17 x 0-4 = 1-27, 0-17 x 0-5 = 2-3, 0-17 x 0-6 = 2-20, 0-17 x 0-7 = 2-37, 0-17 x 0-8 = 3-13, 0-17 x 0-9 = 3-30, 0-17 x 0-10 = 4-6, 0-17 x 0-11 = 4-23, 0-17 x 0-12 = 4-40, 0-17 x 0-13 = 5-16, 0-17 x 0-14 = 5-33, 0-17 x 0-15 = 6-9, 0-17 x 0-16 = 6-26, 0-17 x 0-17 = 7-2, 0-17 x 0-18 = 7-19, 0-17 x 0-19 = 7-36, 0-17 x 0-20 = 8-12, 0-17 x 0-21 = 8-29, 0-17 x 0-22 = 9-5, 0-17 x 0-23 = 9-22, 0-17 x 0-24 = 9-39, 0-17 x 0-25 = 10-15, 0-17 x 0-26 = 10-32, 0-17 x 0-27 = 11-8, 0-17 x 0-28 = 11-25, 0-17 x 0-29 = 12-1, 0-17 x 0-30 = 12-18, 0-17 x 0-31 = 12-35, 0-17 x 0-32 = 13-11, 0-17 x 0-33 = 13-28, 0-17 x 0-34 = 14-4, 0-17 x 0-35 = 14-21, 0-17 x 0-36 = 14-38, 0-17 x 0-37 = 15-14, 0-17 x 0-38 = 15-31, 0-17 x 0-39 = 16-7, 0-17 x 0-40 = 16-24, 
0-18 x 0-1 = 0-18, 0-18 x 0-2 = 0-36, 0-18 x 0-3 = 1-13, 0-18 x 0-4 = 1-31, 0-18 x 0-5 = 2-8, 0-18 x 0-6 = 2-26, 0-18 x 0-7 = 3-3, 0-18 x 0-8 = 3-21, 0-18 x 0-9 = 3-39, 0-18 x 0-10 = 4-16, 0-18 x 0-11 = 4-34, 0-18 x 0-12 = 5-11, 0-18 x 0-13 = 5-29, 0-18 x 0-14 = 6-6, 0-18 x 0-15 = 6-24, 0-18 x 0-16 = 7-1, 0-18 x 0-17 = 7-19, 0-18 x 0-18 = 7-37, 0-18 x 0-19 = 8-14, 0-18 x 0-20 = 8-32, 0-18 x 0-21 = 9-9, 0-18 x 0-22 = 9-27, 0-18 x 0-23 = 10-4, 0-18 x 0-24 = 10-22, 0-18 x 0-25 = 10-40, 0-18 x 0-26 = 11-17, 0-18 x 0-27 = 11-35, 0-18 x 0-28 = 12-12, 0-18 x 0-29 = 12-30, 0-18 x 0-30 = 13-7, 0-18 x 0-31 = 13-25, 0-18 x 0-32 = 14-2, 0-18 x 0-33 = 14-20, 0-18 x 0-34 = 14-38, 0-18 x 0-35 = 15-15, 0-18 x 0-36 = 15-33, 0-18 x 0-37 = 16-10, 0-18 x 0-38 = 16-28, 0-18 x 0-39 = 17-5, 0-18 x 0-40 = 17-23, 
0-19 x 0-1 = 0-19, 0-19 x 0-2 = 0-38, 0-19 x 0-3 = 1-16, 0-19 x 0-4 = 1-35, 0-19 x 0-5 = 2-13, 0-19 x 0-6 = 2-32, 0-19 x 0-7 = 3-10, 0-19 x 0-8 = 3-29, 0-19 x 0-9 = 4-7, 0-19 x 0-10 = 4-26, 0-19 x 0-11 = 5-4, 0-19 x 0-12 = 5-23, 0-19 x 0-13 = 6-1, 0-19 x 0-14 = 6-20, 0-19 x 0-15 = 6-39, 0-19 x 0-16 = 7-17, 0-19 x 0-17 = 7-36, 0-19 x 0-18 = 8-14, 0-19 x 0-19 = 8-33, 0-19 x 0-20 = 9-11, 0-19 x 0-21 = 9-30, 0-19 x 0-22 = 10-8, 0-19 x 0-23 = 10-27, 0-19 x 0-24 = 11-5, 0-19 x 0-25 = 11-24, 0-19 x 0-26 = 12-2, 0-19 x 0-27 = 12-21, 0-19 x 0-28 = 12-40, 0-19 x 0-29 = 13-18, 0-19 x 0-30 = 13-37, 0-19 x 0-31 = 14-15, 0-19 x 0-32 = 14-34, 0-19 x 0-33 = 15-12, 0-19 x 0-34 = 15-31, 0-19 x 0-35 = 16-9, 0-19 x 0-36 = 16-28, 0-19 x 0-37 = 17-6, 0-19 x 0-38 = 17-25, 0-19 x 0-39 = 18-3, 0-19 x 0-40 = 18-22, 
0-20 x 0-1 = 0-20, 0-20 x 0-2 = 0-40, 0-20 x 0-3 = 1-19, 0-20 x 0-4 = 1-39, 0-20 x 0-5 = 2-18, 0-20 x 0-6 = 2-38, 0-20 x 0-7 = 3-17, 0-20 x 0-8 = 3-37, 0-20 x 0-9 = 4-16, 0-20 x 0-10 = 4-36, 0-20 x 0-11 = 5-15, 0-20 x 0-12 = 5-35, 0-20 x 0-13 = 6-14, 0-20 x 0-14 = 6-34, 0-20 x 0-15 = 7-13, 0-20 x 0-16 = 7-33, 0-20 x 0-17 = 8-12, 0-20 x 0-18 = 8-32, 0-20 x 0-19 = 9-11, 0-20 x 0-20 = 9-31, 0-20 x 0-21 = 10-10, 0-20 x 0-22 = 10-30, 0-20 x 0-23 = 11-9, 0-20 x 0-24 = 11-29, 0-20 x 0-25 = 12-8, 0-20 x 0-26 = 12-28, 0-20 x 0-27 = 13-7, 0-20 x 0-28 = 13-27, 0-20 x 0-29 = 14-6, 0-20 x 0-30 = 14-26, 0-20 x 0-31 = 15-5, 0-20 x 0-32 = 15-25, 0-20 x 0-33 = 16-4, 0-20 x 0-34 = 16-24, 0-20 x 0-35 = 17-3, 0-20 x 0-36 = 17-23, 0-20 x 0-37 = 18-2, 0-20 x 0-38 = 18-22, 0-20 x 0-39 = 19-1, 0-20 x 0-40 = 19-21, 
