11 x 1 = 0-11, 11 x 2 = 0-22, 11 x 3 = 0-33, 11 x 4 = 1-6, 11 x 5 = 1-17, 11 x 6 = 1-28, 11 x 7 = 2-1, 11 x 8 = 2-12, 11 x 9 = 2-23, 11 x 10 = 2-34, 11 x 11 = 3-7, 11 x 12 = 3-18, 11 x 13 = 3-29, 11 x 14 = 4-2, 11 x 15 = 4-13, 11 x 16 = 4-24, 11 x 17 = 4-35, 11 x 18 = 5-8, 11 x 19 = 5-19, 11 x 20 = 5-30, 11 x 21 = 6-3, 11 x 22 = 6-14, 11 x 23 = 6-25, 11 x 24 = 6-36, 11 x 25 = 7-9, 11 x 26 = 7-20, 11 x 27 = 7-31, 11 x 28 = 8-4, 11 x 29 = 8-15, 11 x 30 = 8-26, 11 x 31 = 8-37, 11 x 32 = 9-10, 11 x 33 = 9-21, 11 x 34 = 9-32, 11 x 35 = 10-5, 11 x 36 = 10-16, 11 x 37 = 10-27, 
12 x 1 = 0-12, 12 x 2 = 0-24, 12 x 3 = 0-36, 12 x 4 = 1-10, 12 x 5 = 1-22, 12 x 6 = 1-34, 12 x 7 = 2-8, 12 x 8 = 2-20, 12 x 9 = 2-32, 12 x 10 = 3-6, 12 x 11 = 3-18, 12 x 12 = 3-30, 12 x 13 = 4-4, 12 x 14 = 4-16, 12 x 15 = 4-28, 12 x 16 = 5-2, 12 x 17 = 5-14, 12 x 18 = 5-26, 12 x 19 = 6-0, 12 x 20 = 6-12, 12 x 21 = 6-24, 12 x 22 = 6-36, 12 x 23 = 7-10, 12 x 24 = 7-22, 12 x 25 = 7-34, 12 x 26 = 8-8, 12 x 27 = 8-20, 12 x 28 = 8-32, 12 x 29 = 9-6, 12 x 30 = 9-18, 12 x 31 = 9-30, 12 x 32 = 10-4, 12 x 33 = 10-16, 12 x 34 = 10-28, 12 x 35 = 11-2, 12 x 36 = 11-14, 12 x 37 = 11-26, 
13 x 1 = 0-13, 13 x 2 = 0-26, 13 x 3 = 1-1, 13 x 4 = 1-14, 13 x 5 = 1-27, 13 x 6 = 2-2, 13 x 7 = 2-15, 13 x 8 = 2-28, 13 x 9 = 3-3, 13 x 10 = 3-16, 13 x 11 = 3-29, 13 x 12 = 4-4, 13 x 13 = 4-17, 13 x 14 = 4-30, 13 x 15 = 5-5, 13 x 16 = 5-18, 13 x 17 = 5-31, 13 x 18 = 6-6, 13 x 19 = 6-19, 13 x 20 = 6-32, 13 x 21 = 7-7, 13 x 22 = 7-20, 13 x 23 = 7-33, 13 x 24 = 8-8, 13 x 25 = 8-21, 13 x 26 = 8-34, 13 x 27 = 9-9, 13 x 28 = 9-22, 13 x 29 = 9-35, 13 x 30 = 10-10, 13 x 31 = 10-23, 13 x 32 = 10-36, 13 x 33 = 11-11, 13 x 34 = 11-24, 13 x 35 = 11-37, 13 x 36 = 12-12, 13 x 37 = 12-25, 
14 x 1 = 0-14, 14 x 2 = 0-28, 14 x 3 = 1-4, 14 x 4 = 1-18, 14 x 5 = 1-32, 14 x 6 = 2-8, 14 x 7 = 2-22, 14 x 8 = 2-36, 14 x 9 = 3-12, 14 x 10 = 3-26, 14 x 11 = 4-2, 14 x 12 = 4-16, 14 x 13 = 4-30, 14 x 14 = 5-6, 14 x 15 = 5-20, 14 x 16 = 5-34, 14 x 17 = 6-10, 14 x 18 = 6-24, 14 x 19 = 7-0, 14 x 20 = 7-14, 14 x 21 = 7-28, 14 x 22 = 8-4, 14 x 23 = 8-18, 14 x 24 = 8-32, 14 x 25 = 9-8, 14 x 26 = 9-22, 14 x 27 = 9-36, 14 x 28 = 10-12, 14 x 29 = 10-26, 14 x 30 = 11-2, 14 x 31 = 11-16, 14 x 32 = 11-30, 14 x 33 = 12-6, 14 x 34 = 12-20, 14 x 35 = 12-34, 14 x 36 = 13-10, 14 x 37 = 13-24, 
15 x 1 = 0-15, 15 x 2 = 0-30, 15 x 3 = 1-7, 15 x 4 = 1-22, 15 x 5 = 1-37, 15 x 6 = 2-14, 15 x 7 = 2-29, 15 x 8 = 3-6, 15 x 9 = 3-21, 15 x 10 = 3-36, 15 x 11 = 4-13, 15 x 12 = 4-28, 15 x 13 = 5-5, 15 x 14 = 5-20, 15 x 15 = 5-35, 15 x 16 = 6-12, 15 x 17 = 6-27, 15 x 18 = 7-4, 15 x 19 = 7-19, 15 x 20 = 7-34, 15 x 21 = 8-11, 15 x 22 = 8-26, 15 x 23 = 9-3, 15 x 24 = 9-18, 15 x 25 = 9-33, 15 x 26 = 10-10, 15 x 27 = 10-25, 15 x 28 = 11-2, 15 x 29 = 11-17, 15 x 30 = 11-32, 15 x 31 = 12-9, 15 x 32 = 12-24, 15 x 33 = 13-1, 15 x 34 = 13-16, 15 x 35 = 13-31, 15 x 36 = 14-8, 15 x 37 = 14-23, 
16 x 1 = 0-16, 16 x 2 = 0-32, 16 x 3 = 1-10, 16 x 4 = 1-26, 16 x 5 = 2-4, 16 x 6 = 2-20, 16 x 7 = 2-36, 16 x 8 = 3-14, 16 x 9 = 3-30, 16 x 10 = 4-8, 16 x 11 = 4-24, 16 x 12 = 5-2, 16 x 13 = 5-18, 16 x 14 = 5-34, 16 x 15 = 6-12, 16 x 16 = 6-28, 16 x 17 = 7-6, 16 x 18 = 7-22, 16 x 19 = 8-0, 16 x 20 = 8-16, 16 x 21 = 8-32, 16 x 22 = 9-10, 16 x 23 = 9-26, 16 x 24 = 10-4, 16 x 25 = 10-20, 16 x 26 = 10-36, 16 x 27 = 11-14, 16 x 28 = 11-30, 16 x 29 = 12-8, 16 x 30 = 12-24, 16 x 31 = 13-2, 16 x 32 = 13-18, 16 x 33 = 13-34, 16 x 34 = 14-12, 16 x 35 = 14-28, 16 x 36 = 15-6, 16 x 37 = 15-22, 
17 x 1 = 0-17, 17 x 2 = 0-34, 17 x 3 = 1-13, 17 x 4 = 1-30, 17 x 5 = 2-9, 17 x 6 = 2-26, 17 x 7 = 3-5, 17 x 8 = 3-22, 17 x 9 = 4-1, 17 x 10 = 4-18, 17 x 11 = 4-35, 17 x 12 = 5-14, 17 x 13 = 5-31, 17 x 14 = 6-10, 17 x 15 = 6-27, 17 x 16 = 7-6, 17 x 17 = 7-23, 17 x 18 = 8-2, 17 x 19 = 8-19, 17 x 20 = 8-36, 17 x 21 = 9-15, 17 x 22 = 9-32, 17 x 23 = 10-11, 17 x 24 = 10-28, 17 x 25 = 11-7, 17 x 26 = 11-24, 17 x 27 = 12-3, 17 x 28 = 12-20, 17 x 29 = 12-37, 17 x 30 = 13-16, 17 x 31 = 13-33, 17 x 32 = 14-12, 17 x 33 = 14-29, 17 x 34 = 15-8, 17 x 35 = 15-25, 17 x 36 = 16-4, 17 x 37 = 16-21, 
18 x 1 = 0-18, 18 x 2 = 0-36, 18 x 3 = 1-16, 18 x 4 = 1-34, 18 x 5 = 2-14, 18 x 6 = 2-32, 18 x 7 = 3-12, 18 x 8 = 3-30, 18 x 9 = 4-10, 18 x 10 = 4-28, 18 x 11 = 5-8, 18 x 12 = 5-26, 18 x 13 = 6-6, 18 x 14 = 6-24, 18 x 15 = 7-4, 18 x 16 = 7-22, 18 x 17 = 8-2, 18 x 18 = 8-20, 18 x 19 = 9-0, 18 x 20 = 9-18, 18 x 21 = 9-36, 18 x 22 = 10-16, 18 x 23 = 10-34, 18 x 24 = 11-14, 18 x 25 = 11-32, 18 x 26 = 12-12, 18 x 27 = 12-30, 18 x 28 = 13-10, 18 x 29 = 13-28, 18 x 30 = 14-8, 18 x 31 = 14-26, 18 x 32 = 15-6, 18 x 33 = 15-24, 18 x 34 = 16-4, 18 x 35 = 16-22, 18 x 36 = 17-2, 18 x 37 = 17-20, 
19 x 1 = 0-19, 19 x 2 = 1-0, 19 x 3 = 1-19, 19 x 4 = 2-0, 19 x 5 = 2-19, 19 x 6 = 3-0, 19 x 7 = 3-19, 19 x 8 = 4-0, 19 x 9 = 4-19, 19 x 10 = 5-0, 19 x 11 = 5-19, 19 x 12 = 6-0, 19 x 13 = 6-19, 19 x 14 = 7-0, 19 x 15 = 7-19, 19 x 16 = 8-0, 19 x 17 = 8-19, 19 x 18 = 9-0, 19 x 19 = 9-19, 19 x 20 = 10-0, 19 x 21 = 10-19, 19 x 22 = 11-0, 19 x 23 = 11-19, 19 x 24 = 12-0, 19 x 25 = 12-19, 19 x 26 = 13-0, 19 x 27 = 13-19, 19 x 28 = 14-0, 19 x 29 = 14-19, 19 x 30 = 15-0, 19 x 31 = 15-19, 19 x 32 = 16-0, 19 x 33 = 16-19, 19 x 34 = 17-0, 19 x 35 = 17-19, 19 x 36 = 18-0, 19 x 37 = 18-19, 
20 x 1 = 0-20, 20 x 2 = 1-2, 20 x 3 = 1-22, 20 x 4 = 2-4, 20 x 5 = 2-24, 20 x 6 = 3-6, 20 x 7 = 3-26, 20 x 8 = 4-8, 20 x 9 = 4-28, 20 x 10 = 5-10, 20 x 11 = 5-30, 20 x 12 = 6-12, 20 x 13 = 6-32, 20 x 14 = 7-14, 20 x 15 = 7-34, 20 x 16 = 8-16, 20 x 17 = 8-36, 20 x 18 = 9-18, 20 x 19 = 10-0, 20 x 20 = 10-20, 20 x 21 = 11-2, 20 x 22 = 11-22, 20 x 23 = 12-4, 20 x 24 = 12-24, 20 x 25 = 13-6, 20 x 26 = 13-26, 20 x 27 = 14-8, 20 x 28 = 14-28, 20 x 29 = 15-10, 20 x 30 = 15-30, 20 x 31 = 16-12, 20 x 32 = 16-32, 20 x 33 = 17-14, 20 x 34 = 17-34, 20 x 35 = 18-16, 20 x 36 = 18-36, 20 x 37 = 19-18, 
