11 x 1 = 0-11, 11 x 2 = 0-22, 11 x 3 = 0-33, 11 x 4 = 1-10, 11 x 5 = 1-21, 11 x 6 = 1-32, 11 x 7 = 2-9, 11 x 8 = 2-20, 11 x 9 = 2-31, 11 x 10 = 3-8, 11 x 11 = 3-19, 11 x 12 = 3-30, 11 x 13 = 4-7, 11 x 14 = 4-18, 11 x 15 = 4-29, 11 x 16 = 5-6, 11 x 17 = 5-17, 11 x 18 = 5-28, 11 x 19 = 6-5, 11 x 20 = 6-16, 11 x 21 = 6-27, 11 x 22 = 7-4, 11 x 23 = 7-15, 11 x 24 = 7-26, 11 x 25 = 8-3, 11 x 26 = 8-14, 11 x 27 = 8-25, 11 x 28 = 9-2, 11 x 29 = 9-13, 11 x 30 = 9-24, 11 x 31 = 10-1, 11 x 32 = 10-12, 11 x 33 = 10-23, 
12 x 1 = 0-12, 12 x 2 = 0-24, 12 x 3 = 1-2, 12 x 4 = 1-14, 12 x 5 = 1-26, 12 x 6 = 2-4, 12 x 7 = 2-16, 12 x 8 = 2-28, 12 x 9 = 3-6, 12 x 10 = 3-18, 12 x 11 = 3-30, 12 x 12 = 4-8, 12 x 13 = 4-20, 12 x 14 = 4-32, 12 x 15 = 5-10, 12 x 16 = 5-22, 12 x 17 = 6-0, 12 x 18 = 6-12, 12 x 19 = 6-24, 12 x 20 = 7-2, 12 x 21 = 7-14, 12 x 22 = 7-26, 12 x 23 = 8-4, 12 x 24 = 8-16, 12 x 25 = 8-28, 12 x 26 = 9-6, 12 x 27 = 9-18, 12 x 28 = 9-30, 12 x 29 = 10-8, 12 x 30 = 10-20, 12 x 31 = 10-32, 12 x 32 = 11-10, 12 x 33 = 11-22, 
13 x 1 = 0-13, 13 x 2 = 0-26, 13 x 3 = 1-5, 13 x 4 = 1-18, 13 x 5 = 1-31, 13 x 6 = 2-10, 13 x 7 = 2-23, 13 x 8 = 3-2, 13 x 9 = 3-15, 13 x 10 = 3-28, 13 x 11 = 4-7, 13 x 12 = 4-20, 13 x 13 = 4-33, 13 x 14 = 5-12, 13 x 15 = 5-25, 13 x 16 = 6-4, 13 x 17 = 6-17, 13 x 18 = 6-30, 13 x 19 = 7-9, 13 x 20 = 7-22, 13 x 21 = 8-1, 13 x 22 = 8-14, 13 x 23 = 8-27, 13 x 24 = 9-6, 13 x 25 = 9-19, 13 x 26 = 9-32, 13 x 27 = 10-11, 13 x 28 = 10-24, 13 x 29 = 11-3, 13 x 30 = 11-16, 13 x 31 = 11-29, 13 x 32 = 12-8, 13 x 33 = 12-21, 
14 x 1 = 0-14, 14 x 2 = 0-28, 14 x 3 = 1-8, 14 x 4 = 1-22, 14 x 5 = 2-2, 14 x 6 = 2-16, 14 x 7 = 2-30, 14 x 8 = 3-10, 14 x 9 = 3-24, 14 x 10 = 4-4, 14 x 11 = 4-18, 14 x 12 = 4-32, 14 x 13 = 5-12, 14 x 14 = 5-26, 14 x 15 = 6-6, 14 x 16 = 6-20, 14 x 17 = 7-0, 14 x 18 = 7-14, 14 x 19 = 7-28, 14 x 20 = 8-8, 14 x 21 = 8-22, 14 x 22 = 9-2, 14 x 23 = 9-16, 14 x 24 = 9-30, 14 x 25 = 10-10, 14 x 26 = 10-24, 14 x 27 = 11-4, 14 x 28 = 11-18, 14 x 29 = 11-32, 14 x 30 = 12-12, 14 x 31 = 12-26, 14 x 32 = 13-6, 14 x 33 = 13-20, 
15 x 1 = 0-15, 15 x 2 = 0-30, 15 x 3 = 1-11, 15 x 4 = 1-26, 15 x 5 = 2-7, 15 x 6 = 2-22, 15 x 7 = 3-3, 15 x 8 = 3-18, 15 x 9 = 3-33, 15 x 10 = 4-14, 15 x 11 = 4-29, 15 x 12 = 5-10, 15 x 13 = 5-25, 15 x 14 = 6-6, 15 x 15 = 6-21, 15 x 16 = 7-2, 15 x 17 = 7-17, 15 x 18 = 7-32, 15 x 19 = 8-13, 15 x 20 = 8-28, 15 x 21 = 9-9, 15 x 22 = 9-24, 15 x 23 = 10-5, 15 x 24 = 10-20, 15 x 25 = 11-1, 15 x 26 = 11-16, 15 x 27 = 11-31, 15 x 28 = 12-12, 15 x 29 = 12-27, 15 x 30 = 13-8, 15 x 31 = 13-23, 15 x 32 = 14-4, 15 x 33 = 14-19, 
16 x 1 = 0-16, 16 x 2 = 0-32, 16 x 3 = 1-14, 16 x 4 = 1-30, 16 x 5 = 2-12, 16 x 6 = 2-28, 16 x 7 = 3-10, 16 x 8 = 3-26, 16 x 9 = 4-8, 16 x 10 = 4-24, 16 x 11 = 5-6, 16 x 12 = 5-22, 16 x 13 = 6-4, 16 x 14 = 6-20, 16 x 15 = 7-2, 16 x 16 = 7-18, 16 x 17 = 8-0, 16 x 18 = 8-16, 16 x 19 = 8-32, 16 x 20 = 9-14, 16 x 21 = 9-30, 16 x 22 = 10-12, 16 x 23 = 10-28, 16 x 24 = 11-10, 16 x 25 = 11-26, 16 x 26 = 12-8, 16 x 27 = 12-24, 16 x 28 = 13-6, 16 x 29 = 13-22, 16 x 30 = 14-4, 16 x 31 = 14-20, 16 x 32 = 15-2, 16 x 33 = 15-18, 
17 x 1 = 0-17, 17 x 2 = 1-0, 17 x 3 = 1-17, 17 x 4 = 2-0, 17 x 5 = 2-17, 17 x 6 = 3-0, 17 x 7 = 3-17, 17 x 8 = 4-0, 17 x 9 = 4-17, 17 x 10 = 5-0, 17 x 11 = 5-17, 17 x 12 = 6-0, 17 x 13 = 6-17, 17 x 14 = 7-0, 17 x 15 = 7-17, 17 x 16 = 8-0, 17 x 17 = 8-17, 17 x 18 = 9-0, 17 x 19 = 9-17, 17 x 20 = 10-0, 17 x 21 = 10-17, 17 x 22 = 11-0, 17 x 23 = 11-17, 17 x 24 = 12-0, 17 x 25 = 12-17, 17 x 26 = 13-0, 17 x 27 = 13-17, 17 x 28 = 14-0, 17 x 29 = 14-17, 17 x 30 = 15-0, 17 x 31 = 15-17, 17 x 32 = 16-0, 17 x 33 = 16-17, 
18 x 1 = 0-18, 18 x 2 = 1-2, 18 x 3 = 1-20, 18 x 4 = 2-4, 18 x 5 = 2-22, 18 x 6 = 3-6, 18 x 7 = 3-24, 18 x 8 = 4-8, 18 x 9 = 4-26, 18 x 10 = 5-10, 18 x 11 = 5-28, 18 x 12 = 6-12, 18 x 13 = 6-30, 18 x 14 = 7-14, 18 x 15 = 7-32, 18 x 16 = 8-16, 18 x 17 = 9-0, 18 x 18 = 9-18, 18 x 19 = 10-2, 18 x 20 = 10-20, 18 x 21 = 11-4, 18 x 22 = 11-22, 18 x 23 = 12-6, 18 x 24 = 12-24, 18 x 25 = 13-8, 18 x 26 = 13-26, 18 x 27 = 14-10, 18 x 28 = 14-28, 18 x 29 = 15-12, 18 x 30 = 15-30, 18 x 31 = 16-14, 18 x 32 = 16-32, 18 x 33 = 17-16, 
19 x 1 = 0-19, 19 x 2 = 1-4, 19 x 3 = 1-23, 19 x 4 = 2-8, 19 x 5 = 2-27, 19 x 6 = 3-12, 19 x 7 = 3-31, 19 x 8 = 4-16, 19 x 9 = 5-1, 19 x 10 = 5-20, 19 x 11 = 6-5, 19 x 12 = 6-24, 19 x 13 = 7-9, 19 x 14 = 7-28, 19 x 15 = 8-13, 19 x 16 = 8-32, 19 x 17 = 9-17, 19 x 18 = 10-2, 19 x 19 = 10-21, 19 x 20 = 11-6, 19 x 21 = 11-25, 19 x 22 = 12-10, 19 x 23 = 12-29, 19 x 24 = 13-14, 19 x 25 = 13-33, 19 x 26 = 14-18, 19 x 27 = 15-3, 19 x 28 = 15-22, 19 x 29 = 16-7, 19 x 30 = 16-26, 19 x 31 = 17-11, 19 x 32 = 17-30, 19 x 33 = 18-15, 
20 x 1 = 0-20, 20 x 2 = 1-6, 20 x 3 = 1-26, 20 x 4 = 2-12, 20 x 5 = 2-32, 20 x 6 = 3-18, 20 x 7 = 4-4, 20 x 8 = 4-24, 20 x 9 = 5-10, 20 x 10 = 5-30, 20 x 11 = 6-16, 20 x 12 = 7-2, 20 x 13 = 7-22, 20 x 14 = 8-8, 20 x 15 = 8-28, 20 x 16 = 9-14, 20 x 17 = 10-0, 20 x 18 = 10-20, 20 x 19 = 11-6, 20 x 20 = 11-26, 20 x 21 = 12-12, 20 x 22 = 12-32, 20 x 23 = 13-18, 20 x 24 = 14-4, 20 x 25 = 14-24, 20 x 26 = 15-10, 20 x 27 = 15-30, 20 x 28 = 16-16, 20 x 29 = 17-2, 20 x 30 = 17-22, 20 x 31 = 18-8, 20 x 32 = 18-28, 20 x 33 = 19-14, 
21 x 1 = 0-21, 21 x 2 = 1-8, 21 x 3 = 1-29, 21 x 4 = 2-16, 21 x 5 = 3-3, 21 x 6 = 3-24, 21 x 7 = 4-11, 21 x 8 = 4-32, 21 x 9 = 5-19, 21 x 10 = 6-6, 21 x 11 = 6-27, 21 x 12 = 7-14, 21 x 13 = 8-1, 21 x 14 = 8-22, 21 x 15 = 9-9, 21 x 16 = 9-30, 21 x 17 = 10-17, 21 x 18 = 11-4, 21 x 19 = 11-25, 21 x 20 = 12-12, 21 x 21 = 12-33, 21 x 22 = 13-20, 21 x 23 = 14-7, 21 x 24 = 14-28, 21 x 25 = 15-15, 21 x 26 = 16-2, 21 x 27 = 16-23, 21 x 28 = 17-10, 21 x 29 = 17-31, 21 x 30 = 18-18, 21 x 31 = 19-5, 21 x 32 = 19-26, 21 x 33 = 20-13, 
22 x 1 = 0-22, 22 x 2 = 1-10, 22 x 3 = 1-32, 22 x 4 = 2-20, 22 x 5 = 3-8, 22 x 6 = 3-30, 22 x 7 = 4-18, 22 x 8 = 5-6, 22 x 9 = 5-28, 22 x 10 = 6-16, 22 x 11 = 7-4, 22 x 12 = 7-26, 22 x 13 = 8-14, 22 x 14 = 9-2, 22 x 15 = 9-24, 22 x 16 = 10-12, 22 x 17 = 11-0, 22 x 18 = 11-22, 22 x 19 = 12-10, 22 x 20 = 12-32, 22 x 21 = 13-20, 22 x 22 = 14-8, 22 x 23 = 14-30, 22 x 24 = 15-18, 22 x 25 = 16-6, 22 x 26 = 16-28, 22 x 27 = 17-16, 22 x 28 = 18-4, 22 x 29 = 18-26, 22 x 30 = 19-14, 22 x 31 = 20-2, 22 x 32 = 20-24, 22 x 33 = 21-12, 
23 x 1 = 0-23, 23 x 2 = 1-12, 23 x 3 = 2-1, 23 x 4 = 2-24, 23 x 5 = 3-13, 23 x 6 = 4-2, 23 x 7 = 4-25, 23 x 8 = 5-14, 23 x 9 = 6-3, 23 x 10 = 6-26, 23 x 11 = 7-15, 23 x 12 = 8-4, 23 x 13 = 8-27, 23 x 14 = 9-16, 23 x 15 = 10-5, 23 x 16 = 10-28, 23 x 17 = 11-17, 23 x 18 = 12-6, 23 x 19 = 12-29, 23 x 20 = 13-18, 23 x 21 = 14-7, 23 x 22 = 14-30, 23 x 23 = 15-19, 23 x 24 = 16-8, 23 x 25 = 16-31, 23 x 26 = 17-20, 23 x 27 = 18-9, 23 x 28 = 18-32, 23 x 29 = 19-21, 23 x 30 = 20-10, 23 x 31 = 20-33, 23 x 32 = 21-22, 23 x 33 = 22-11, 
24 x 1 = 0-24, 24 x 2 = 1-14, 24 x 3 = 2-4, 24 x 4 = 2-28, 24 x 5 = 3-18, 24 x 6 = 4-8, 24 x 7 = 4-32, 24 x 8 = 5-22, 24 x 9 = 6-12, 24 x 10 = 7-2, 24 x 11 = 7-26, 24 x 12 = 8-16, 24 x 13 = 9-6, 24 x 14 = 9-30, 24 x 15 = 10-20, 24 x 16 = 11-10, 24 x 17 = 12-0, 24 x 18 = 12-24, 24 x 19 = 13-14, 24 x 20 = 14-4, 24 x 21 = 14-28, 24 x 22 = 15-18, 24 x 23 = 16-8, 24 x 24 = 16-32, 24 x 25 = 17-22, 24 x 26 = 18-12, 24 x 27 = 19-2, 24 x 28 = 19-26, 24 x 29 = 20-16, 24 x 30 = 21-6, 24 x 31 = 21-30, 24 x 32 = 22-20, 24 x 33 = 23-10, 
25 x 1 = 0-25, 25 x 2 = 1-16, 25 x 3 = 2-7, 25 x 4 = 2-32, 25 x 5 = 3-23, 25 x 6 = 4-14, 25 x 7 = 5-5, 25 x 8 = 5-30, 25 x 9 = 6-21, 25 x 10 = 7-12, 25 x 11 = 8-3, 25 x 12 = 8-28, 25 x 13 = 9-19, 25 x 14 = 10-10, 25 x 15 = 11-1, 25 x 16 = 11-26, 25 x 17 = 12-17, 25 x 18 = 13-8, 25 x 19 = 13-33, 25 x 20 = 14-24, 25 x 21 = 15-15, 25 x 22 = 16-6, 25 x 23 = 16-31, 25 x 24 = 17-22, 25 x 25 = 18-13, 25 x 26 = 19-4, 25 x 27 = 19-29, 25 x 28 = 20-20, 25 x 29 = 21-11, 25 x 30 = 22-2, 25 x 31 = 22-27, 25 x 32 = 23-18, 25 x 33 = 24-9, 
26 x 1 = 0-26, 26 x 2 = 1-18, 26 x 3 = 2-10, 26 x 4 = 3-2, 26 x 5 = 3-28, 26 x 6 = 4-20, 26 x 7 = 5-12, 26 x 8 = 6-4, 26 x 9 = 6-30, 26 x 10 = 7-22, 26 x 11 = 8-14, 26 x 12 = 9-6, 26 x 13 = 9-32, 26 x 14 = 10-24, 26 x 15 = 11-16, 26 x 16 = 12-8, 26 x 17 = 13-0, 26 x 18 = 13-26, 26 x 19 = 14-18, 26 x 20 = 15-10, 26 x 21 = 16-2, 26 x 22 = 16-28, 26 x 23 = 17-20, 26 x 24 = 18-12, 26 x 25 = 19-4, 26 x 26 = 19-30, 26 x 27 = 20-22, 26 x 28 = 21-14, 26 x 29 = 22-6, 26 x 30 = 22-32, 26 x 31 = 23-24, 26 x 32 = 24-16, 26 x 33 = 25-8, 
27 x 1 = 0-27, 27 x 2 = 1-20, 27 x 3 = 2-13, 27 x 4 = 3-6, 27 x 5 = 3-33, 27 x 6 = 4-26, 27 x 7 = 5-19, 27 x 8 = 6-12, 27 x 9 = 7-5, 27 x 10 = 7-32, 27 x 11 = 8-25, 27 x 12 = 9-18, 27 x 13 = 10-11, 27 x 14 = 11-4, 27 x 15 = 11-31, 27 x 16 = 12-24, 27 x 17 = 13-17, 27 x 18 = 14-10, 27 x 19 = 15-3, 27 x 20 = 15-30, 27 x 21 = 16-23, 27 x 22 = 17-16, 27 x 23 = 18-9, 27 x 24 = 19-2, 27 x 25 = 19-29, 27 x 26 = 20-22, 27 x 27 = 21-15, 27 x 28 = 22-8, 27 x 29 = 23-1, 27 x 30 = 23-28, 27 x 31 = 24-21, 27 x 32 = 25-14, 27 x 33 = 26-7, 
28 x 1 = 0-28, 28 x 2 = 1-22, 28 x 3 = 2-16, 28 x 4 = 3-10, 28 x 5 = 4-4, 28 x 6 = 4-32, 28 x 7 = 5-26, 28 x 8 = 6-20, 28 x 9 = 7-14, 28 x 10 = 8-8, 28 x 11 = 9-2, 28 x 12 = 9-30, 28 x 13 = 10-24, 28 x 14 = 11-18, 28 x 15 = 12-12, 28 x 16 = 13-6, 28 x 17 = 14-0, 28 x 18 = 14-28, 28 x 19 = 15-22, 28 x 20 = 16-16, 28 x 21 = 17-10, 28 x 22 = 18-4, 28 x 23 = 18-32, 28 x 24 = 19-26, 28 x 25 = 20-20, 28 x 26 = 21-14, 28 x 27 = 22-8, 28 x 28 = 23-2, 28 x 29 = 23-30, 28 x 30 = 24-24, 28 x 31 = 25-18, 28 x 32 = 26-12, 28 x 33 = 27-6, 
29 x 1 = 0-29, 29 x 2 = 1-24, 29 x 3 = 2-19, 29 x 4 = 3-14, 29 x 5 = 4-9, 29 x 6 = 5-4, 29 x 7 = 5-33, 29 x 8 = 6-28, 29 x 9 = 7-23, 29 x 10 = 8-18, 29 x 11 = 9-13, 29 x 12 = 10-8, 29 x 13 = 11-3, 29 x 14 = 11-32, 29 x 15 = 12-27, 29 x 16 = 13-22, 29 x 17 = 14-17, 29 x 18 = 15-12, 29 x 19 = 16-7, 29 x 20 = 17-2, 29 x 21 = 17-31, 29 x 22 = 18-26, 29 x 23 = 19-21, 29 x 24 = 20-16, 29 x 25 = 21-11, 29 x 26 = 22-6, 29 x 27 = 23-1, 29 x 28 = 23-30, 29 x 29 = 24-25, 29 x 30 = 25-20, 29 x 31 = 26-15, 29 x 32 = 27-10, 29 x 33 = 28-5, 
30 x 1 = 0-30, 30 x 2 = 1-26, 30 x 3 = 2-22, 30 x 4 = 3-18, 30 x 5 = 4-14, 30 x 6 = 5-10, 30 x 7 = 6-6, 30 x 8 = 7-2, 30 x 9 = 7-32, 30 x 10 = 8-28, 30 x 11 = 9-24, 30 x 12 = 10-20, 30 x 13 = 11-16, 30 x 14 = 12-12, 30 x 15 = 13-8, 30 x 16 = 14-4, 30 x 17 = 15-0, 30 x 18 = 15-30, 30 x 19 = 16-26, 30 x 20 = 17-22, 30 x 21 = 18-18, 30 x 22 = 19-14, 30 x 23 = 20-10, 30 x 24 = 21-6, 30 x 25 = 22-2, 30 x 26 = 22-32, 30 x 27 = 23-28, 30 x 28 = 24-24, 30 x 29 = 25-20, 30 x 30 = 26-16, 30 x 31 = 27-12, 30 x 32 = 28-8, 30 x 33 = 29-4, 
31 x 1 = 0-31, 31 x 2 = 1-28, 31 x 3 = 2-25, 31 x 4 = 3-22, 31 x 5 = 4-19, 31 x 6 = 5-16, 31 x 7 = 6-13, 31 x 8 = 7-10, 31 x 9 = 8-7, 31 x 10 = 9-4, 31 x 11 = 10-1, 31 x 12 = 10-32, 31 x 13 = 11-29, 31 x 14 = 12-26, 31 x 15 = 13-23, 31 x 16 = 14-20, 31 x 17 = 15-17, 31 x 18 = 16-14, 31 x 19 = 17-11, 31 x 20 = 18-8, 31 x 21 = 19-5, 31 x 22 = 20-2, 31 x 23 = 20-33, 31 x 24 = 21-30, 31 x 25 = 22-27, 31 x 26 = 23-24, 31 x 27 = 24-21, 31 x 28 = 25-18, 31 x 29 = 26-15, 31 x 30 = 27-12, 31 x 31 = 28-9, 31 x 32 = 29-6, 31 x 33 = 30-3, 
32 x 1 = 0-32, 32 x 2 = 1-30, 32 x 3 = 2-28, 32 x 4 = 3-26, 32 x 5 = 4-24, 32 x 6 = 5-22, 32 x 7 = 6-20, 32 x 8 = 7-18, 32 x 9 = 8-16, 32 x 10 = 9-14, 32 x 11 = 10-12, 32 x 12 = 11-10, 32 x 13 = 12-8, 32 x 14 = 13-6, 32 x 15 = 14-4, 32 x 16 = 15-2, 32 x 17 = 16-0, 32 x 18 = 16-32, 32 x 19 = 17-30, 32 x 20 = 18-28, 32 x 21 = 19-26, 32 x 22 = 20-24, 32 x 23 = 21-22, 32 x 24 = 22-20, 32 x 25 = 23-18, 32 x 26 = 24-16, 32 x 27 = 25-14, 32 x 28 = 26-12, 32 x 29 = 27-10, 32 x 30 = 28-8, 32 x 31 = 29-6, 32 x 32 = 30-4, 32 x 33 = 31-2, 
