0-11 x 0-1 = 0-11, 0-11 x 0-2 = 0-22, 0-11 x 0-3 = 1-10, 0-11 x 0-4 = 1-21, 0-11 x 0-5 = 2-9, 0-11 x 0-6 = 2-20, 0-11 x 0-7 = 3-8, 0-11 x 0-8 = 3-19, 0-11 x 0-9 = 4-7, 0-11 x 0-10 = 4-18, 0-11 x 0-11 = 5-6, 0-11 x 0-12 = 5-17, 0-11 x 0-13 = 6-5, 0-11 x 0-14 = 6-16, 0-11 x 0-15 = 7-4, 0-11 x 0-16 = 7-15, 0-11 x 0-17 = 8-3, 0-11 x 0-18 = 8-14, 0-11 x 0-19 = 9-2, 0-11 x 0-20 = 9-13, 0-11 x 0-21 = 10-1, 0-11 x 0-22 = 10-12, 
0-12 x 0-1 = 0-12, 0-12 x 0-2 = 1-1, 0-12 x 0-3 = 1-13, 0-12 x 0-4 = 2-2, 0-12 x 0-5 = 2-14, 0-12 x 0-6 = 3-3, 0-12 x 0-7 = 3-15, 0-12 x 0-8 = 4-4, 0-12 x 0-9 = 4-16, 0-12 x 0-10 = 5-5, 0-12 x 0-11 = 5-17, 0-12 x 0-12 = 6-6, 0-12 x 0-13 = 6-18, 0-12 x 0-14 = 7-7, 0-12 x 0-15 = 7-19, 0-12 x 0-16 = 8-8, 0-12 x 0-17 = 8-20, 0-12 x 0-18 = 9-9, 0-12 x 0-19 = 9-21, 0-12 x 0-20 = 10-10, 0-12 x 0-21 = 10-22, 0-12 x 0-22 = 11-11, 
0-13 x 0-1 = 0-13, 0-13 x 0-2 = 1-3, 0-13 x 0-3 = 1-16, 0-13 x 0-4 = 2-6, 0-13 x 0-5 = 2-19, 0-13 x 0-6 = 3-9, 0-13 x 0-7 = 3-22, 0-13 x 0-8 = 4-12, 0-13 x 0-9 = 5-2, 0-13 x 0-10 = 5-15, 0-13 x 0-11 = 6-5, 0-13 x 0-12 = 6-18, 0-13 x 0-13 = 7-8, 0-13 x 0-14 = 7-21, 0-13 x 0-15 = 8-11, 0-13 x 0-16 = 9-1, 0-13 x 0-17 = 9-14, 0-13 x 0-18 = 10-4, 0-13 x 0-19 = 10-17, 0-13 x 0-20 = 11-7, 0-13 x 0-21 = 11-20, 0-13 x 0-22 = 12-10, 
0-14 x 0-1 = 0-14, 0-14 x 0-2 = 1-5, 0-14 x 0-3 = 1-19, 0-14 x 0-4 = 2-10, 0-14 x 0-5 = 3-1, 0-14 x 0-6 = 3-15, 0-14 x 0-7 = 4-6, 0-14 x 0-8 = 4-20, 0-14 x 0-9 = 5-11, 0-14 x 0-10 = 6-2, 0-14 x 0-11 = 6-16, 0-14 x 0-12 = 7-7, 0-14 x 0-13 = 7-21, 0-14 x 0-14 = 8-12, 0-14 x 0-15 = 9-3, 0-14 x 0-16 = 9-17, 0-14 x 0-17 = 10-8, 0-14 x 0-18 = 10-22, 0-14 x 0-19 = 11-13, 0-14 x 0-20 = 12-4, 0-14 x 0-21 = 12-18, 0-14 x 0-22 = 13-9, 
0-15 x 0-1 = 0-15, 0-15 x 0-2 = 1-7, 0-15 x 0-3 = 1-22, 0-15 x 0-4 = 2-14, 0-15 x 0-5 = 3-6, 0-15 x 0-6 = 3-21, 0-15 x 0-7 = 4-13, 0-15 x 0-8 = 5-5, 0-15 x 0-9 = 5-20, 0-15 x 0-10 = 6-12, 0-15 x 0-11 = 7-4, 0-15 x 0-12 = 7-19, 0-15 x 0-13 = 8-11, 0-15 x 0-14 = 9-3, 0-15 x 0-15 = 9-18, 0-15 x 0-16 = 10-10, 0-15 x 0-17 = 11-2, 0-15 x 0-18 = 11-17, 0-15 x 0-19 = 12-9, 0-15 x 0-20 = 13-1, 0-15 x 0-21 = 13-16, 0-15 x 0-22 = 14-8, 
0-16 x 0-1 = 0-16, 0-16 x 0-2 = 1-9, 0-16 x 0-3 = 2-2, 0-16 x 0-4 = 2-18, 0-16 x 0-5 = 3-11, 0-16 x 0-6 = 4-4, 0-16 x 0-7 = 4-20, 0-16 x 0-8 = 5-13, 0-16 x 0-9 = 6-6, 0-16 x 0-10 = 6-22, 0-16 x 0-11 = 7-15, 0-16 x 0-12 = 8-8, 0-16 x 0-13 = 9-1, 0-16 x 0-14 = 9-17, 0-16 x 0-15 = 10-10, 0-16 x 0-16 = 11-3, 0-16 x 0-17 = 11-19, 0-16 x 0-18 = 12-12, 0-16 x 0-19 = 13-5, 0-16 x 0-20 = 13-21, 0-16 x 0-21 = 14-14, 0-16 x 0-22 = 15-7, 
0-17 x 0-1 = 0-17, 0-17 x 0-2 = 1-11, 0-17 x 0-3 = 2-5, 0-17 x 0-4 = 2-22, 0-17 x 0-5 = 3-16, 0-17 x 0-6 = 4-10, 0-17 x 0-7 = 5-4, 0-17 x 0-8 = 5-21, 0-17 x 0-9 = 6-15, 0-17 x 0-10 = 7-9, 0-17 x 0-11 = 8-3, 0-17 x 0-12 = 8-20, 0-17 x 0-13 = 9-14, 0-17 x 0-14 = 10-8, 0-17 x 0-15 = 11-2, 0-17 x 0-16 = 11-19, 0-17 x 0-17 = 12-13, 0-17 x 0-18 = 13-7, 0-17 x 0-19 = 14-1, 0-17 x 0-20 = 14-18, 0-17 x 0-21 = 15-12, 0-17 x 0-22 = 16-6, 
0-18 x 0-1 = 0-18, 0-18 x 0-2 = 1-13, 0-18 x 0-3 = 2-8, 0-18 x 0-4 = 3-3, 0-18 x 0-5 = 3-21, 0-18 x 0-6 = 4-16, 0-18 x 0-7 = 5-11, 0-18 x 0-8 = 6-6, 0-18 x 0-9 = 7-1, 0-18 x 0-10 = 7-19, 0-18 x 0-11 = 8-14, 0-18 x 0-12 = 9-9, 0-18 x 0-13 = 10-4, 0-18 x 0-14 = 10-22, 0-18 x 0-15 = 11-17, 0-18 x 0-16 = 12-12, 0-18 x 0-17 = 13-7, 0-18 x 0-18 = 14-2, 0-18 x 0-19 = 14-20, 0-18 x 0-20 = 15-15, 0-18 x 0-21 = 16-10, 0-18 x 0-22 = 17-5, 
0-19 x 0-1 = 0-19, 0-19 x 0-2 = 1-15, 0-19 x 0-3 = 2-11, 0-19 x 0-4 = 3-7, 0-19 x 0-5 = 4-3, 0-19 x 0-6 = 4-22, 0-19 x 0-7 = 5-18, 0-19 x 0-8 = 6-14, 0-19 x 0-9 = 7-10, 0-19 x 0-10 = 8-6, 0-19 x 0-11 = 9-2, 0-19 x 0-12 = 9-21, 0-19 x 0-13 = 10-17, 0-19 x 0-14 = 11-13, 0-19 x 0-15 = 12-9, 0-19 x 0-16 = 13-5, 0-19 x 0-17 = 14-1, 0-19 x 0-18 = 14-20, 0-19 x 0-19 = 15-16, 0-19 x 0-20 = 16-12, 0-19 x 0-21 = 17-8, 0-19 x 0-22 = 18-4, 
0-20 x 0-1 = 0-20, 0-20 x 0-2 = 1-17, 0-20 x 0-3 = 2-14, 0-20 x 0-4 = 3-11, 0-20 x 0-5 = 4-8, 0-20 x 0-6 = 5-5, 0-20 x 0-7 = 6-2, 0-20 x 0-8 = 6-22, 0-20 x 0-9 = 7-19, 0-20 x 0-10 = 8-16, 0-20 x 0-11 = 9-13, 0-20 x 0-12 = 10-10, 0-20 x 0-13 = 11-7, 0-20 x 0-14 = 12-4, 0-20 x 0-15 = 13-1, 0-20 x 0-16 = 13-21, 0-20 x 0-17 = 14-18, 0-20 x 0-18 = 15-15, 0-20 x 0-19 = 16-12, 0-20 x 0-20 = 17-9, 0-20 x 0-21 = 18-6, 0-20 x 0-22 = 19-3, 
0-21 x 0-1 = 0-21, 0-21 x 0-2 = 1-19, 0-21 x 0-3 = 2-17, 0-21 x 0-4 = 3-15, 0-21 x 0-5 = 4-13, 0-21 x 0-6 = 5-11, 0-21 x 0-7 = 6-9, 0-21 x 0-8 = 7-7, 0-21 x 0-9 = 8-5, 0-21 x 0-10 = 9-3, 0-21 x 0-11 = 10-1, 0-21 x 0-12 = 10-22, 0-21 x 0-13 = 11-20, 0-21 x 0-14 = 12-18, 0-21 x 0-15 = 13-16, 0-21 x 0-16 = 14-14, 0-21 x 0-17 = 15-12, 0-21 x 0-18 = 16-10, 0-21 x 0-19 = 17-8, 0-21 x 0-20 = 18-6, 0-21 x 0-21 = 19-4, 0-21 x 0-22 = 20-2, 
0-22 x 0-1 = 0-22, 0-22 x 0-2 = 1-21, 0-22 x 0-3 = 2-20, 0-22 x 0-4 = 3-19, 0-22 x 0-5 = 4-18, 0-22 x 0-6 = 5-17, 0-22 x 0-7 = 6-16, 0-22 x 0-8 = 7-15, 0-22 x 0-9 = 8-14, 0-22 x 0-10 = 9-13, 0-22 x 0-11 = 10-12, 0-22 x 0-12 = 11-11, 0-22 x 0-13 = 12-10, 0-22 x 0-14 = 13-9, 0-22 x 0-15 = 14-8, 0-22 x 0-16 = 15-7, 0-22 x 0-17 = 16-6, 0-22 x 0-18 = 17-5, 0-22 x 0-19 = 18-4, 0-22 x 0-20 = 19-3, 0-22 x 0-21 = 20-2, 0-22 x 0-22 = 21-1, 
