0-11 x 0-1 = 0-11, 0-11 x 0-2 = 0-22, 0-11 x 0-3 = 0-33, 0-11 x 0-4 = 1-8, 0-11 x 0-5 = 1-19, 0-11 x 0-6 = 1-30, 0-11 x 0-7 = 2-5, 0-11 x 0-8 = 2-16, 0-11 x 0-9 = 2-27, 0-11 x 0-10 = 3-2, 0-11 x 0-11 = 3-13, 0-11 x 0-12 = 3-24, 0-11 x 0-13 = 3-35, 0-11 x 0-14 = 4-10, 0-11 x 0-15 = 4-21, 0-11 x 0-16 = 4-32, 0-11 x 0-17 = 5-7, 0-11 x 0-18 = 5-18, 0-11 x 0-19 = 5-29, 0-11 x 0-20 = 6-4, 0-11 x 0-21 = 6-15, 0-11 x 0-22 = 6-26, 0-11 x 0-23 = 7-1, 0-11 x 0-24 = 7-12, 0-11 x 0-25 = 7-23, 0-11 x 0-26 = 7-34, 0-11 x 0-27 = 8-9, 0-11 x 0-28 = 8-20, 0-11 x 0-29 = 8-31, 0-11 x 0-30 = 9-6, 0-11 x 0-31 = 9-17, 0-11 x 0-32 = 9-28, 0-11 x 0-33 = 10-3, 0-11 x 0-34 = 10-14, 0-11 x 0-35 = 10-25, 
0-12 x 0-1 = 0-12, 0-12 x 0-2 = 0-24, 0-12 x 0-3 = 1-0, 0-12 x 0-4 = 1-12, 0-12 x 0-5 = 1-24, 0-12 x 0-6 = 2-0, 0-12 x 0-7 = 2-12, 0-12 x 0-8 = 2-24, 0-12 x 0-9 = 3-0, 0-12 x 0-10 = 3-12, 0-12 x 0-11 = 3-24, 0-12 x 0-12 = 4-0, 0-12 x 0-13 = 4-12, 0-12 x 0-14 = 4-24, 0-12 x 0-15 = 5-0, 0-12 x 0-16 = 5-12, 0-12 x 0-17 = 5-24, 0-12 x 0-18 = 6-0, 0-12 x 0-19 = 6-12, 0-12 x 0-20 = 6-24, 0-12 x 0-21 = 7-0, 0-12 x 0-22 = 7-12, 0-12 x 0-23 = 7-24, 0-12 x 0-24 = 8-0, 0-12 x 0-25 = 8-12, 0-12 x 0-26 = 8-24, 0-12 x 0-27 = 9-0, 0-12 x 0-28 = 9-12, 0-12 x 0-29 = 9-24, 0-12 x 0-30 = 10-0, 0-12 x 0-31 = 10-12, 0-12 x 0-32 = 10-24, 0-12 x 0-33 = 11-0, 0-12 x 0-34 = 11-12, 0-12 x 0-35 = 11-24, 
0-13 x 0-1 = 0-13, 0-13 x 0-2 = 0-26, 0-13 x 0-3 = 1-3, 0-13 x 0-4 = 1-16, 0-13 x 0-5 = 1-29, 0-13 x 0-6 = 2-6, 0-13 x 0-7 = 2-19, 0-13 x 0-8 = 2-32, 0-13 x 0-9 = 3-9, 0-13 x 0-10 = 3-22, 0-13 x 0-11 = 3-35, 0-13 x 0-12 = 4-12, 0-13 x 0-13 = 4-25, 0-13 x 0-14 = 5-2, 0-13 x 0-15 = 5-15, 0-13 x 0-16 = 5-28, 0-13 x 0-17 = 6-5, 0-13 x 0-18 = 6-18, 0-13 x 0-19 = 6-31, 0-13 x 0-20 = 7-8, 0-13 x 0-21 = 7-21, 0-13 x 0-22 = 7-34, 0-13 x 0-23 = 8-11, 0-13 x 0-24 = 8-24, 0-13 x 0-25 = 9-1, 0-13 x 0-26 = 9-14, 0-13 x 0-27 = 9-27, 0-13 x 0-28 = 10-4, 0-13 x 0-29 = 10-17, 0-13 x 0-30 = 10-30, 0-13 x 0-31 = 11-7, 0-13 x 0-32 = 11-20, 0-13 x 0-33 = 11-33, 0-13 x 0-34 = 12-10, 0-13 x 0-35 = 12-23, 
0-14 x 0-1 = 0-14, 0-14 x 0-2 = 0-28, 0-14 x 0-3 = 1-6, 0-14 x 0-4 = 1-20, 0-14 x 0-5 = 1-34, 0-14 x 0-6 = 2-12, 0-14 x 0-7 = 2-26, 0-14 x 0-8 = 3-4, 0-14 x 0-9 = 3-18, 0-14 x 0-10 = 3-32, 0-14 x 0-11 = 4-10, 0-14 x 0-12 = 4-24, 0-14 x 0-13 = 5-2, 0-14 x 0-14 = 5-16, 0-14 x 0-15 = 5-30, 0-14 x 0-16 = 6-8, 0-14 x 0-17 = 6-22, 0-14 x 0-18 = 7-0, 0-14 x 0-19 = 7-14, 0-14 x 0-20 = 7-28, 0-14 x 0-21 = 8-6, 0-14 x 0-22 = 8-20, 0-14 x 0-23 = 8-34, 0-14 x 0-24 = 9-12, 0-14 x 0-25 = 9-26, 0-14 x 0-26 = 10-4, 0-14 x 0-27 = 10-18, 0-14 x 0-28 = 10-32, 0-14 x 0-29 = 11-10, 0-14 x 0-30 = 11-24, 0-14 x 0-31 = 12-2, 0-14 x 0-32 = 12-16, 0-14 x 0-33 = 12-30, 0-14 x 0-34 = 13-8, 0-14 x 0-35 = 13-22, 
0-15 x 0-1 = 0-15, 0-15 x 0-2 = 0-30, 0-15 x 0-3 = 1-9, 0-15 x 0-4 = 1-24, 0-15 x 0-5 = 2-3, 0-15 x 0-6 = 2-18, 0-15 x 0-7 = 2-33, 0-15 x 0-8 = 3-12, 0-15 x 0-9 = 3-27, 0-15 x 0-10 = 4-6, 0-15 x 0-11 = 4-21, 0-15 x 0-12 = 5-0, 0-15 x 0-13 = 5-15, 0-15 x 0-14 = 5-30, 0-15 x 0-15 = 6-9, 0-15 x 0-16 = 6-24, 0-15 x 0-17 = 7-3, 0-15 x 0-18 = 7-18, 0-15 x 0-19 = 7-33, 0-15 x 0-20 = 8-12, 0-15 x 0-21 = 8-27, 0-15 x 0-22 = 9-6, 0-15 x 0-23 = 9-21, 0-15 x 0-24 = 10-0, 0-15 x 0-25 = 10-15, 0-15 x 0-26 = 10-30, 0-15 x 0-27 = 11-9, 0-15 x 0-28 = 11-24, 0-15 x 0-29 = 12-3, 0-15 x 0-30 = 12-18, 0-15 x 0-31 = 12-33, 0-15 x 0-32 = 13-12, 0-15 x 0-33 = 13-27, 0-15 x 0-34 = 14-6, 0-15 x 0-35 = 14-21, 
0-16 x 0-1 = 0-16, 0-16 x 0-2 = 0-32, 0-16 x 0-3 = 1-12, 0-16 x 0-4 = 1-28, 0-16 x 0-5 = 2-8, 0-16 x 0-6 = 2-24, 0-16 x 0-7 = 3-4, 0-16 x 0-8 = 3-20, 0-16 x 0-9 = 4-0, 0-16 x 0-10 = 4-16, 0-16 x 0-11 = 4-32, 0-16 x 0-12 = 5-12, 0-16 x 0-13 = 5-28, 0-16 x 0-14 = 6-8, 0-16 x 0-15 = 6-24, 0-16 x 0-16 = 7-4, 0-16 x 0-17 = 7-20, 0-16 x 0-18 = 8-0, 0-16 x 0-19 = 8-16, 0-16 x 0-20 = 8-32, 0-16 x 0-21 = 9-12, 0-16 x 0-22 = 9-28, 0-16 x 0-23 = 10-8, 0-16 x 0-24 = 10-24, 0-16 x 0-25 = 11-4, 0-16 x 0-26 = 11-20, 0-16 x 0-27 = 12-0, 0-16 x 0-28 = 12-16, 0-16 x 0-29 = 12-32, 0-16 x 0-30 = 13-12, 0-16 x 0-31 = 13-28, 0-16 x 0-32 = 14-8, 0-16 x 0-33 = 14-24, 0-16 x 0-34 = 15-4, 0-16 x 0-35 = 15-20, 
0-17 x 0-1 = 0-17, 0-17 x 0-2 = 0-34, 0-17 x 0-3 = 1-15, 0-17 x 0-4 = 1-32, 0-17 x 0-5 = 2-13, 0-17 x 0-6 = 2-30, 0-17 x 0-7 = 3-11, 0-17 x 0-8 = 3-28, 0-17 x 0-9 = 4-9, 0-17 x 0-10 = 4-26, 0-17 x 0-11 = 5-7, 0-17 x 0-12 = 5-24, 0-17 x 0-13 = 6-5, 0-17 x 0-14 = 6-22, 0-17 x 0-15 = 7-3, 0-17 x 0-16 = 7-20, 0-17 x 0-17 = 8-1, 0-17 x 0-18 = 8-18, 0-17 x 0-19 = 8-35, 0-17 x 0-20 = 9-16, 0-17 x 0-21 = 9-33, 0-17 x 0-22 = 10-14, 0-17 x 0-23 = 10-31, 0-17 x 0-24 = 11-12, 0-17 x 0-25 = 11-29, 0-17 x 0-26 = 12-10, 0-17 x 0-27 = 12-27, 0-17 x 0-28 = 13-8, 0-17 x 0-29 = 13-25, 0-17 x 0-30 = 14-6, 0-17 x 0-31 = 14-23, 0-17 x 0-32 = 15-4, 0-17 x 0-33 = 15-21, 0-17 x 0-34 = 16-2, 0-17 x 0-35 = 16-19, 
0-18 x 0-1 = 0-18, 0-18 x 0-2 = 1-0, 0-18 x 0-3 = 1-18, 0-18 x 0-4 = 2-0, 0-18 x 0-5 = 2-18, 0-18 x 0-6 = 3-0, 0-18 x 0-7 = 3-18, 0-18 x 0-8 = 4-0, 0-18 x 0-9 = 4-18, 0-18 x 0-10 = 5-0, 0-18 x 0-11 = 5-18, 0-18 x 0-12 = 6-0, 0-18 x 0-13 = 6-18, 0-18 x 0-14 = 7-0, 0-18 x 0-15 = 7-18, 0-18 x 0-16 = 8-0, 0-18 x 0-17 = 8-18, 0-18 x 0-18 = 9-0, 0-18 x 0-19 = 9-18, 0-18 x 0-20 = 10-0, 0-18 x 0-21 = 10-18, 0-18 x 0-22 = 11-0, 0-18 x 0-23 = 11-18, 0-18 x 0-24 = 12-0, 0-18 x 0-25 = 12-18, 0-18 x 0-26 = 13-0, 0-18 x 0-27 = 13-18, 0-18 x 0-28 = 14-0, 0-18 x 0-29 = 14-18, 0-18 x 0-30 = 15-0, 0-18 x 0-31 = 15-18, 0-18 x 0-32 = 16-0, 0-18 x 0-33 = 16-18, 0-18 x 0-34 = 17-0, 0-18 x 0-35 = 17-18, 
0-19 x 0-1 = 0-19, 0-19 x 0-2 = 1-2, 0-19 x 0-3 = 1-21, 0-19 x 0-4 = 2-4, 0-19 x 0-5 = 2-23, 0-19 x 0-6 = 3-6, 0-19 x 0-7 = 3-25, 0-19 x 0-8 = 4-8, 0-19 x 0-9 = 4-27, 0-19 x 0-10 = 5-10, 0-19 x 0-11 = 5-29, 0-19 x 0-12 = 6-12, 0-19 x 0-13 = 6-31, 0-19 x 0-14 = 7-14, 0-19 x 0-15 = 7-33, 0-19 x 0-16 = 8-16, 0-19 x 0-17 = 8-35, 0-19 x 0-18 = 9-18, 0-19 x 0-19 = 10-1, 0-19 x 0-20 = 10-20, 0-19 x 0-21 = 11-3, 0-19 x 0-22 = 11-22, 0-19 x 0-23 = 12-5, 0-19 x 0-24 = 12-24, 0-19 x 0-25 = 13-7, 0-19 x 0-26 = 13-26, 0-19 x 0-27 = 14-9, 0-19 x 0-28 = 14-28, 0-19 x 0-29 = 15-11, 0-19 x 0-30 = 15-30, 0-19 x 0-31 = 16-13, 0-19 x 0-32 = 16-32, 0-19 x 0-33 = 17-15, 0-19 x 0-34 = 17-34, 0-19 x 0-35 = 18-17, 
0-20 x 0-1 = 0-20, 0-20 x 0-2 = 1-4, 0-20 x 0-3 = 1-24, 0-20 x 0-4 = 2-8, 0-20 x 0-5 = 2-28, 0-20 x 0-6 = 3-12, 0-20 x 0-7 = 3-32, 0-20 x 0-8 = 4-16, 0-20 x 0-9 = 5-0, 0-20 x 0-10 = 5-20, 0-20 x 0-11 = 6-4, 0-20 x 0-12 = 6-24, 0-20 x 0-13 = 7-8, 0-20 x 0-14 = 7-28, 0-20 x 0-15 = 8-12, 0-20 x 0-16 = 8-32, 0-20 x 0-17 = 9-16, 0-20 x 0-18 = 10-0, 0-20 x 0-19 = 10-20, 0-20 x 0-20 = 11-4, 0-20 x 0-21 = 11-24, 0-20 x 0-22 = 12-8, 0-20 x 0-23 = 12-28, 0-20 x 0-24 = 13-12, 0-20 x 0-25 = 13-32, 0-20 x 0-26 = 14-16, 0-20 x 0-27 = 15-0, 0-20 x 0-28 = 15-20, 0-20 x 0-29 = 16-4, 0-20 x 0-30 = 16-24, 0-20 x 0-31 = 17-8, 0-20 x 0-32 = 17-28, 0-20 x 0-33 = 18-12, 0-20 x 0-34 = 18-32, 0-20 x 0-35 = 19-16, 
