0-1 x 0-1 = 0-1, 0-1 x 0-2 = 0-2, 0-1 x 0-3 = 0-3, 0-1 x 0-4 = 0-4, 0-1 x 0-5 = 0-5, 0-1 x 0-6 = 0-6, 0-1 x 0-7 = 0-7, 0-1 x 0-8 = 0-8, 0-1 x 0-9 = 0-9, 0-1 x 0-10 = 0-10, 0-1 x 0-11 = 0-11, 0-1 x 0-12 = 0-12, 0-1 x 0-13 = 0-13, 0-1 x 0-14 = 0-14, 0-1 x 0-15 = 0-15, 0-1 x 0-16 = 0-16, 0-1 x 0-17 = 0-17, 0-1 x 0-18 = 0-18, 0-1 x 0-19 = 0-19, 0-1 x 0-20 = 0-20, 0-1 x 0-21 = 0-21, 0-1 x 0-22 = 0-22, 0-1 x 0-23 = 0-23, 0-1 x 0-24 = 0-24, 0-1 x 0-25 = 0-25, 0-1 x 0-26 = 0-26, 0-1 x 0-27 = 0-27, 0-1 x 0-28 = 0-28, 0-1 x 0-29 = 0-29, 0-1 x 0-30 = 0-30, 0-1 x 0-31 = 0-31, 0-1 x 0-32 = 0-32, 0-1 x 0-33 = 0-33, 0-1 x 0-34 = 0-34, 0-1 x 0-35 = 0-35, 0-1 x 0-36 = 0-36, 0-1 x 0-37 = 0-37, 0-1 x 0-38 = 0-38, 0-1 x 0-39 = 0-39, 0-1 x 0-40 = 0-40, 0-1 x 0-41 = 0-41, 0-1 x 0-42 = 0-42, 0-1 x 0-43 = 0-43, 0-1 x 0-44 = 0-44, 0-1 x 0-45 = 0-45, 0-1 x 0-46 = 0-46, 0-1 x 0-47 = 0-47, 0-1 x 0-48 = 0-48, 
0-2 x 0-1 = 0-2, 0-2 x 0-2 = 0-4, 0-2 x 0-3 = 0-6, 0-2 x 0-4 = 0-8, 0-2 x 0-5 = 0-10, 0-2 x 0-6 = 0-12, 0-2 x 0-7 = 0-14, 0-2 x 0-8 = 0-16, 0-2 x 0-9 = 0-18, 0-2 x 0-10 = 0-20, 0-2 x 0-11 = 0-22, 0-2 x 0-12 = 0-24, 0-2 x 0-13 = 0-26, 0-2 x 0-14 = 0-28, 0-2 x 0-15 = 0-30, 0-2 x 0-16 = 0-32, 0-2 x 0-17 = 0-34, 0-2 x 0-18 = 0-36, 0-2 x 0-19 = 0-38, 0-2 x 0-20 = 0-40, 0-2 x 0-21 = 0-42, 0-2 x 0-22 = 0-44, 0-2 x 0-23 = 0-46, 0-2 x 0-24 = 0-48, 0-2 x 0-25 = 1-1, 0-2 x 0-26 = 1-3, 0-2 x 0-27 = 1-5, 0-2 x 0-28 = 1-7, 0-2 x 0-29 = 1-9, 0-2 x 0-30 = 1-11, 0-2 x 0-31 = 1-13, 0-2 x 0-32 = 1-15, 0-2 x 0-33 = 1-17, 0-2 x 0-34 = 1-19, 0-2 x 0-35 = 1-21, 0-2 x 0-36 = 1-23, 0-2 x 0-37 = 1-25, 0-2 x 0-38 = 1-27, 0-2 x 0-39 = 1-29, 0-2 x 0-40 = 1-31, 0-2 x 0-41 = 1-33, 0-2 x 0-42 = 1-35, 0-2 x 0-43 = 1-37, 0-2 x 0-44 = 1-39, 0-2 x 0-45 = 1-41, 0-2 x 0-46 = 1-43, 0-2 x 0-47 = 1-45, 0-2 x 0-48 = 1-47, 
0-3 x 0-1 = 0-3, 0-3 x 0-2 = 0-6, 0-3 x 0-3 = 0-9, 0-3 x 0-4 = 0-12, 0-3 x 0-5 = 0-15, 0-3 x 0-6 = 0-18, 0-3 x 0-7 = 0-21, 0-3 x 0-8 = 0-24, 0-3 x 0-9 = 0-27, 0-3 x 0-10 = 0-30, 0-3 x 0-11 = 0-33, 0-3 x 0-12 = 0-36, 0-3 x 0-13 = 0-39, 0-3 x 0-14 = 0-42, 0-3 x 0-15 = 0-45, 0-3 x 0-16 = 0-48, 0-3 x 0-17 = 1-2, 0-3 x 0-18 = 1-5, 0-3 x 0-19 = 1-8, 0-3 x 0-20 = 1-11, 0-3 x 0-21 = 1-14, 0-3 x 0-22 = 1-17, 0-3 x 0-23 = 1-20, 0-3 x 0-24 = 1-23, 0-3 x 0-25 = 1-26, 0-3 x 0-26 = 1-29, 0-3 x 0-27 = 1-32, 0-3 x 0-28 = 1-35, 0-3 x 0-29 = 1-38, 0-3 x 0-30 = 1-41, 0-3 x 0-31 = 1-44, 0-3 x 0-32 = 1-47, 0-3 x 0-33 = 2-1, 0-3 x 0-34 = 2-4, 0-3 x 0-35 = 2-7, 0-3 x 0-36 = 2-10, 0-3 x 0-37 = 2-13, 0-3 x 0-38 = 2-16, 0-3 x 0-39 = 2-19, 0-3 x 0-40 = 2-22, 0-3 x 0-41 = 2-25, 0-3 x 0-42 = 2-28, 0-3 x 0-43 = 2-31, 0-3 x 0-44 = 2-34, 0-3 x 0-45 = 2-37, 0-3 x 0-46 = 2-40, 0-3 x 0-47 = 2-43, 0-3 x 0-48 = 2-46, 
0-4 x 0-1 = 0-4, 0-4 x 0-2 = 0-8, 0-4 x 0-3 = 0-12, 0-4 x 0-4 = 0-16, 0-4 x 0-5 = 0-20, 0-4 x 0-6 = 0-24, 0-4 x 0-7 = 0-28, 0-4 x 0-8 = 0-32, 0-4 x 0-9 = 0-36, 0-4 x 0-10 = 0-40, 0-4 x 0-11 = 0-44, 0-4 x 0-12 = 0-48, 0-4 x 0-13 = 1-3, 0-4 x 0-14 = 1-7, 0-4 x 0-15 = 1-11, 0-4 x 0-16 = 1-15, 0-4 x 0-17 = 1-19, 0-4 x 0-18 = 1-23, 0-4 x 0-19 = 1-27, 0-4 x 0-20 = 1-31, 0-4 x 0-21 = 1-35, 0-4 x 0-22 = 1-39, 0-4 x 0-23 = 1-43, 0-4 x 0-24 = 1-47, 0-4 x 0-25 = 2-2, 0-4 x 0-26 = 2-6, 0-4 x 0-27 = 2-10, 0-4 x 0-28 = 2-14, 0-4 x 0-29 = 2-18, 0-4 x 0-30 = 2-22, 0-4 x 0-31 = 2-26, 0-4 x 0-32 = 2-30, 0-4 x 0-33 = 2-34, 0-4 x 0-34 = 2-38, 0-4 x 0-35 = 2-42, 0-4 x 0-36 = 2-46, 0-4 x 0-37 = 3-1, 0-4 x 0-38 = 3-5, 0-4 x 0-39 = 3-9, 0-4 x 0-40 = 3-13, 0-4 x 0-41 = 3-17, 0-4 x 0-42 = 3-21, 0-4 x 0-43 = 3-25, 0-4 x 0-44 = 3-29, 0-4 x 0-45 = 3-33, 0-4 x 0-46 = 3-37, 0-4 x 0-47 = 3-41, 0-4 x 0-48 = 3-45, 
0-5 x 0-1 = 0-5, 0-5 x 0-2 = 0-10, 0-5 x 0-3 = 0-15, 0-5 x 0-4 = 0-20, 0-5 x 0-5 = 0-25, 0-5 x 0-6 = 0-30, 0-5 x 0-7 = 0-35, 0-5 x 0-8 = 0-40, 0-5 x 0-9 = 0-45, 0-5 x 0-10 = 1-1, 0-5 x 0-11 = 1-6, 0-5 x 0-12 = 1-11, 0-5 x 0-13 = 1-16, 0-5 x 0-14 = 1-21, 0-5 x 0-15 = 1-26, 0-5 x 0-16 = 1-31, 0-5 x 0-17 = 1-36, 0-5 x 0-18 = 1-41, 0-5 x 0-19 = 1-46, 0-5 x 0-20 = 2-2, 0-5 x 0-21 = 2-7, 0-5 x 0-22 = 2-12, 0-5 x 0-23 = 2-17, 0-5 x 0-24 = 2-22, 0-5 x 0-25 = 2-27, 0-5 x 0-26 = 2-32, 0-5 x 0-27 = 2-37, 0-5 x 0-28 = 2-42, 0-5 x 0-29 = 2-47, 0-5 x 0-30 = 3-3, 0-5 x 0-31 = 3-8, 0-5 x 0-32 = 3-13, 0-5 x 0-33 = 3-18, 0-5 x 0-34 = 3-23, 0-5 x 0-35 = 3-28, 0-5 x 0-36 = 3-33, 0-5 x 0-37 = 3-38, 0-5 x 0-38 = 3-43, 0-5 x 0-39 = 3-48, 0-5 x 0-40 = 4-4, 0-5 x 0-41 = 4-9, 0-5 x 0-42 = 4-14, 0-5 x 0-43 = 4-19, 0-5 x 0-44 = 4-24, 0-5 x 0-45 = 4-29, 0-5 x 0-46 = 4-34, 0-5 x 0-47 = 4-39, 0-5 x 0-48 = 4-44, 
0-6 x 0-1 = 0-6, 0-6 x 0-2 = 0-12, 0-6 x 0-3 = 0-18, 0-6 x 0-4 = 0-24, 0-6 x 0-5 = 0-30, 0-6 x 0-6 = 0-36, 0-6 x 0-7 = 0-42, 0-6 x 0-8 = 0-48, 0-6 x 0-9 = 1-5, 0-6 x 0-10 = 1-11, 0-6 x 0-11 = 1-17, 0-6 x 0-12 = 1-23, 0-6 x 0-13 = 1-29, 0-6 x 0-14 = 1-35, 0-6 x 0-15 = 1-41, 0-6 x 0-16 = 1-47, 0-6 x 0-17 = 2-4, 0-6 x 0-18 = 2-10, 0-6 x 0-19 = 2-16, 0-6 x 0-20 = 2-22, 0-6 x 0-21 = 2-28, 0-6 x 0-22 = 2-34, 0-6 x 0-23 = 2-40, 0-6 x 0-24 = 2-46, 0-6 x 0-25 = 3-3, 0-6 x 0-26 = 3-9, 0-6 x 0-27 = 3-15, 0-6 x 0-28 = 3-21, 0-6 x 0-29 = 3-27, 0-6 x 0-30 = 3-33, 0-6 x 0-31 = 3-39, 0-6 x 0-32 = 3-45, 0-6 x 0-33 = 4-2, 0-6 x 0-34 = 4-8, 0-6 x 0-35 = 4-14, 0-6 x 0-36 = 4-20, 0-6 x 0-37 = 4-26, 0-6 x 0-38 = 4-32, 0-6 x 0-39 = 4-38, 0-6 x 0-40 = 4-44, 0-6 x 0-41 = 5-1, 0-6 x 0-42 = 5-7, 0-6 x 0-43 = 5-13, 0-6 x 0-44 = 5-19, 0-6 x 0-45 = 5-25, 0-6 x 0-46 = 5-31, 0-6 x 0-47 = 5-37, 0-6 x 0-48 = 5-43, 
0-7 x 0-1 = 0-7, 0-7 x 0-2 = 0-14, 0-7 x 0-3 = 0-21, 0-7 x 0-4 = 0-28, 0-7 x 0-5 = 0-35, 0-7 x 0-6 = 0-42, 0-7 x 0-7 = 1-0, 0-7 x 0-8 = 1-7, 0-7 x 0-9 = 1-14, 0-7 x 0-10 = 1-21, 0-7 x 0-11 = 1-28, 0-7 x 0-12 = 1-35, 0-7 x 0-13 = 1-42, 0-7 x 0-14 = 2-0, 0-7 x 0-15 = 2-7, 0-7 x 0-16 = 2-14, 0-7 x 0-17 = 2-21, 0-7 x 0-18 = 2-28, 0-7 x 0-19 = 2-35, 0-7 x 0-20 = 2-42, 0-7 x 0-21 = 3-0, 0-7 x 0-22 = 3-7, 0-7 x 0-23 = 3-14, 0-7 x 0-24 = 3-21, 0-7 x 0-25 = 3-28, 0-7 x 0-26 = 3-35, 0-7 x 0-27 = 3-42, 0-7 x 0-28 = 4-0, 0-7 x 0-29 = 4-7, 0-7 x 0-30 = 4-14, 0-7 x 0-31 = 4-21, 0-7 x 0-32 = 4-28, 0-7 x 0-33 = 4-35, 0-7 x 0-34 = 4-42, 0-7 x 0-35 = 5-0, 0-7 x 0-36 = 5-7, 0-7 x 0-37 = 5-14, 0-7 x 0-38 = 5-21, 0-7 x 0-39 = 5-28, 0-7 x 0-40 = 5-35, 0-7 x 0-41 = 5-42, 0-7 x 0-42 = 6-0, 0-7 x 0-43 = 6-7, 0-7 x 0-44 = 6-14, 0-7 x 0-45 = 6-21, 0-7 x 0-46 = 6-28, 0-7 x 0-47 = 6-35, 0-7 x 0-48 = 6-42, 
0-8 x 0-1 = 0-8, 0-8 x 0-2 = 0-16, 0-8 x 0-3 = 0-24, 0-8 x 0-4 = 0-32, 0-8 x 0-5 = 0-40, 0-8 x 0-6 = 0-48, 0-8 x 0-7 = 1-7, 0-8 x 0-8 = 1-15, 0-8 x 0-9 = 1-23, 0-8 x 0-10 = 1-31, 0-8 x 0-11 = 1-39, 0-8 x 0-12 = 1-47, 0-8 x 0-13 = 2-6, 0-8 x 0-14 = 2-14, 0-8 x 0-15 = 2-22, 0-8 x 0-16 = 2-30, 0-8 x 0-17 = 2-38, 0-8 x 0-18 = 2-46, 0-8 x 0-19 = 3-5, 0-8 x 0-20 = 3-13, 0-8 x 0-21 = 3-21, 0-8 x 0-22 = 3-29, 0-8 x 0-23 = 3-37, 0-8 x 0-24 = 3-45, 0-8 x 0-25 = 4-4, 0-8 x 0-26 = 4-12, 0-8 x 0-27 = 4-20, 0-8 x 0-28 = 4-28, 0-8 x 0-29 = 4-36, 0-8 x 0-30 = 4-44, 0-8 x 0-31 = 5-3, 0-8 x 0-32 = 5-11, 0-8 x 0-33 = 5-19, 0-8 x 0-34 = 5-27, 0-8 x 0-35 = 5-35, 0-8 x 0-36 = 5-43, 0-8 x 0-37 = 6-2, 0-8 x 0-38 = 6-10, 0-8 x 0-39 = 6-18, 0-8 x 0-40 = 6-26, 0-8 x 0-41 = 6-34, 0-8 x 0-42 = 6-42, 0-8 x 0-43 = 7-1, 0-8 x 0-44 = 7-9, 0-8 x 0-45 = 7-17, 0-8 x 0-46 = 7-25, 0-8 x 0-47 = 7-33, 0-8 x 0-48 = 7-41, 
0-9 x 0-1 = 0-9, 0-9 x 0-2 = 0-18, 0-9 x 0-3 = 0-27, 0-9 x 0-4 = 0-36, 0-9 x 0-5 = 0-45, 0-9 x 0-6 = 1-5, 0-9 x 0-7 = 1-14, 0-9 x 0-8 = 1-23, 0-9 x 0-9 = 1-32, 0-9 x 0-10 = 1-41, 0-9 x 0-11 = 2-1, 0-9 x 0-12 = 2-10, 0-9 x 0-13 = 2-19, 0-9 x 0-14 = 2-28, 0-9 x 0-15 = 2-37, 0-9 x 0-16 = 2-46, 0-9 x 0-17 = 3-6, 0-9 x 0-18 = 3-15, 0-9 x 0-19 = 3-24, 0-9 x 0-20 = 3-33, 0-9 x 0-21 = 3-42, 0-9 x 0-22 = 4-2, 0-9 x 0-23 = 4-11, 0-9 x 0-24 = 4-20, 0-9 x 0-25 = 4-29, 0-9 x 0-26 = 4-38, 0-9 x 0-27 = 4-47, 0-9 x 0-28 = 5-7, 0-9 x 0-29 = 5-16, 0-9 x 0-30 = 5-25, 0-9 x 0-31 = 5-34, 0-9 x 0-32 = 5-43, 0-9 x 0-33 = 6-3, 0-9 x 0-34 = 6-12, 0-9 x 0-35 = 6-21, 0-9 x 0-36 = 6-30, 0-9 x 0-37 = 6-39, 0-9 x 0-38 = 6-48, 0-9 x 0-39 = 7-8, 0-9 x 0-40 = 7-17, 0-9 x 0-41 = 7-26, 0-9 x 0-42 = 7-35, 0-9 x 0-43 = 7-44, 0-9 x 0-44 = 8-4, 0-9 x 0-45 = 8-13, 0-9 x 0-46 = 8-22, 0-9 x 0-47 = 8-31, 0-9 x 0-48 = 8-40, 
0-10 x 0-1 = 0-10, 0-10 x 0-2 = 0-20, 0-10 x 0-3 = 0-30, 0-10 x 0-4 = 0-40, 0-10 x 0-5 = 1-1, 0-10 x 0-6 = 1-11, 0-10 x 0-7 = 1-21, 0-10 x 0-8 = 1-31, 0-10 x 0-9 = 1-41, 0-10 x 0-10 = 2-2, 0-10 x 0-11 = 2-12, 0-10 x 0-12 = 2-22, 0-10 x 0-13 = 2-32, 0-10 x 0-14 = 2-42, 0-10 x 0-15 = 3-3, 0-10 x 0-16 = 3-13, 0-10 x 0-17 = 3-23, 0-10 x 0-18 = 3-33, 0-10 x 0-19 = 3-43, 0-10 x 0-20 = 4-4, 0-10 x 0-21 = 4-14, 0-10 x 0-22 = 4-24, 0-10 x 0-23 = 4-34, 0-10 x 0-24 = 4-44, 0-10 x 0-25 = 5-5, 0-10 x 0-26 = 5-15, 0-10 x 0-27 = 5-25, 0-10 x 0-28 = 5-35, 0-10 x 0-29 = 5-45, 0-10 x 0-30 = 6-6, 0-10 x 0-31 = 6-16, 0-10 x 0-32 = 6-26, 0-10 x 0-33 = 6-36, 0-10 x 0-34 = 6-46, 0-10 x 0-35 = 7-7, 0-10 x 0-36 = 7-17, 0-10 x 0-37 = 7-27, 0-10 x 0-38 = 7-37, 0-10 x 0-39 = 7-47, 0-10 x 0-40 = 8-8, 0-10 x 0-41 = 8-18, 0-10 x 0-42 = 8-28, 0-10 x 0-43 = 8-38, 0-10 x 0-44 = 8-48, 0-10 x 0-45 = 9-9, 0-10 x 0-46 = 9-19, 0-10 x 0-47 = 9-29, 0-10 x 0-48 = 9-39, 
