0-11 x 0-1 = 0-11, 0-11 x 0-2 = 1-1, 0-11 x 0-3 = 1-12, 0-11 x 0-4 = 2-2, 0-11 x 0-5 = 2-13, 0-11 x 0-6 = 3-3, 0-11 x 0-7 = 3-14, 0-11 x 0-8 = 4-4, 0-11 x 0-9 = 4-15, 0-11 x 0-10 = 5-5, 0-11 x 0-11 = 5-16, 0-11 x 0-12 = 6-6, 0-11 x 0-13 = 6-17, 0-11 x 0-14 = 7-7, 0-11 x 0-15 = 7-18, 0-11 x 0-16 = 8-8, 0-11 x 0-17 = 8-19, 0-11 x 0-18 = 9-9, 0-11 x 0-19 = 9-20, 0-11 x 0-20 = 10-10, 
0-12 x 0-1 = 0-12, 0-12 x 0-2 = 1-3, 0-12 x 0-3 = 1-15, 0-12 x 0-4 = 2-6, 0-12 x 0-5 = 2-18, 0-12 x 0-6 = 3-9, 0-12 x 0-7 = 4-0, 0-12 x 0-8 = 4-12, 0-12 x 0-9 = 5-3, 0-12 x 0-10 = 5-15, 0-12 x 0-11 = 6-6, 0-12 x 0-12 = 6-18, 0-12 x 0-13 = 7-9, 0-12 x 0-14 = 8-0, 0-12 x 0-15 = 8-12, 0-12 x 0-16 = 9-3, 0-12 x 0-17 = 9-15, 0-12 x 0-18 = 10-6, 0-12 x 0-19 = 10-18, 0-12 x 0-20 = 11-9, 
0-13 x 0-1 = 0-13, 0-13 x 0-2 = 1-5, 0-13 x 0-3 = 1-18, 0-13 x 0-4 = 2-10, 0-13 x 0-5 = 3-2, 0-13 x 0-6 = 3-15, 0-13 x 0-7 = 4-7, 0-13 x 0-8 = 4-20, 0-13 x 0-9 = 5-12, 0-13 x 0-10 = 6-4, 0-13 x 0-11 = 6-17, 0-13 x 0-12 = 7-9, 0-13 x 0-13 = 8-1, 0-13 x 0-14 = 8-14, 0-13 x 0-15 = 9-6, 0-13 x 0-16 = 9-19, 0-13 x 0-17 = 10-11, 0-13 x 0-18 = 11-3, 0-13 x 0-19 = 11-16, 0-13 x 0-20 = 12-8, 
0-14 x 0-1 = 0-14, 0-14 x 0-2 = 1-7, 0-14 x 0-3 = 2-0, 0-14 x 0-4 = 2-14, 0-14 x 0-5 = 3-7, 0-14 x 0-6 = 4-0, 0-14 x 0-7 = 4-14, 0-14 x 0-8 = 5-7, 0-14 x 0-9 = 6-0, 0-14 x 0-10 = 6-14, 0-14 x 0-11 = 7-7, 0-14 x 0-12 = 8-0, 0-14 x 0-13 = 8-14, 0-14 x 0-14 = 9-7, 0-14 x 0-15 = 10-0, 0-14 x 0-16 = 10-14, 0-14 x 0-17 = 11-7, 0-14 x 0-18 = 12-0, 0-14 x 0-19 = 12-14, 0-14 x 0-20 = 13-7, 
0-15 x 0-1 = 0-15, 0-15 x 0-2 = 1-9, 0-15 x 0-3 = 2-3, 0-15 x 0-4 = 2-18, 0-15 x 0-5 = 3-12, 0-15 x 0-6 = 4-6, 0-15 x 0-7 = 5-0, 0-15 x 0-8 = 5-15, 0-15 x 0-9 = 6-9, 0-15 x 0-10 = 7-3, 0-15 x 0-11 = 7-18, 0-15 x 0-12 = 8-12, 0-15 x 0-13 = 9-6, 0-15 x 0-14 = 10-0, 0-15 x 0-15 = 10-15, 0-15 x 0-16 = 11-9, 0-15 x 0-17 = 12-3, 0-15 x 0-18 = 12-18, 0-15 x 0-19 = 13-12, 0-15 x 0-20 = 14-6, 
0-16 x 0-1 = 0-16, 0-16 x 0-2 = 1-11, 0-16 x 0-3 = 2-6, 0-16 x 0-4 = 3-1, 0-16 x 0-5 = 3-17, 0-16 x 0-6 = 4-12, 0-16 x 0-7 = 5-7, 0-16 x 0-8 = 6-2, 0-16 x 0-9 = 6-18, 0-16 x 0-10 = 7-13, 0-16 x 0-11 = 8-8, 0-16 x 0-12 = 9-3, 0-16 x 0-13 = 9-19, 0-16 x 0-14 = 10-14, 0-16 x 0-15 = 11-9, 0-16 x 0-16 = 12-4, 0-16 x 0-17 = 12-20, 0-16 x 0-18 = 13-15, 0-16 x 0-19 = 14-10, 0-16 x 0-20 = 15-5, 
0-17 x 0-1 = 0-17, 0-17 x 0-2 = 1-13, 0-17 x 0-3 = 2-9, 0-17 x 0-4 = 3-5, 0-17 x 0-5 = 4-1, 0-17 x 0-6 = 4-18, 0-17 x 0-7 = 5-14, 0-17 x 0-8 = 6-10, 0-17 x 0-9 = 7-6, 0-17 x 0-10 = 8-2, 0-17 x 0-11 = 8-19, 0-17 x 0-12 = 9-15, 0-17 x 0-13 = 10-11, 0-17 x 0-14 = 11-7, 0-17 x 0-15 = 12-3, 0-17 x 0-16 = 12-20, 0-17 x 0-17 = 13-16, 0-17 x 0-18 = 14-12, 0-17 x 0-19 = 15-8, 0-17 x 0-20 = 16-4, 
0-18 x 0-1 = 0-18, 0-18 x 0-2 = 1-15, 0-18 x 0-3 = 2-12, 0-18 x 0-4 = 3-9, 0-18 x 0-5 = 4-6, 0-18 x 0-6 = 5-3, 0-18 x 0-7 = 6-0, 0-18 x 0-8 = 6-18, 0-18 x 0-9 = 7-15, 0-18 x 0-10 = 8-12, 0-18 x 0-11 = 9-9, 0-18 x 0-12 = 10-6, 0-18 x 0-13 = 11-3, 0-18 x 0-14 = 12-0, 0-18 x 0-15 = 12-18, 0-18 x 0-16 = 13-15, 0-18 x 0-17 = 14-12, 0-18 x 0-18 = 15-9, 0-18 x 0-19 = 16-6, 0-18 x 0-20 = 17-3, 
0-19 x 0-1 = 0-19, 0-19 x 0-2 = 1-17, 0-19 x 0-3 = 2-15, 0-19 x 0-4 = 3-13, 0-19 x 0-5 = 4-11, 0-19 x 0-6 = 5-9, 0-19 x 0-7 = 6-7, 0-19 x 0-8 = 7-5, 0-19 x 0-9 = 8-3, 0-19 x 0-10 = 9-1, 0-19 x 0-11 = 9-20, 0-19 x 0-12 = 10-18, 0-19 x 0-13 = 11-16, 0-19 x 0-14 = 12-14, 0-19 x 0-15 = 13-12, 0-19 x 0-16 = 14-10, 0-19 x 0-17 = 15-8, 0-19 x 0-18 = 16-6, 0-19 x 0-19 = 17-4, 0-19 x 0-20 = 18-2, 
0-20 x 0-1 = 0-20, 0-20 x 0-2 = 1-19, 0-20 x 0-3 = 2-18, 0-20 x 0-4 = 3-17, 0-20 x 0-5 = 4-16, 0-20 x 0-6 = 5-15, 0-20 x 0-7 = 6-14, 0-20 x 0-8 = 7-13, 0-20 x 0-9 = 8-12, 0-20 x 0-10 = 9-11, 0-20 x 0-11 = 10-10, 0-20 x 0-12 = 11-9, 0-20 x 0-13 = 12-8, 0-20 x 0-14 = 13-7, 0-20 x 0-15 = 14-6, 0-20 x 0-16 = 15-5, 0-20 x 0-17 = 16-4, 0-20 x 0-18 = 17-3, 0-20 x 0-19 = 18-2, 0-20 x 0-20 = 19-1, 
