0-11 x 0-1 = 0-11, 0-11 x 0-2 = 0-22, 0-11 x 0-3 = 1-1, 0-11 x 0-4 = 1-12, 0-11 x 0-5 = 1-23, 0-11 x 0-6 = 2-2, 0-11 x 0-7 = 2-13, 0-11 x 0-8 = 2-24, 0-11 x 0-9 = 3-3, 0-11 x 0-10 = 3-14, 0-11 x 0-11 = 3-25, 0-11 x 0-12 = 4-4, 0-11 x 0-13 = 4-15, 0-11 x 0-14 = 4-26, 0-11 x 0-15 = 5-5, 0-11 x 0-16 = 5-16, 0-11 x 0-17 = 5-27, 0-11 x 0-18 = 6-6, 0-11 x 0-19 = 6-17, 0-11 x 0-20 = 6-28, 0-11 x 0-21 = 7-7, 0-11 x 0-22 = 7-18, 0-11 x 0-23 = 7-29, 0-11 x 0-24 = 8-8, 0-11 x 0-25 = 8-19, 0-11 x 0-26 = 8-30, 0-11 x 0-27 = 9-9, 0-11 x 0-28 = 9-20, 0-11 x 0-29 = 9-31, 0-11 x 0-30 = 10-10, 0-11 x 0-31 = 10-21, 
0-12 x 0-1 = 0-12, 0-12 x 0-2 = 0-24, 0-12 x 0-3 = 1-4, 0-12 x 0-4 = 1-16, 0-12 x 0-5 = 1-28, 0-12 x 0-6 = 2-8, 0-12 x 0-7 = 2-20, 0-12 x 0-8 = 3-0, 0-12 x 0-9 = 3-12, 0-12 x 0-10 = 3-24, 0-12 x 0-11 = 4-4, 0-12 x 0-12 = 4-16, 0-12 x 0-13 = 4-28, 0-12 x 0-14 = 5-8, 0-12 x 0-15 = 5-20, 0-12 x 0-16 = 6-0, 0-12 x 0-17 = 6-12, 0-12 x 0-18 = 6-24, 0-12 x 0-19 = 7-4, 0-12 x 0-20 = 7-16, 0-12 x 0-21 = 7-28, 0-12 x 0-22 = 8-8, 0-12 x 0-23 = 8-20, 0-12 x 0-24 = 9-0, 0-12 x 0-25 = 9-12, 0-12 x 0-26 = 9-24, 0-12 x 0-27 = 10-4, 0-12 x 0-28 = 10-16, 0-12 x 0-29 = 10-28, 0-12 x 0-30 = 11-8, 0-12 x 0-31 = 11-20, 
0-13 x 0-1 = 0-13, 0-13 x 0-2 = 0-26, 0-13 x 0-3 = 1-7, 0-13 x 0-4 = 1-20, 0-13 x 0-5 = 2-1, 0-13 x 0-6 = 2-14, 0-13 x 0-7 = 2-27, 0-13 x 0-8 = 3-8, 0-13 x 0-9 = 3-21, 0-13 x 0-10 = 4-2, 0-13 x 0-11 = 4-15, 0-13 x 0-12 = 4-28, 0-13 x 0-13 = 5-9, 0-13 x 0-14 = 5-22, 0-13 x 0-15 = 6-3, 0-13 x 0-16 = 6-16, 0-13 x 0-17 = 6-29, 0-13 x 0-18 = 7-10, 0-13 x 0-19 = 7-23, 0-13 x 0-20 = 8-4, 0-13 x 0-21 = 8-17, 0-13 x 0-22 = 8-30, 0-13 x 0-23 = 9-11, 0-13 x 0-24 = 9-24, 0-13 x 0-25 = 10-5, 0-13 x 0-26 = 10-18, 0-13 x 0-27 = 10-31, 0-13 x 0-28 = 11-12, 0-13 x 0-29 = 11-25, 0-13 x 0-30 = 12-6, 0-13 x 0-31 = 12-19, 
0-14 x 0-1 = 0-14, 0-14 x 0-2 = 0-28, 0-14 x 0-3 = 1-10, 0-14 x 0-4 = 1-24, 0-14 x 0-5 = 2-6, 0-14 x 0-6 = 2-20, 0-14 x 0-7 = 3-2, 0-14 x 0-8 = 3-16, 0-14 x 0-9 = 3-30, 0-14 x 0-10 = 4-12, 0-14 x 0-11 = 4-26, 0-14 x 0-12 = 5-8, 0-14 x 0-13 = 5-22, 0-14 x 0-14 = 6-4, 0-14 x 0-15 = 6-18, 0-14 x 0-16 = 7-0, 0-14 x 0-17 = 7-14, 0-14 x 0-18 = 7-28, 0-14 x 0-19 = 8-10, 0-14 x 0-20 = 8-24, 0-14 x 0-21 = 9-6, 0-14 x 0-22 = 9-20, 0-14 x 0-23 = 10-2, 0-14 x 0-24 = 10-16, 0-14 x 0-25 = 10-30, 0-14 x 0-26 = 11-12, 0-14 x 0-27 = 11-26, 0-14 x 0-28 = 12-8, 0-14 x 0-29 = 12-22, 0-14 x 0-30 = 13-4, 0-14 x 0-31 = 13-18, 
0-15 x 0-1 = 0-15, 0-15 x 0-2 = 0-30, 0-15 x 0-3 = 1-13, 0-15 x 0-4 = 1-28, 0-15 x 0-5 = 2-11, 0-15 x 0-6 = 2-26, 0-15 x 0-7 = 3-9, 0-15 x 0-8 = 3-24, 0-15 x 0-9 = 4-7, 0-15 x 0-10 = 4-22, 0-15 x 0-11 = 5-5, 0-15 x 0-12 = 5-20, 0-15 x 0-13 = 6-3, 0-15 x 0-14 = 6-18, 0-15 x 0-15 = 7-1, 0-15 x 0-16 = 7-16, 0-15 x 0-17 = 7-31, 0-15 x 0-18 = 8-14, 0-15 x 0-19 = 8-29, 0-15 x 0-20 = 9-12, 0-15 x 0-21 = 9-27, 0-15 x 0-22 = 10-10, 0-15 x 0-23 = 10-25, 0-15 x 0-24 = 11-8, 0-15 x 0-25 = 11-23, 0-15 x 0-26 = 12-6, 0-15 x 0-27 = 12-21, 0-15 x 0-28 = 13-4, 0-15 x 0-29 = 13-19, 0-15 x 0-30 = 14-2, 0-15 x 0-31 = 14-17, 
0-16 x 0-1 = 0-16, 0-16 x 0-2 = 1-0, 0-16 x 0-3 = 1-16, 0-16 x 0-4 = 2-0, 0-16 x 0-5 = 2-16, 0-16 x 0-6 = 3-0, 0-16 x 0-7 = 3-16, 0-16 x 0-8 = 4-0, 0-16 x 0-9 = 4-16, 0-16 x 0-10 = 5-0, 0-16 x 0-11 = 5-16, 0-16 x 0-12 = 6-0, 0-16 x 0-13 = 6-16, 0-16 x 0-14 = 7-0, 0-16 x 0-15 = 7-16, 0-16 x 0-16 = 8-0, 0-16 x 0-17 = 8-16, 0-16 x 0-18 = 9-0, 0-16 x 0-19 = 9-16, 0-16 x 0-20 = 10-0, 0-16 x 0-21 = 10-16, 0-16 x 0-22 = 11-0, 0-16 x 0-23 = 11-16, 0-16 x 0-24 = 12-0, 0-16 x 0-25 = 12-16, 0-16 x 0-26 = 13-0, 0-16 x 0-27 = 13-16, 0-16 x 0-28 = 14-0, 0-16 x 0-29 = 14-16, 0-16 x 0-30 = 15-0, 0-16 x 0-31 = 15-16, 
0-17 x 0-1 = 0-17, 0-17 x 0-2 = 1-2, 0-17 x 0-3 = 1-19, 0-17 x 0-4 = 2-4, 0-17 x 0-5 = 2-21, 0-17 x 0-6 = 3-6, 0-17 x 0-7 = 3-23, 0-17 x 0-8 = 4-8, 0-17 x 0-9 = 4-25, 0-17 x 0-10 = 5-10, 0-17 x 0-11 = 5-27, 0-17 x 0-12 = 6-12, 0-17 x 0-13 = 6-29, 0-17 x 0-14 = 7-14, 0-17 x 0-15 = 7-31, 0-17 x 0-16 = 8-16, 0-17 x 0-17 = 9-1, 0-17 x 0-18 = 9-18, 0-17 x 0-19 = 10-3, 0-17 x 0-20 = 10-20, 0-17 x 0-21 = 11-5, 0-17 x 0-22 = 11-22, 0-17 x 0-23 = 12-7, 0-17 x 0-24 = 12-24, 0-17 x 0-25 = 13-9, 0-17 x 0-26 = 13-26, 0-17 x 0-27 = 14-11, 0-17 x 0-28 = 14-28, 0-17 x 0-29 = 15-13, 0-17 x 0-30 = 15-30, 0-17 x 0-31 = 16-15, 
0-18 x 0-1 = 0-18, 0-18 x 0-2 = 1-4, 0-18 x 0-3 = 1-22, 0-18 x 0-4 = 2-8, 0-18 x 0-5 = 2-26, 0-18 x 0-6 = 3-12, 0-18 x 0-7 = 3-30, 0-18 x 0-8 = 4-16, 0-18 x 0-9 = 5-2, 0-18 x 0-10 = 5-20, 0-18 x 0-11 = 6-6, 0-18 x 0-12 = 6-24, 0-18 x 0-13 = 7-10, 0-18 x 0-14 = 7-28, 0-18 x 0-15 = 8-14, 0-18 x 0-16 = 9-0, 0-18 x 0-17 = 9-18, 0-18 x 0-18 = 10-4, 0-18 x 0-19 = 10-22, 0-18 x 0-20 = 11-8, 0-18 x 0-21 = 11-26, 0-18 x 0-22 = 12-12, 0-18 x 0-23 = 12-30, 0-18 x 0-24 = 13-16, 0-18 x 0-25 = 14-2, 0-18 x 0-26 = 14-20, 0-18 x 0-27 = 15-6, 0-18 x 0-28 = 15-24, 0-18 x 0-29 = 16-10, 0-18 x 0-30 = 16-28, 0-18 x 0-31 = 17-14, 
0-19 x 0-1 = 0-19, 0-19 x 0-2 = 1-6, 0-19 x 0-3 = 1-25, 0-19 x 0-4 = 2-12, 0-19 x 0-5 = 2-31, 0-19 x 0-6 = 3-18, 0-19 x 0-7 = 4-5, 0-19 x 0-8 = 4-24, 0-19 x 0-9 = 5-11, 0-19 x 0-10 = 5-30, 0-19 x 0-11 = 6-17, 0-19 x 0-12 = 7-4, 0-19 x 0-13 = 7-23, 0-19 x 0-14 = 8-10, 0-19 x 0-15 = 8-29, 0-19 x 0-16 = 9-16, 0-19 x 0-17 = 10-3, 0-19 x 0-18 = 10-22, 0-19 x 0-19 = 11-9, 0-19 x 0-20 = 11-28, 0-19 x 0-21 = 12-15, 0-19 x 0-22 = 13-2, 0-19 x 0-23 = 13-21, 0-19 x 0-24 = 14-8, 0-19 x 0-25 = 14-27, 0-19 x 0-26 = 15-14, 0-19 x 0-27 = 16-1, 0-19 x 0-28 = 16-20, 0-19 x 0-29 = 17-7, 0-19 x 0-30 = 17-26, 0-19 x 0-31 = 18-13, 
0-20 x 0-1 = 0-20, 0-20 x 0-2 = 1-8, 0-20 x 0-3 = 1-28, 0-20 x 0-4 = 2-16, 0-20 x 0-5 = 3-4, 0-20 x 0-6 = 3-24, 0-20 x 0-7 = 4-12, 0-20 x 0-8 = 5-0, 0-20 x 0-9 = 5-20, 0-20 x 0-10 = 6-8, 0-20 x 0-11 = 6-28, 0-20 x 0-12 = 7-16, 0-20 x 0-13 = 8-4, 0-20 x 0-14 = 8-24, 0-20 x 0-15 = 9-12, 0-20 x 0-16 = 10-0, 0-20 x 0-17 = 10-20, 0-20 x 0-18 = 11-8, 0-20 x 0-19 = 11-28, 0-20 x 0-20 = 12-16, 0-20 x 0-21 = 13-4, 0-20 x 0-22 = 13-24, 0-20 x 0-23 = 14-12, 0-20 x 0-24 = 15-0, 0-20 x 0-25 = 15-20, 0-20 x 0-26 = 16-8, 0-20 x 0-27 = 16-28, 0-20 x 0-28 = 17-16, 0-20 x 0-29 = 18-4, 0-20 x 0-30 = 18-24, 0-20 x 0-31 = 19-12, 
