11 x 1 = 0-11, 11 x 2 = 0-22, 11 x 3 = 0-33, 11 x 4 = 1-5, 11 x 5 = 1-16, 11 x 6 = 1-27, 11 x 7 = 1-38, 11 x 8 = 2-10, 11 x 9 = 2-21, 11 x 10 = 2-32, 11 x 11 = 3-4, 11 x 12 = 3-15, 11 x 13 = 3-26, 11 x 14 = 3-37, 11 x 15 = 4-9, 11 x 16 = 4-20, 11 x 17 = 4-31, 11 x 18 = 5-3, 11 x 19 = 5-14, 11 x 20 = 5-25, 11 x 21 = 5-36, 11 x 22 = 6-8, 11 x 23 = 6-19, 11 x 24 = 6-30, 11 x 25 = 7-2, 11 x 26 = 7-13, 11 x 27 = 7-24, 11 x 28 = 7-35, 11 x 29 = 8-7, 11 x 30 = 8-18, 11 x 31 = 8-29, 11 x 32 = 9-1, 11 x 33 = 9-12, 11 x 34 = 9-23, 11 x 35 = 9-34, 11 x 36 = 10-6, 11 x 37 = 10-17, 11 x 38 = 10-28, 
12 x 1 = 0-12, 12 x 2 = 0-24, 12 x 3 = 0-36, 12 x 4 = 1-9, 12 x 5 = 1-21, 12 x 6 = 1-33, 12 x 7 = 2-6, 12 x 8 = 2-18, 12 x 9 = 2-30, 12 x 10 = 3-3, 12 x 11 = 3-15, 12 x 12 = 3-27, 12 x 13 = 4-0, 12 x 14 = 4-12, 12 x 15 = 4-24, 12 x 16 = 4-36, 12 x 17 = 5-9, 12 x 18 = 5-21, 12 x 19 = 5-33, 12 x 20 = 6-6, 12 x 21 = 6-18, 12 x 22 = 6-30, 12 x 23 = 7-3, 12 x 24 = 7-15, 12 x 25 = 7-27, 12 x 26 = 8-0, 12 x 27 = 8-12, 12 x 28 = 8-24, 12 x 29 = 8-36, 12 x 30 = 9-9, 12 x 31 = 9-21, 12 x 32 = 9-33, 12 x 33 = 10-6, 12 x 34 = 10-18, 12 x 35 = 10-30, 12 x 36 = 11-3, 12 x 37 = 11-15, 12 x 38 = 11-27, 
13 x 1 = 0-13, 13 x 2 = 0-26, 13 x 3 = 1-0, 13 x 4 = 1-13, 13 x 5 = 1-26, 13 x 6 = 2-0, 13 x 7 = 2-13, 13 x 8 = 2-26, 13 x 9 = 3-0, 13 x 10 = 3-13, 13 x 11 = 3-26, 13 x 12 = 4-0, 13 x 13 = 4-13, 13 x 14 = 4-26, 13 x 15 = 5-0, 13 x 16 = 5-13, 13 x 17 = 5-26, 13 x 18 = 6-0, 13 x 19 = 6-13, 13 x 20 = 6-26, 13 x 21 = 7-0, 13 x 22 = 7-13, 13 x 23 = 7-26, 13 x 24 = 8-0, 13 x 25 = 8-13, 13 x 26 = 8-26, 13 x 27 = 9-0, 13 x 28 = 9-13, 13 x 29 = 9-26, 13 x 30 = 10-0, 13 x 31 = 10-13, 13 x 32 = 10-26, 13 x 33 = 11-0, 13 x 34 = 11-13, 13 x 35 = 11-26, 13 x 36 = 12-0, 13 x 37 = 12-13, 13 x 38 = 12-26, 
14 x 1 = 0-14, 14 x 2 = 0-28, 14 x 3 = 1-3, 14 x 4 = 1-17, 14 x 5 = 1-31, 14 x 6 = 2-6, 14 x 7 = 2-20, 14 x 8 = 2-34, 14 x 9 = 3-9, 14 x 10 = 3-23, 14 x 11 = 3-37, 14 x 12 = 4-12, 14 x 13 = 4-26, 14 x 14 = 5-1, 14 x 15 = 5-15, 14 x 16 = 5-29, 14 x 17 = 6-4, 14 x 18 = 6-18, 14 x 19 = 6-32, 14 x 20 = 7-7, 14 x 21 = 7-21, 14 x 22 = 7-35, 14 x 23 = 8-10, 14 x 24 = 8-24, 14 x 25 = 8-38, 14 x 26 = 9-13, 14 x 27 = 9-27, 14 x 28 = 10-2, 14 x 29 = 10-16, 14 x 30 = 10-30, 14 x 31 = 11-5, 14 x 32 = 11-19, 14 x 33 = 11-33, 14 x 34 = 12-8, 14 x 35 = 12-22, 14 x 36 = 12-36, 14 x 37 = 13-11, 14 x 38 = 13-25, 
15 x 1 = 0-15, 15 x 2 = 0-30, 15 x 3 = 1-6, 15 x 4 = 1-21, 15 x 5 = 1-36, 15 x 6 = 2-12, 15 x 7 = 2-27, 15 x 8 = 3-3, 15 x 9 = 3-18, 15 x 10 = 3-33, 15 x 11 = 4-9, 15 x 12 = 4-24, 15 x 13 = 5-0, 15 x 14 = 5-15, 15 x 15 = 5-30, 15 x 16 = 6-6, 15 x 17 = 6-21, 15 x 18 = 6-36, 15 x 19 = 7-12, 15 x 20 = 7-27, 15 x 21 = 8-3, 15 x 22 = 8-18, 15 x 23 = 8-33, 15 x 24 = 9-9, 15 x 25 = 9-24, 15 x 26 = 10-0, 15 x 27 = 10-15, 15 x 28 = 10-30, 15 x 29 = 11-6, 15 x 30 = 11-21, 15 x 31 = 11-36, 15 x 32 = 12-12, 15 x 33 = 12-27, 15 x 34 = 13-3, 15 x 35 = 13-18, 15 x 36 = 13-33, 15 x 37 = 14-9, 15 x 38 = 14-24, 
16 x 1 = 0-16, 16 x 2 = 0-32, 16 x 3 = 1-9, 16 x 4 = 1-25, 16 x 5 = 2-2, 16 x 6 = 2-18, 16 x 7 = 2-34, 16 x 8 = 3-11, 16 x 9 = 3-27, 16 x 10 = 4-4, 16 x 11 = 4-20, 16 x 12 = 4-36, 16 x 13 = 5-13, 16 x 14 = 5-29, 16 x 15 = 6-6, 16 x 16 = 6-22, 16 x 17 = 6-38, 16 x 18 = 7-15, 16 x 19 = 7-31, 16 x 20 = 8-8, 16 x 21 = 8-24, 16 x 22 = 9-1, 16 x 23 = 9-17, 16 x 24 = 9-33, 16 x 25 = 10-10, 16 x 26 = 10-26, 16 x 27 = 11-3, 16 x 28 = 11-19, 16 x 29 = 11-35, 16 x 30 = 12-12, 16 x 31 = 12-28, 16 x 32 = 13-5, 16 x 33 = 13-21, 16 x 34 = 13-37, 16 x 35 = 14-14, 16 x 36 = 14-30, 16 x 37 = 15-7, 16 x 38 = 15-23, 
17 x 1 = 0-17, 17 x 2 = 0-34, 17 x 3 = 1-12, 17 x 4 = 1-29, 17 x 5 = 2-7, 17 x 6 = 2-24, 17 x 7 = 3-2, 17 x 8 = 3-19, 17 x 9 = 3-36, 17 x 10 = 4-14, 17 x 11 = 4-31, 17 x 12 = 5-9, 17 x 13 = 5-26, 17 x 14 = 6-4, 17 x 15 = 6-21, 17 x 16 = 6-38, 17 x 17 = 7-16, 17 x 18 = 7-33, 17 x 19 = 8-11, 17 x 20 = 8-28, 17 x 21 = 9-6, 17 x 22 = 9-23, 17 x 23 = 10-1, 17 x 24 = 10-18, 17 x 25 = 10-35, 17 x 26 = 11-13, 17 x 27 = 11-30, 17 x 28 = 12-8, 17 x 29 = 12-25, 17 x 30 = 13-3, 17 x 31 = 13-20, 17 x 32 = 13-37, 17 x 33 = 14-15, 17 x 34 = 14-32, 17 x 35 = 15-10, 17 x 36 = 15-27, 17 x 37 = 16-5, 17 x 38 = 16-22, 
18 x 1 = 0-18, 18 x 2 = 0-36, 18 x 3 = 1-15, 18 x 4 = 1-33, 18 x 5 = 2-12, 18 x 6 = 2-30, 18 x 7 = 3-9, 18 x 8 = 3-27, 18 x 9 = 4-6, 18 x 10 = 4-24, 18 x 11 = 5-3, 18 x 12 = 5-21, 18 x 13 = 6-0, 18 x 14 = 6-18, 18 x 15 = 6-36, 18 x 16 = 7-15, 18 x 17 = 7-33, 18 x 18 = 8-12, 18 x 19 = 8-30, 18 x 20 = 9-9, 18 x 21 = 9-27, 18 x 22 = 10-6, 18 x 23 = 10-24, 18 x 24 = 11-3, 18 x 25 = 11-21, 18 x 26 = 12-0, 18 x 27 = 12-18, 18 x 28 = 12-36, 18 x 29 = 13-15, 18 x 30 = 13-33, 18 x 31 = 14-12, 18 x 32 = 14-30, 18 x 33 = 15-9, 18 x 34 = 15-27, 18 x 35 = 16-6, 18 x 36 = 16-24, 18 x 37 = 17-3, 18 x 38 = 17-21, 
19 x 1 = 0-19, 19 x 2 = 0-38, 19 x 3 = 1-18, 19 x 4 = 1-37, 19 x 5 = 2-17, 19 x 6 = 2-36, 19 x 7 = 3-16, 19 x 8 = 3-35, 19 x 9 = 4-15, 19 x 10 = 4-34, 19 x 11 = 5-14, 19 x 12 = 5-33, 19 x 13 = 6-13, 19 x 14 = 6-32, 19 x 15 = 7-12, 19 x 16 = 7-31, 19 x 17 = 8-11, 19 x 18 = 8-30, 19 x 19 = 9-10, 19 x 20 = 9-29, 19 x 21 = 10-9, 19 x 22 = 10-28, 19 x 23 = 11-8, 19 x 24 = 11-27, 19 x 25 = 12-7, 19 x 26 = 12-26, 19 x 27 = 13-6, 19 x 28 = 13-25, 19 x 29 = 14-5, 19 x 30 = 14-24, 19 x 31 = 15-4, 19 x 32 = 15-23, 19 x 33 = 16-3, 19 x 34 = 16-22, 19 x 35 = 17-2, 19 x 36 = 17-21, 19 x 37 = 18-1, 19 x 38 = 18-20, 
20 x 1 = 0-20, 20 x 2 = 1-1, 20 x 3 = 1-21, 20 x 4 = 2-2, 20 x 5 = 2-22, 20 x 6 = 3-3, 20 x 7 = 3-23, 20 x 8 = 4-4, 20 x 9 = 4-24, 20 x 10 = 5-5, 20 x 11 = 5-25, 20 x 12 = 6-6, 20 x 13 = 6-26, 20 x 14 = 7-7, 20 x 15 = 7-27, 20 x 16 = 8-8, 20 x 17 = 8-28, 20 x 18 = 9-9, 20 x 19 = 9-29, 20 x 20 = 10-10, 20 x 21 = 10-30, 20 x 22 = 11-11, 20 x 23 = 11-31, 20 x 24 = 12-12, 20 x 25 = 12-32, 20 x 26 = 13-13, 20 x 27 = 13-33, 20 x 28 = 14-14, 20 x 29 = 14-34, 20 x 30 = 15-15, 20 x 31 = 15-35, 20 x 32 = 16-16, 20 x 33 = 16-36, 20 x 34 = 17-17, 20 x 35 = 17-37, 20 x 36 = 18-18, 20 x 37 = 18-38, 20 x 38 = 19-19, 
21 x 1 = 0-21, 21 x 2 = 1-3, 21 x 3 = 1-24, 21 x 4 = 2-6, 21 x 5 = 2-27, 21 x 6 = 3-9, 21 x 7 = 3-30, 21 x 8 = 4-12, 21 x 9 = 4-33, 21 x 10 = 5-15, 21 x 11 = 5-36, 21 x 12 = 6-18, 21 x 13 = 7-0, 21 x 14 = 7-21, 21 x 15 = 8-3, 21 x 16 = 8-24, 21 x 17 = 9-6, 21 x 18 = 9-27, 21 x 19 = 10-9, 21 x 20 = 10-30, 21 x 21 = 11-12, 21 x 22 = 11-33, 21 x 23 = 12-15, 21 x 24 = 12-36, 21 x 25 = 13-18, 21 x 26 = 14-0, 21 x 27 = 14-21, 21 x 28 = 15-3, 21 x 29 = 15-24, 21 x 30 = 16-6, 21 x 31 = 16-27, 21 x 32 = 17-9, 21 x 33 = 17-30, 21 x 34 = 18-12, 21 x 35 = 18-33, 21 x 36 = 19-15, 21 x 37 = 19-36, 21 x 38 = 20-18, 
22 x 1 = 0-22, 22 x 2 = 1-5, 22 x 3 = 1-27, 22 x 4 = 2-10, 22 x 5 = 2-32, 22 x 6 = 3-15, 22 x 7 = 3-37, 22 x 8 = 4-20, 22 x 9 = 5-3, 22 x 10 = 5-25, 22 x 11 = 6-8, 22 x 12 = 6-30, 22 x 13 = 7-13, 22 x 14 = 7-35, 22 x 15 = 8-18, 22 x 16 = 9-1, 22 x 17 = 9-23, 22 x 18 = 10-6, 22 x 19 = 10-28, 22 x 20 = 11-11, 22 x 21 = 11-33, 22 x 22 = 12-16, 22 x 23 = 12-38, 22 x 24 = 13-21, 22 x 25 = 14-4, 22 x 26 = 14-26, 22 x 27 = 15-9, 22 x 28 = 15-31, 22 x 29 = 16-14, 22 x 30 = 16-36, 22 x 31 = 17-19, 22 x 32 = 18-2, 22 x 33 = 18-24, 22 x 34 = 19-7, 22 x 35 = 19-29, 22 x 36 = 20-12, 22 x 37 = 20-34, 22 x 38 = 21-17, 
23 x 1 = 0-23, 23 x 2 = 1-7, 23 x 3 = 1-30, 23 x 4 = 2-14, 23 x 5 = 2-37, 23 x 6 = 3-21, 23 x 7 = 4-5, 23 x 8 = 4-28, 23 x 9 = 5-12, 23 x 10 = 5-35, 23 x 11 = 6-19, 23 x 12 = 7-3, 23 x 13 = 7-26, 23 x 14 = 8-10, 23 x 15 = 8-33, 23 x 16 = 9-17, 23 x 17 = 10-1, 23 x 18 = 10-24, 23 x 19 = 11-8, 23 x 20 = 11-31, 23 x 21 = 12-15, 23 x 22 = 12-38, 23 x 23 = 13-22, 23 x 24 = 14-6, 23 x 25 = 14-29, 23 x 26 = 15-13, 23 x 27 = 15-36, 23 x 28 = 16-20, 23 x 29 = 17-4, 23 x 30 = 17-27, 23 x 31 = 18-11, 23 x 32 = 18-34, 23 x 33 = 19-18, 23 x 34 = 20-2, 23 x 35 = 20-25, 23 x 36 = 21-9, 23 x 37 = 21-32, 23 x 38 = 22-16, 
24 x 1 = 0-24, 24 x 2 = 1-9, 24 x 3 = 1-33, 24 x 4 = 2-18, 24 x 5 = 3-3, 24 x 6 = 3-27, 24 x 7 = 4-12, 24 x 8 = 4-36, 24 x 9 = 5-21, 24 x 10 = 6-6, 24 x 11 = 6-30, 24 x 12 = 7-15, 24 x 13 = 8-0, 24 x 14 = 8-24, 24 x 15 = 9-9, 24 x 16 = 9-33, 24 x 17 = 10-18, 24 x 18 = 11-3, 24 x 19 = 11-27, 24 x 20 = 12-12, 24 x 21 = 12-36, 24 x 22 = 13-21, 24 x 23 = 14-6, 24 x 24 = 14-30, 24 x 25 = 15-15, 24 x 26 = 16-0, 24 x 27 = 16-24, 24 x 28 = 17-9, 24 x 29 = 17-33, 24 x 30 = 18-18, 24 x 31 = 19-3, 24 x 32 = 19-27, 24 x 33 = 20-12, 24 x 34 = 20-36, 24 x 35 = 21-21, 24 x 36 = 22-6, 24 x 37 = 22-30, 24 x 38 = 23-15, 
25 x 1 = 0-25, 25 x 2 = 1-11, 25 x 3 = 1-36, 25 x 4 = 2-22, 25 x 5 = 3-8, 25 x 6 = 3-33, 25 x 7 = 4-19, 25 x 8 = 5-5, 25 x 9 = 5-30, 25 x 10 = 6-16, 25 x 11 = 7-2, 25 x 12 = 7-27, 25 x 13 = 8-13, 25 x 14 = 8-38, 25 x 15 = 9-24, 25 x 16 = 10-10, 25 x 17 = 10-35, 25 x 18 = 11-21, 25 x 19 = 12-7, 25 x 20 = 12-32, 25 x 21 = 13-18, 25 x 22 = 14-4, 25 x 23 = 14-29, 25 x 24 = 15-15, 25 x 25 = 16-1, 25 x 26 = 16-26, 25 x 27 = 17-12, 25 x 28 = 17-37, 25 x 29 = 18-23, 25 x 30 = 19-9, 25 x 31 = 19-34, 25 x 32 = 20-20, 25 x 33 = 21-6, 25 x 34 = 21-31, 25 x 35 = 22-17, 25 x 36 = 23-3, 25 x 37 = 23-28, 25 x 38 = 24-14, 
26 x 1 = 0-26, 26 x 2 = 1-13, 26 x 3 = 2-0, 26 x 4 = 2-26, 26 x 5 = 3-13, 26 x 6 = 4-0, 26 x 7 = 4-26, 26 x 8 = 5-13, 26 x 9 = 6-0, 26 x 10 = 6-26, 26 x 11 = 7-13, 26 x 12 = 8-0, 26 x 13 = 8-26, 26 x 14 = 9-13, 26 x 15 = 10-0, 26 x 16 = 10-26, 26 x 17 = 11-13, 26 x 18 = 12-0, 26 x 19 = 12-26, 26 x 20 = 13-13, 26 x 21 = 14-0, 26 x 22 = 14-26, 26 x 23 = 15-13, 26 x 24 = 16-0, 26 x 25 = 16-26, 26 x 26 = 17-13, 26 x 27 = 18-0, 26 x 28 = 18-26, 26 x 29 = 19-13, 26 x 30 = 20-0, 26 x 31 = 20-26, 26 x 32 = 21-13, 26 x 33 = 22-0, 26 x 34 = 22-26, 26 x 35 = 23-13, 26 x 36 = 24-0, 26 x 37 = 24-26, 26 x 38 = 25-13, 
27 x 1 = 0-27, 27 x 2 = 1-15, 27 x 3 = 2-3, 27 x 4 = 2-30, 27 x 5 = 3-18, 27 x 6 = 4-6, 27 x 7 = 4-33, 27 x 8 = 5-21, 27 x 9 = 6-9, 27 x 10 = 6-36, 27 x 11 = 7-24, 27 x 12 = 8-12, 27 x 13 = 9-0, 27 x 14 = 9-27, 27 x 15 = 10-15, 27 x 16 = 11-3, 27 x 17 = 11-30, 27 x 18 = 12-18, 27 x 19 = 13-6, 27 x 20 = 13-33, 27 x 21 = 14-21, 27 x 22 = 15-9, 27 x 23 = 15-36, 27 x 24 = 16-24, 27 x 25 = 17-12, 27 x 26 = 18-0, 27 x 27 = 18-27, 27 x 28 = 19-15, 27 x 29 = 20-3, 27 x 30 = 20-30, 27 x 31 = 21-18, 27 x 32 = 22-6, 27 x 33 = 22-33, 27 x 34 = 23-21, 27 x 35 = 24-9, 27 x 36 = 24-36, 27 x 37 = 25-24, 27 x 38 = 26-12, 
28 x 1 = 0-28, 28 x 2 = 1-17, 28 x 3 = 2-6, 28 x 4 = 2-34, 28 x 5 = 3-23, 28 x 6 = 4-12, 28 x 7 = 5-1, 28 x 8 = 5-29, 28 x 9 = 6-18, 28 x 10 = 7-7, 28 x 11 = 7-35, 28 x 12 = 8-24, 28 x 13 = 9-13, 28 x 14 = 10-2, 28 x 15 = 10-30, 28 x 16 = 11-19, 28 x 17 = 12-8, 28 x 18 = 12-36, 28 x 19 = 13-25, 28 x 20 = 14-14, 28 x 21 = 15-3, 28 x 22 = 15-31, 28 x 23 = 16-20, 28 x 24 = 17-9, 28 x 25 = 17-37, 28 x 26 = 18-26, 28 x 27 = 19-15, 28 x 28 = 20-4, 28 x 29 = 20-32, 28 x 30 = 21-21, 28 x 31 = 22-10, 28 x 32 = 22-38, 28 x 33 = 23-27, 28 x 34 = 24-16, 28 x 35 = 25-5, 28 x 36 = 25-33, 28 x 37 = 26-22, 28 x 38 = 27-11, 
