0-1 x 0-1 = 0-1, 0-1 x 0-2 = 0-2, 0-1 x 0-3 = 0-3, 0-1 x 0-4 = 0-4, 0-1 x 0-5 = 0-5, 0-1 x 0-6 = 0-6, 0-1 x 0-7 = 0-7, 0-1 x 0-8 = 0-8, 0-1 x 0-9 = 0-9, 0-1 x 0-10 = 0-10, 0-1 x 0-11 = 0-11, 0-1 x 0-12 = 0-12, 0-1 x 0-13 = 0-13, 0-1 x 0-14 = 0-14, 0-1 x 0-15 = 0-15, 0-1 x 0-16 = 0-16, 0-1 x 0-17 = 0-17, 0-1 x 0-18 = 0-18, 0-1 x 0-19 = 0-19, 0-1 x 0-20 = 0-20, 0-1 x 0-21 = 0-21, 0-1 x 0-22 = 0-22, 0-1 x 0-23 = 0-23, 0-1 x 0-24 = 0-24, 0-1 x 0-25 = 0-25, 0-1 x 0-26 = 0-26, 0-1 x 0-27 = 0-27, 0-1 x 0-28 = 0-28, 0-1 x 0-29 = 0-29, 0-1 x 0-30 = 0-30, 0-1 x 0-31 = 0-31, 0-1 x 0-32 = 0-32, 0-1 x 0-33 = 0-33, 0-1 x 0-34 = 0-34, 0-1 x 0-35 = 0-35, 0-1 x 0-36 = 0-36, 0-1 x 0-37 = 0-37, 0-1 x 0-38 = 0-38, 0-1 x 0-39 = 0-39, 0-1 x 0-40 = 0-40, 0-1 x 0-41 = 0-41, 0-1 x 0-42 = 0-42, 0-1 x 0-43 = 0-43, 0-1 x 0-44 = 0-44, 0-1 x 0-45 = 0-45, 0-1 x 0-46 = 0-46, 0-1 x 0-47 = 0-47, 0-1 x 0-48 = 0-48, 0-1 x 0-49 = 0-49, 0-1 x 0-50 = 0-50, 0-1 x 0-51 = 0-51, 0-1 x 0-52 = 0-52, 0-1 x 0-53 = 0-53, 0-1 x 0-54 = 0-54, 0-1 x 0-55 = 0-55, 0-1 x 0-56 = 0-56, 0-1 x 0-57 = 0-57, 0-1 x 0-58 = 0-58, 0-1 x 0-59 = 0-59, 0-1 x 0-60 = 0-60, 0-1 x 0-61 = 0-61, 0-1 x 0-62 = 0-62, 0-1 x 0-63 = 0-63, 0-1 x 0-64 = 0-64, 0-1 x 0-65 = 0-65, 0-1 x 0-66 = 0-66, 0-1 x 0-67 = 0-67, 0-1 x 0-68 = 0-68, 
0-2 x 0-1 = 0-2, 0-2 x 0-2 = 0-4, 0-2 x 0-3 = 0-6, 0-2 x 0-4 = 0-8, 0-2 x 0-5 = 0-10, 0-2 x 0-6 = 0-12, 0-2 x 0-7 = 0-14, 0-2 x 0-8 = 0-16, 0-2 x 0-9 = 0-18, 0-2 x 0-10 = 0-20, 0-2 x 0-11 = 0-22, 0-2 x 0-12 = 0-24, 0-2 x 0-13 = 0-26, 0-2 x 0-14 = 0-28, 0-2 x 0-15 = 0-30, 0-2 x 0-16 = 0-32, 0-2 x 0-17 = 0-34, 0-2 x 0-18 = 0-36, 0-2 x 0-19 = 0-38, 0-2 x 0-20 = 0-40, 0-2 x 0-21 = 0-42, 0-2 x 0-22 = 0-44, 0-2 x 0-23 = 0-46, 0-2 x 0-24 = 0-48, 0-2 x 0-25 = 0-50, 0-2 x 0-26 = 0-52, 0-2 x 0-27 = 0-54, 0-2 x 0-28 = 0-56, 0-2 x 0-29 = 0-58, 0-2 x 0-30 = 0-60, 0-2 x 0-31 = 0-62, 0-2 x 0-32 = 0-64, 0-2 x 0-33 = 0-66, 0-2 x 0-34 = 0-68, 0-2 x 0-35 = 1-1, 0-2 x 0-36 = 1-3, 0-2 x 0-37 = 1-5, 0-2 x 0-38 = 1-7, 0-2 x 0-39 = 1-9, 0-2 x 0-40 = 1-11, 0-2 x 0-41 = 1-13, 0-2 x 0-42 = 1-15, 0-2 x 0-43 = 1-17, 0-2 x 0-44 = 1-19, 0-2 x 0-45 = 1-21, 0-2 x 0-46 = 1-23, 0-2 x 0-47 = 1-25, 0-2 x 0-48 = 1-27, 0-2 x 0-49 = 1-29, 0-2 x 0-50 = 1-31, 0-2 x 0-51 = 1-33, 0-2 x 0-52 = 1-35, 0-2 x 0-53 = 1-37, 0-2 x 0-54 = 1-39, 0-2 x 0-55 = 1-41, 0-2 x 0-56 = 1-43, 0-2 x 0-57 = 1-45, 0-2 x 0-58 = 1-47, 0-2 x 0-59 = 1-49, 0-2 x 0-60 = 1-51, 0-2 x 0-61 = 1-53, 0-2 x 0-62 = 1-55, 0-2 x 0-63 = 1-57, 0-2 x 0-64 = 1-59, 0-2 x 0-65 = 1-61, 0-2 x 0-66 = 1-63, 0-2 x 0-67 = 1-65, 0-2 x 0-68 = 1-67, 
0-3 x 0-1 = 0-3, 0-3 x 0-2 = 0-6, 0-3 x 0-3 = 0-9, 0-3 x 0-4 = 0-12, 0-3 x 0-5 = 0-15, 0-3 x 0-6 = 0-18, 0-3 x 0-7 = 0-21, 0-3 x 0-8 = 0-24, 0-3 x 0-9 = 0-27, 0-3 x 0-10 = 0-30, 0-3 x 0-11 = 0-33, 0-3 x 0-12 = 0-36, 0-3 x 0-13 = 0-39, 0-3 x 0-14 = 0-42, 0-3 x 0-15 = 0-45, 0-3 x 0-16 = 0-48, 0-3 x 0-17 = 0-51, 0-3 x 0-18 = 0-54, 0-3 x 0-19 = 0-57, 0-3 x 0-20 = 0-60, 0-3 x 0-21 = 0-63, 0-3 x 0-22 = 0-66, 0-3 x 0-23 = 1-0, 0-3 x 0-24 = 1-3, 0-3 x 0-25 = 1-6, 0-3 x 0-26 = 1-9, 0-3 x 0-27 = 1-12, 0-3 x 0-28 = 1-15, 0-3 x 0-29 = 1-18, 0-3 x 0-30 = 1-21, 0-3 x 0-31 = 1-24, 0-3 x 0-32 = 1-27, 0-3 x 0-33 = 1-30, 0-3 x 0-34 = 1-33, 0-3 x 0-35 = 1-36, 0-3 x 0-36 = 1-39, 0-3 x 0-37 = 1-42, 0-3 x 0-38 = 1-45, 0-3 x 0-39 = 1-48, 0-3 x 0-40 = 1-51, 0-3 x 0-41 = 1-54, 0-3 x 0-42 = 1-57, 0-3 x 0-43 = 1-60, 0-3 x 0-44 = 1-63, 0-3 x 0-45 = 1-66, 0-3 x 0-46 = 2-0, 0-3 x 0-47 = 2-3, 0-3 x 0-48 = 2-6, 0-3 x 0-49 = 2-9, 0-3 x 0-50 = 2-12, 0-3 x 0-51 = 2-15, 0-3 x 0-52 = 2-18, 0-3 x 0-53 = 2-21, 0-3 x 0-54 = 2-24, 0-3 x 0-55 = 2-27, 0-3 x 0-56 = 2-30, 0-3 x 0-57 = 2-33, 0-3 x 0-58 = 2-36, 0-3 x 0-59 = 2-39, 0-3 x 0-60 = 2-42, 0-3 x 0-61 = 2-45, 0-3 x 0-62 = 2-48, 0-3 x 0-63 = 2-51, 0-3 x 0-64 = 2-54, 0-3 x 0-65 = 2-57, 0-3 x 0-66 = 2-60, 0-3 x 0-67 = 2-63, 0-3 x 0-68 = 2-66, 
0-4 x 0-1 = 0-4, 0-4 x 0-2 = 0-8, 0-4 x 0-3 = 0-12, 0-4 x 0-4 = 0-16, 0-4 x 0-5 = 0-20, 0-4 x 0-6 = 0-24, 0-4 x 0-7 = 0-28, 0-4 x 0-8 = 0-32, 0-4 x 0-9 = 0-36, 0-4 x 0-10 = 0-40, 0-4 x 0-11 = 0-44, 0-4 x 0-12 = 0-48, 0-4 x 0-13 = 0-52, 0-4 x 0-14 = 0-56, 0-4 x 0-15 = 0-60, 0-4 x 0-16 = 0-64, 0-4 x 0-17 = 0-68, 0-4 x 0-18 = 1-3, 0-4 x 0-19 = 1-7, 0-4 x 0-20 = 1-11, 0-4 x 0-21 = 1-15, 0-4 x 0-22 = 1-19, 0-4 x 0-23 = 1-23, 0-4 x 0-24 = 1-27, 0-4 x 0-25 = 1-31, 0-4 x 0-26 = 1-35, 0-4 x 0-27 = 1-39, 0-4 x 0-28 = 1-43, 0-4 x 0-29 = 1-47, 0-4 x 0-30 = 1-51, 0-4 x 0-31 = 1-55, 0-4 x 0-32 = 1-59, 0-4 x 0-33 = 1-63, 0-4 x 0-34 = 1-67, 0-4 x 0-35 = 2-2, 0-4 x 0-36 = 2-6, 0-4 x 0-37 = 2-10, 0-4 x 0-38 = 2-14, 0-4 x 0-39 = 2-18, 0-4 x 0-40 = 2-22, 0-4 x 0-41 = 2-26, 0-4 x 0-42 = 2-30, 0-4 x 0-43 = 2-34, 0-4 x 0-44 = 2-38, 0-4 x 0-45 = 2-42, 0-4 x 0-46 = 2-46, 0-4 x 0-47 = 2-50, 0-4 x 0-48 = 2-54, 0-4 x 0-49 = 2-58, 0-4 x 0-50 = 2-62, 0-4 x 0-51 = 2-66, 0-4 x 0-52 = 3-1, 0-4 x 0-53 = 3-5, 0-4 x 0-54 = 3-9, 0-4 x 0-55 = 3-13, 0-4 x 0-56 = 3-17, 0-4 x 0-57 = 3-21, 0-4 x 0-58 = 3-25, 0-4 x 0-59 = 3-29, 0-4 x 0-60 = 3-33, 0-4 x 0-61 = 3-37, 0-4 x 0-62 = 3-41, 0-4 x 0-63 = 3-45, 0-4 x 0-64 = 3-49, 0-4 x 0-65 = 3-53, 0-4 x 0-66 = 3-57, 0-4 x 0-67 = 3-61, 0-4 x 0-68 = 3-65, 
0-5 x 0-1 = 0-5, 0-5 x 0-2 = 0-10, 0-5 x 0-3 = 0-15, 0-5 x 0-4 = 0-20, 0-5 x 0-5 = 0-25, 0-5 x 0-6 = 0-30, 0-5 x 0-7 = 0-35, 0-5 x 0-8 = 0-40, 0-5 x 0-9 = 0-45, 0-5 x 0-10 = 0-50, 0-5 x 0-11 = 0-55, 0-5 x 0-12 = 0-60, 0-5 x 0-13 = 0-65, 0-5 x 0-14 = 1-1, 0-5 x 0-15 = 1-6, 0-5 x 0-16 = 1-11, 0-5 x 0-17 = 1-16, 0-5 x 0-18 = 1-21, 0-5 x 0-19 = 1-26, 0-5 x 0-20 = 1-31, 0-5 x 0-21 = 1-36, 0-5 x 0-22 = 1-41, 0-5 x 0-23 = 1-46, 0-5 x 0-24 = 1-51, 0-5 x 0-25 = 1-56, 0-5 x 0-26 = 1-61, 0-5 x 0-27 = 1-66, 0-5 x 0-28 = 2-2, 0-5 x 0-29 = 2-7, 0-5 x 0-30 = 2-12, 0-5 x 0-31 = 2-17, 0-5 x 0-32 = 2-22, 0-5 x 0-33 = 2-27, 0-5 x 0-34 = 2-32, 0-5 x 0-35 = 2-37, 0-5 x 0-36 = 2-42, 0-5 x 0-37 = 2-47, 0-5 x 0-38 = 2-52, 0-5 x 0-39 = 2-57, 0-5 x 0-40 = 2-62, 0-5 x 0-41 = 2-67, 0-5 x 0-42 = 3-3, 0-5 x 0-43 = 3-8, 0-5 x 0-44 = 3-13, 0-5 x 0-45 = 3-18, 0-5 x 0-46 = 3-23, 0-5 x 0-47 = 3-28, 0-5 x 0-48 = 3-33, 0-5 x 0-49 = 3-38, 0-5 x 0-50 = 3-43, 0-5 x 0-51 = 3-48, 0-5 x 0-52 = 3-53, 0-5 x 0-53 = 3-58, 0-5 x 0-54 = 3-63, 0-5 x 0-55 = 3-68, 0-5 x 0-56 = 4-4, 0-5 x 0-57 = 4-9, 0-5 x 0-58 = 4-14, 0-5 x 0-59 = 4-19, 0-5 x 0-60 = 4-24, 0-5 x 0-61 = 4-29, 0-5 x 0-62 = 4-34, 0-5 x 0-63 = 4-39, 0-5 x 0-64 = 4-44, 0-5 x 0-65 = 4-49, 0-5 x 0-66 = 4-54, 0-5 x 0-67 = 4-59, 0-5 x 0-68 = 4-64, 
0-6 x 0-1 = 0-6, 0-6 x 0-2 = 0-12, 0-6 x 0-3 = 0-18, 0-6 x 0-4 = 0-24, 0-6 x 0-5 = 0-30, 0-6 x 0-6 = 0-36, 0-6 x 0-7 = 0-42, 0-6 x 0-8 = 0-48, 0-6 x 0-9 = 0-54, 0-6 x 0-10 = 0-60, 0-6 x 0-11 = 0-66, 0-6 x 0-12 = 1-3, 0-6 x 0-13 = 1-9, 0-6 x 0-14 = 1-15, 0-6 x 0-15 = 1-21, 0-6 x 0-16 = 1-27, 0-6 x 0-17 = 1-33, 0-6 x 0-18 = 1-39, 0-6 x 0-19 = 1-45, 0-6 x 0-20 = 1-51, 0-6 x 0-21 = 1-57, 0-6 x 0-22 = 1-63, 0-6 x 0-23 = 2-0, 0-6 x 0-24 = 2-6, 0-6 x 0-25 = 2-12, 0-6 x 0-26 = 2-18, 0-6 x 0-27 = 2-24, 0-6 x 0-28 = 2-30, 0-6 x 0-29 = 2-36, 0-6 x 0-30 = 2-42, 0-6 x 0-31 = 2-48, 0-6 x 0-32 = 2-54, 0-6 x 0-33 = 2-60, 0-6 x 0-34 = 2-66, 0-6 x 0-35 = 3-3, 0-6 x 0-36 = 3-9, 0-6 x 0-37 = 3-15, 0-6 x 0-38 = 3-21, 0-6 x 0-39 = 3-27, 0-6 x 0-40 = 3-33, 0-6 x 0-41 = 3-39, 0-6 x 0-42 = 3-45, 0-6 x 0-43 = 3-51, 0-6 x 0-44 = 3-57, 0-6 x 0-45 = 3-63, 0-6 x 0-46 = 4-0, 0-6 x 0-47 = 4-6, 0-6 x 0-48 = 4-12, 0-6 x 0-49 = 4-18, 0-6 x 0-50 = 4-24, 0-6 x 0-51 = 4-30, 0-6 x 0-52 = 4-36, 0-6 x 0-53 = 4-42, 0-6 x 0-54 = 4-48, 0-6 x 0-55 = 4-54, 0-6 x 0-56 = 4-60, 0-6 x 0-57 = 4-66, 0-6 x 0-58 = 5-3, 0-6 x 0-59 = 5-9, 0-6 x 0-60 = 5-15, 0-6 x 0-61 = 5-21, 0-6 x 0-62 = 5-27, 0-6 x 0-63 = 5-33, 0-6 x 0-64 = 5-39, 0-6 x 0-65 = 5-45, 0-6 x 0-66 = 5-51, 0-6 x 0-67 = 5-57, 0-6 x 0-68 = 5-63, 
0-7 x 0-1 = 0-7, 0-7 x 0-2 = 0-14, 0-7 x 0-3 = 0-21, 0-7 x 0-4 = 0-28, 0-7 x 0-5 = 0-35, 0-7 x 0-6 = 0-42, 0-7 x 0-7 = 0-49, 0-7 x 0-8 = 0-56, 0-7 x 0-9 = 0-63, 0-7 x 0-10 = 1-1, 0-7 x 0-11 = 1-8, 0-7 x 0-12 = 1-15, 0-7 x 0-13 = 1-22, 0-7 x 0-14 = 1-29, 0-7 x 0-15 = 1-36, 0-7 x 0-16 = 1-43, 0-7 x 0-17 = 1-50, 0-7 x 0-18 = 1-57, 0-7 x 0-19 = 1-64, 0-7 x 0-20 = 2-2, 0-7 x 0-21 = 2-9, 0-7 x 0-22 = 2-16, 0-7 x 0-23 = 2-23, 0-7 x 0-24 = 2-30, 0-7 x 0-25 = 2-37, 0-7 x 0-26 = 2-44, 0-7 x 0-27 = 2-51, 0-7 x 0-28 = 2-58, 0-7 x 0-29 = 2-65, 0-7 x 0-30 = 3-3, 0-7 x 0-31 = 3-10, 0-7 x 0-32 = 3-17, 0-7 x 0-33 = 3-24, 0-7 x 0-34 = 3-31, 0-7 x 0-35 = 3-38, 0-7 x 0-36 = 3-45, 0-7 x 0-37 = 3-52, 0-7 x 0-38 = 3-59, 0-7 x 0-39 = 3-66, 0-7 x 0-40 = 4-4, 0-7 x 0-41 = 4-11, 0-7 x 0-42 = 4-18, 0-7 x 0-43 = 4-25, 0-7 x 0-44 = 4-32, 0-7 x 0-45 = 4-39, 0-7 x 0-46 = 4-46, 0-7 x 0-47 = 4-53, 0-7 x 0-48 = 4-60, 0-7 x 0-49 = 4-67, 0-7 x 0-50 = 5-5, 0-7 x 0-51 = 5-12, 0-7 x 0-52 = 5-19, 0-7 x 0-53 = 5-26, 0-7 x 0-54 = 5-33, 0-7 x 0-55 = 5-40, 0-7 x 0-56 = 5-47, 0-7 x 0-57 = 5-54, 0-7 x 0-58 = 5-61, 0-7 x 0-59 = 5-68, 0-7 x 0-60 = 6-6, 0-7 x 0-61 = 6-13, 0-7 x 0-62 = 6-20, 0-7 x 0-63 = 6-27, 0-7 x 0-64 = 6-34, 0-7 x 0-65 = 6-41, 0-7 x 0-66 = 6-48, 0-7 x 0-67 = 6-55, 0-7 x 0-68 = 6-62, 
0-8 x 0-1 = 0-8, 0-8 x 0-2 = 0-16, 0-8 x 0-3 = 0-24, 0-8 x 0-4 = 0-32, 0-8 x 0-5 = 0-40, 0-8 x 0-6 = 0-48, 0-8 x 0-7 = 0-56, 0-8 x 0-8 = 0-64, 0-8 x 0-9 = 1-3, 0-8 x 0-10 = 1-11, 0-8 x 0-11 = 1-19, 0-8 x 0-12 = 1-27, 0-8 x 0-13 = 1-35, 0-8 x 0-14 = 1-43, 0-8 x 0-15 = 1-51, 0-8 x 0-16 = 1-59, 0-8 x 0-17 = 1-67, 0-8 x 0-18 = 2-6, 0-8 x 0-19 = 2-14, 0-8 x 0-20 = 2-22, 0-8 x 0-21 = 2-30, 0-8 x 0-22 = 2-38, 0-8 x 0-23 = 2-46, 0-8 x 0-24 = 2-54, 0-8 x 0-25 = 2-62, 0-8 x 0-26 = 3-1, 0-8 x 0-27 = 3-9, 0-8 x 0-28 = 3-17, 0-8 x 0-29 = 3-25, 0-8 x 0-30 = 3-33, 0-8 x 0-31 = 3-41, 0-8 x 0-32 = 3-49, 0-8 x 0-33 = 3-57, 0-8 x 0-34 = 3-65, 0-8 x 0-35 = 4-4, 0-8 x 0-36 = 4-12, 0-8 x 0-37 = 4-20, 0-8 x 0-38 = 4-28, 0-8 x 0-39 = 4-36, 0-8 x 0-40 = 4-44, 0-8 x 0-41 = 4-52, 0-8 x 0-42 = 4-60, 0-8 x 0-43 = 4-68, 0-8 x 0-44 = 5-7, 0-8 x 0-45 = 5-15, 0-8 x 0-46 = 5-23, 0-8 x 0-47 = 5-31, 0-8 x 0-48 = 5-39, 0-8 x 0-49 = 5-47, 0-8 x 0-50 = 5-55, 0-8 x 0-51 = 5-63, 0-8 x 0-52 = 6-2, 0-8 x 0-53 = 6-10, 0-8 x 0-54 = 6-18, 0-8 x 0-55 = 6-26, 0-8 x 0-56 = 6-34, 0-8 x 0-57 = 6-42, 0-8 x 0-58 = 6-50, 0-8 x 0-59 = 6-58, 0-8 x 0-60 = 6-66, 0-8 x 0-61 = 7-5, 0-8 x 0-62 = 7-13, 0-8 x 0-63 = 7-21, 0-8 x 0-64 = 7-29, 0-8 x 0-65 = 7-37, 0-8 x 0-66 = 7-45, 0-8 x 0-67 = 7-53, 0-8 x 0-68 = 7-61, 
0-9 x 0-1 = 0-9, 0-9 x 0-2 = 0-18, 0-9 x 0-3 = 0-27, 0-9 x 0-4 = 0-36, 0-9 x 0-5 = 0-45, 0-9 x 0-6 = 0-54, 0-9 x 0-7 = 0-63, 0-9 x 0-8 = 1-3, 0-9 x 0-9 = 1-12, 0-9 x 0-10 = 1-21, 0-9 x 0-11 = 1-30, 0-9 x 0-12 = 1-39, 0-9 x 0-13 = 1-48, 0-9 x 0-14 = 1-57, 0-9 x 0-15 = 1-66, 0-9 x 0-16 = 2-6, 0-9 x 0-17 = 2-15, 0-9 x 0-18 = 2-24, 0-9 x 0-19 = 2-33, 0-9 x 0-20 = 2-42, 0-9 x 0-21 = 2-51, 0-9 x 0-22 = 2-60, 0-9 x 0-23 = 3-0, 0-9 x 0-24 = 3-9, 0-9 x 0-25 = 3-18, 0-9 x 0-26 = 3-27, 0-9 x 0-27 = 3-36, 0-9 x 0-28 = 3-45, 0-9 x 0-29 = 3-54, 0-9 x 0-30 = 3-63, 0-9 x 0-31 = 4-3, 0-9 x 0-32 = 4-12, 0-9 x 0-33 = 4-21, 0-9 x 0-34 = 4-30, 0-9 x 0-35 = 4-39, 0-9 x 0-36 = 4-48, 0-9 x 0-37 = 4-57, 0-9 x 0-38 = 4-66, 0-9 x 0-39 = 5-6, 0-9 x 0-40 = 5-15, 0-9 x 0-41 = 5-24, 0-9 x 0-42 = 5-33, 0-9 x 0-43 = 5-42, 0-9 x 0-44 = 5-51, 0-9 x 0-45 = 5-60, 0-9 x 0-46 = 6-0, 0-9 x 0-47 = 6-9, 0-9 x 0-48 = 6-18, 0-9 x 0-49 = 6-27, 0-9 x 0-50 = 6-36, 0-9 x 0-51 = 6-45, 0-9 x 0-52 = 6-54, 0-9 x 0-53 = 6-63, 0-9 x 0-54 = 7-3, 0-9 x 0-55 = 7-12, 0-9 x 0-56 = 7-21, 0-9 x 0-57 = 7-30, 0-9 x 0-58 = 7-39, 0-9 x 0-59 = 7-48, 0-9 x 0-60 = 7-57, 0-9 x 0-61 = 7-66, 0-9 x 0-62 = 8-6, 0-9 x 0-63 = 8-15, 0-9 x 0-64 = 8-24, 0-9 x 0-65 = 8-33, 0-9 x 0-66 = 8-42, 0-9 x 0-67 = 8-51, 0-9 x 0-68 = 8-60, 
0-10 x 0-1 = 0-10, 0-10 x 0-2 = 0-20, 0-10 x 0-3 = 0-30, 0-10 x 0-4 = 0-40, 0-10 x 0-5 = 0-50, 0-10 x 0-6 = 0-60, 0-10 x 0-7 = 1-1, 0-10 x 0-8 = 1-11, 0-10 x 0-9 = 1-21, 0-10 x 0-10 = 1-31, 0-10 x 0-11 = 1-41, 0-10 x 0-12 = 1-51, 0-10 x 0-13 = 1-61, 0-10 x 0-14 = 2-2, 0-10 x 0-15 = 2-12, 0-10 x 0-16 = 2-22, 0-10 x 0-17 = 2-32, 0-10 x 0-18 = 2-42, 0-10 x 0-19 = 2-52, 0-10 x 0-20 = 2-62, 0-10 x 0-21 = 3-3, 0-10 x 0-22 = 3-13, 0-10 x 0-23 = 3-23, 0-10 x 0-24 = 3-33, 0-10 x 0-25 = 3-43, 0-10 x 0-26 = 3-53, 0-10 x 0-27 = 3-63, 0-10 x 0-28 = 4-4, 0-10 x 0-29 = 4-14, 0-10 x 0-30 = 4-24, 0-10 x 0-31 = 4-34, 0-10 x 0-32 = 4-44, 0-10 x 0-33 = 4-54, 0-10 x 0-34 = 4-64, 0-10 x 0-35 = 5-5, 0-10 x 0-36 = 5-15, 0-10 x 0-37 = 5-25, 0-10 x 0-38 = 5-35, 0-10 x 0-39 = 5-45, 0-10 x 0-40 = 5-55, 0-10 x 0-41 = 5-65, 0-10 x 0-42 = 6-6, 0-10 x 0-43 = 6-16, 0-10 x 0-44 = 6-26, 0-10 x 0-45 = 6-36, 0-10 x 0-46 = 6-46, 0-10 x 0-47 = 6-56, 0-10 x 0-48 = 6-66, 0-10 x 0-49 = 7-7, 0-10 x 0-50 = 7-17, 0-10 x 0-51 = 7-27, 0-10 x 0-52 = 7-37, 0-10 x 0-53 = 7-47, 0-10 x 0-54 = 7-57, 0-10 x 0-55 = 7-67, 0-10 x 0-56 = 8-8, 0-10 x 0-57 = 8-18, 0-10 x 0-58 = 8-28, 0-10 x 0-59 = 8-38, 0-10 x 0-60 = 8-48, 0-10 x 0-61 = 8-58, 0-10 x 0-62 = 8-68, 0-10 x 0-63 = 9-9, 0-10 x 0-64 = 9-19, 0-10 x 0-65 = 9-29, 0-10 x 0-66 = 9-39, 0-10 x 0-67 = 9-49, 0-10 x 0-68 = 9-59, 
