11 x 1 = 0-11, 11 x 2 = 0-22, 11 x 3 = 0-33, 11 x 4 = 1-2, 11 x 5 = 1-13, 11 x 6 = 1-24, 11 x 7 = 1-35, 11 x 8 = 2-4, 11 x 9 = 2-15, 11 x 10 = 2-26, 11 x 11 = 2-37, 11 x 12 = 3-6, 11 x 13 = 3-17, 11 x 14 = 3-28, 11 x 15 = 3-39, 11 x 16 = 4-8, 11 x 17 = 4-19, 11 x 18 = 4-30, 11 x 19 = 4-41, 11 x 20 = 5-10, 11 x 21 = 5-21, 11 x 22 = 5-32, 11 x 23 = 6-1, 11 x 24 = 6-12, 11 x 25 = 6-23, 11 x 26 = 6-34, 11 x 27 = 7-3, 11 x 28 = 7-14, 11 x 29 = 7-25, 11 x 30 = 7-36, 11 x 31 = 8-5, 11 x 32 = 8-16, 11 x 33 = 8-27, 11 x 34 = 8-38, 11 x 35 = 9-7, 11 x 36 = 9-18, 11 x 37 = 9-29, 11 x 38 = 9-40, 11 x 39 = 10-9, 11 x 40 = 10-20, 11 x 41 = 10-31, 
12 x 1 = 0-12, 12 x 2 = 0-24, 12 x 3 = 0-36, 12 x 4 = 1-6, 12 x 5 = 1-18, 12 x 6 = 1-30, 12 x 7 = 2-0, 12 x 8 = 2-12, 12 x 9 = 2-24, 12 x 10 = 2-36, 12 x 11 = 3-6, 12 x 12 = 3-18, 12 x 13 = 3-30, 12 x 14 = 4-0, 12 x 15 = 4-12, 12 x 16 = 4-24, 12 x 17 = 4-36, 12 x 18 = 5-6, 12 x 19 = 5-18, 12 x 20 = 5-30, 12 x 21 = 6-0, 12 x 22 = 6-12, 12 x 23 = 6-24, 12 x 24 = 6-36, 12 x 25 = 7-6, 12 x 26 = 7-18, 12 x 27 = 7-30, 12 x 28 = 8-0, 12 x 29 = 8-12, 12 x 30 = 8-24, 12 x 31 = 8-36, 12 x 32 = 9-6, 12 x 33 = 9-18, 12 x 34 = 9-30, 12 x 35 = 10-0, 12 x 36 = 10-12, 12 x 37 = 10-24, 12 x 38 = 10-36, 12 x 39 = 11-6, 12 x 40 = 11-18, 12 x 41 = 11-30, 
13 x 1 = 0-13, 13 x 2 = 0-26, 13 x 3 = 0-39, 13 x 4 = 1-10, 13 x 5 = 1-23, 13 x 6 = 1-36, 13 x 7 = 2-7, 13 x 8 = 2-20, 13 x 9 = 2-33, 13 x 10 = 3-4, 13 x 11 = 3-17, 13 x 12 = 3-30, 13 x 13 = 4-1, 13 x 14 = 4-14, 13 x 15 = 4-27, 13 x 16 = 4-40, 13 x 17 = 5-11, 13 x 18 = 5-24, 13 x 19 = 5-37, 13 x 20 = 6-8, 13 x 21 = 6-21, 13 x 22 = 6-34, 13 x 23 = 7-5, 13 x 24 = 7-18, 13 x 25 = 7-31, 13 x 26 = 8-2, 13 x 27 = 8-15, 13 x 28 = 8-28, 13 x 29 = 8-41, 13 x 30 = 9-12, 13 x 31 = 9-25, 13 x 32 = 9-38, 13 x 33 = 10-9, 13 x 34 = 10-22, 13 x 35 = 10-35, 13 x 36 = 11-6, 13 x 37 = 11-19, 13 x 38 = 11-32, 13 x 39 = 12-3, 13 x 40 = 12-16, 13 x 41 = 12-29, 
14 x 1 = 0-14, 14 x 2 = 0-28, 14 x 3 = 1-0, 14 x 4 = 1-14, 14 x 5 = 1-28, 14 x 6 = 2-0, 14 x 7 = 2-14, 14 x 8 = 2-28, 14 x 9 = 3-0, 14 x 10 = 3-14, 14 x 11 = 3-28, 14 x 12 = 4-0, 14 x 13 = 4-14, 14 x 14 = 4-28, 14 x 15 = 5-0, 14 x 16 = 5-14, 14 x 17 = 5-28, 14 x 18 = 6-0, 14 x 19 = 6-14, 14 x 20 = 6-28, 14 x 21 = 7-0, 14 x 22 = 7-14, 14 x 23 = 7-28, 14 x 24 = 8-0, 14 x 25 = 8-14, 14 x 26 = 8-28, 14 x 27 = 9-0, 14 x 28 = 9-14, 14 x 29 = 9-28, 14 x 30 = 10-0, 14 x 31 = 10-14, 14 x 32 = 10-28, 14 x 33 = 11-0, 14 x 34 = 11-14, 14 x 35 = 11-28, 14 x 36 = 12-0, 14 x 37 = 12-14, 14 x 38 = 12-28, 14 x 39 = 13-0, 14 x 40 = 13-14, 14 x 41 = 13-28, 
15 x 1 = 0-15, 15 x 2 = 0-30, 15 x 3 = 1-3, 15 x 4 = 1-18, 15 x 5 = 1-33, 15 x 6 = 2-6, 15 x 7 = 2-21, 15 x 8 = 2-36, 15 x 9 = 3-9, 15 x 10 = 3-24, 15 x 11 = 3-39, 15 x 12 = 4-12, 15 x 13 = 4-27, 15 x 14 = 5-0, 15 x 15 = 5-15, 15 x 16 = 5-30, 15 x 17 = 6-3, 15 x 18 = 6-18, 15 x 19 = 6-33, 15 x 20 = 7-6, 15 x 21 = 7-21, 15 x 22 = 7-36, 15 x 23 = 8-9, 15 x 24 = 8-24, 15 x 25 = 8-39, 15 x 26 = 9-12, 15 x 27 = 9-27, 15 x 28 = 10-0, 15 x 29 = 10-15, 15 x 30 = 10-30, 15 x 31 = 11-3, 15 x 32 = 11-18, 15 x 33 = 11-33, 15 x 34 = 12-6, 15 x 35 = 12-21, 15 x 36 = 12-36, 15 x 37 = 13-9, 15 x 38 = 13-24, 15 x 39 = 13-39, 15 x 40 = 14-12, 15 x 41 = 14-27, 
16 x 1 = 0-16, 16 x 2 = 0-32, 16 x 3 = 1-6, 16 x 4 = 1-22, 16 x 5 = 1-38, 16 x 6 = 2-12, 16 x 7 = 2-28, 16 x 8 = 3-2, 16 x 9 = 3-18, 16 x 10 = 3-34, 16 x 11 = 4-8, 16 x 12 = 4-24, 16 x 13 = 4-40, 16 x 14 = 5-14, 16 x 15 = 5-30, 16 x 16 = 6-4, 16 x 17 = 6-20, 16 x 18 = 6-36, 16 x 19 = 7-10, 16 x 20 = 7-26, 16 x 21 = 8-0, 16 x 22 = 8-16, 16 x 23 = 8-32, 16 x 24 = 9-6, 16 x 25 = 9-22, 16 x 26 = 9-38, 16 x 27 = 10-12, 16 x 28 = 10-28, 16 x 29 = 11-2, 16 x 30 = 11-18, 16 x 31 = 11-34, 16 x 32 = 12-8, 16 x 33 = 12-24, 16 x 34 = 12-40, 16 x 35 = 13-14, 16 x 36 = 13-30, 16 x 37 = 14-4, 16 x 38 = 14-20, 16 x 39 = 14-36, 16 x 40 = 15-10, 16 x 41 = 15-26, 
17 x 1 = 0-17, 17 x 2 = 0-34, 17 x 3 = 1-9, 17 x 4 = 1-26, 17 x 5 = 2-1, 17 x 6 = 2-18, 17 x 7 = 2-35, 17 x 8 = 3-10, 17 x 9 = 3-27, 17 x 10 = 4-2, 17 x 11 = 4-19, 17 x 12 = 4-36, 17 x 13 = 5-11, 17 x 14 = 5-28, 17 x 15 = 6-3, 17 x 16 = 6-20, 17 x 17 = 6-37, 17 x 18 = 7-12, 17 x 19 = 7-29, 17 x 20 = 8-4, 17 x 21 = 8-21, 17 x 22 = 8-38, 17 x 23 = 9-13, 17 x 24 = 9-30, 17 x 25 = 10-5, 17 x 26 = 10-22, 17 x 27 = 10-39, 17 x 28 = 11-14, 17 x 29 = 11-31, 17 x 30 = 12-6, 17 x 31 = 12-23, 17 x 32 = 12-40, 17 x 33 = 13-15, 17 x 34 = 13-32, 17 x 35 = 14-7, 17 x 36 = 14-24, 17 x 37 = 14-41, 17 x 38 = 15-16, 17 x 39 = 15-33, 17 x 40 = 16-8, 17 x 41 = 16-25, 
18 x 1 = 0-18, 18 x 2 = 0-36, 18 x 3 = 1-12, 18 x 4 = 1-30, 18 x 5 = 2-6, 18 x 6 = 2-24, 18 x 7 = 3-0, 18 x 8 = 3-18, 18 x 9 = 3-36, 18 x 10 = 4-12, 18 x 11 = 4-30, 18 x 12 = 5-6, 18 x 13 = 5-24, 18 x 14 = 6-0, 18 x 15 = 6-18, 18 x 16 = 6-36, 18 x 17 = 7-12, 18 x 18 = 7-30, 18 x 19 = 8-6, 18 x 20 = 8-24, 18 x 21 = 9-0, 18 x 22 = 9-18, 18 x 23 = 9-36, 18 x 24 = 10-12, 18 x 25 = 10-30, 18 x 26 = 11-6, 18 x 27 = 11-24, 18 x 28 = 12-0, 18 x 29 = 12-18, 18 x 30 = 12-36, 18 x 31 = 13-12, 18 x 32 = 13-30, 18 x 33 = 14-6, 18 x 34 = 14-24, 18 x 35 = 15-0, 18 x 36 = 15-18, 18 x 37 = 15-36, 18 x 38 = 16-12, 18 x 39 = 16-30, 18 x 40 = 17-6, 18 x 41 = 17-24, 
19 x 1 = 0-19, 19 x 2 = 0-38, 19 x 3 = 1-15, 19 x 4 = 1-34, 19 x 5 = 2-11, 19 x 6 = 2-30, 19 x 7 = 3-7, 19 x 8 = 3-26, 19 x 9 = 4-3, 19 x 10 = 4-22, 19 x 11 = 4-41, 19 x 12 = 5-18, 19 x 13 = 5-37, 19 x 14 = 6-14, 19 x 15 = 6-33, 19 x 16 = 7-10, 19 x 17 = 7-29, 19 x 18 = 8-6, 19 x 19 = 8-25, 19 x 20 = 9-2, 19 x 21 = 9-21, 19 x 22 = 9-40, 19 x 23 = 10-17, 19 x 24 = 10-36, 19 x 25 = 11-13, 19 x 26 = 11-32, 19 x 27 = 12-9, 19 x 28 = 12-28, 19 x 29 = 13-5, 19 x 30 = 13-24, 19 x 31 = 14-1, 19 x 32 = 14-20, 19 x 33 = 14-39, 19 x 34 = 15-16, 19 x 35 = 15-35, 19 x 36 = 16-12, 19 x 37 = 16-31, 19 x 38 = 17-8, 19 x 39 = 17-27, 19 x 40 = 18-4, 19 x 41 = 18-23, 
20 x 1 = 0-20, 20 x 2 = 0-40, 20 x 3 = 1-18, 20 x 4 = 1-38, 20 x 5 = 2-16, 20 x 6 = 2-36, 20 x 7 = 3-14, 20 x 8 = 3-34, 20 x 9 = 4-12, 20 x 10 = 4-32, 20 x 11 = 5-10, 20 x 12 = 5-30, 20 x 13 = 6-8, 20 x 14 = 6-28, 20 x 15 = 7-6, 20 x 16 = 7-26, 20 x 17 = 8-4, 20 x 18 = 8-24, 20 x 19 = 9-2, 20 x 20 = 9-22, 20 x 21 = 10-0, 20 x 22 = 10-20, 20 x 23 = 10-40, 20 x 24 = 11-18, 20 x 25 = 11-38, 20 x 26 = 12-16, 20 x 27 = 12-36, 20 x 28 = 13-14, 20 x 29 = 13-34, 20 x 30 = 14-12, 20 x 31 = 14-32, 20 x 32 = 15-10, 20 x 33 = 15-30, 20 x 34 = 16-8, 20 x 35 = 16-28, 20 x 36 = 17-6, 20 x 37 = 17-26, 20 x 38 = 18-4, 20 x 39 = 18-24, 20 x 40 = 19-2, 20 x 41 = 19-22, 
21 x 1 = 0-21, 21 x 2 = 1-0, 21 x 3 = 1-21, 21 x 4 = 2-0, 21 x 5 = 2-21, 21 x 6 = 3-0, 21 x 7 = 3-21, 21 x 8 = 4-0, 21 x 9 = 4-21, 21 x 10 = 5-0, 21 x 11 = 5-21, 21 x 12 = 6-0, 21 x 13 = 6-21, 21 x 14 = 7-0, 21 x 15 = 7-21, 21 x 16 = 8-0, 21 x 17 = 8-21, 21 x 18 = 9-0, 21 x 19 = 9-21, 21 x 20 = 10-0, 21 x 21 = 10-21, 21 x 22 = 11-0, 21 x 23 = 11-21, 21 x 24 = 12-0, 21 x 25 = 12-21, 21 x 26 = 13-0, 21 x 27 = 13-21, 21 x 28 = 14-0, 21 x 29 = 14-21, 21 x 30 = 15-0, 21 x 31 = 15-21, 21 x 32 = 16-0, 21 x 33 = 16-21, 21 x 34 = 17-0, 21 x 35 = 17-21, 21 x 36 = 18-0, 21 x 37 = 18-21, 21 x 38 = 19-0, 21 x 39 = 19-21, 21 x 40 = 20-0, 21 x 41 = 20-21, 
22 x 1 = 0-22, 22 x 2 = 1-2, 22 x 3 = 1-24, 22 x 4 = 2-4, 22 x 5 = 2-26, 22 x 6 = 3-6, 22 x 7 = 3-28, 22 x 8 = 4-8, 22 x 9 = 4-30, 22 x 10 = 5-10, 22 x 11 = 5-32, 22 x 12 = 6-12, 22 x 13 = 6-34, 22 x 14 = 7-14, 22 x 15 = 7-36, 22 x 16 = 8-16, 22 x 17 = 8-38, 22 x 18 = 9-18, 22 x 19 = 9-40, 22 x 20 = 10-20, 22 x 21 = 11-0, 22 x 22 = 11-22, 22 x 23 = 12-2, 22 x 24 = 12-24, 22 x 25 = 13-4, 22 x 26 = 13-26, 22 x 27 = 14-6, 22 x 28 = 14-28, 22 x 29 = 15-8, 22 x 30 = 15-30, 22 x 31 = 16-10, 22 x 32 = 16-32, 22 x 33 = 17-12, 22 x 34 = 17-34, 22 x 35 = 18-14, 22 x 36 = 18-36, 22 x 37 = 19-16, 22 x 38 = 19-38, 22 x 39 = 20-18, 22 x 40 = 20-40, 22 x 41 = 21-20, 
23 x 1 = 0-23, 23 x 2 = 1-4, 23 x 3 = 1-27, 23 x 4 = 2-8, 23 x 5 = 2-31, 23 x 6 = 3-12, 23 x 7 = 3-35, 23 x 8 = 4-16, 23 x 9 = 4-39, 23 x 10 = 5-20, 23 x 11 = 6-1, 23 x 12 = 6-24, 23 x 13 = 7-5, 23 x 14 = 7-28, 23 x 15 = 8-9, 23 x 16 = 8-32, 23 x 17 = 9-13, 23 x 18 = 9-36, 23 x 19 = 10-17, 23 x 20 = 10-40, 23 x 21 = 11-21, 23 x 22 = 12-2, 23 x 23 = 12-25, 23 x 24 = 13-6, 23 x 25 = 13-29, 23 x 26 = 14-10, 23 x 27 = 14-33, 23 x 28 = 15-14, 23 x 29 = 15-37, 23 x 30 = 16-18, 23 x 31 = 16-41, 23 x 32 = 17-22, 23 x 33 = 18-3, 23 x 34 = 18-26, 23 x 35 = 19-7, 23 x 36 = 19-30, 23 x 37 = 20-11, 23 x 38 = 20-34, 23 x 39 = 21-15, 23 x 40 = 21-38, 23 x 41 = 22-19, 
24 x 1 = 0-24, 24 x 2 = 1-6, 24 x 3 = 1-30, 24 x 4 = 2-12, 24 x 5 = 2-36, 24 x 6 = 3-18, 24 x 7 = 4-0, 24 x 8 = 4-24, 24 x 9 = 5-6, 24 x 10 = 5-30, 24 x 11 = 6-12, 24 x 12 = 6-36, 24 x 13 = 7-18, 24 x 14 = 8-0, 24 x 15 = 8-24, 24 x 16 = 9-6, 24 x 17 = 9-30, 24 x 18 = 10-12, 24 x 19 = 10-36, 24 x 20 = 11-18, 24 x 21 = 12-0, 24 x 22 = 12-24, 24 x 23 = 13-6, 24 x 24 = 13-30, 24 x 25 = 14-12, 24 x 26 = 14-36, 24 x 27 = 15-18, 24 x 28 = 16-0, 24 x 29 = 16-24, 24 x 30 = 17-6, 24 x 31 = 17-30, 24 x 32 = 18-12, 24 x 33 = 18-36, 24 x 34 = 19-18, 24 x 35 = 20-0, 24 x 36 = 20-24, 24 x 37 = 21-6, 24 x 38 = 21-30, 24 x 39 = 22-12, 24 x 40 = 22-36, 24 x 41 = 23-18, 
25 x 1 = 0-25, 25 x 2 = 1-8, 25 x 3 = 1-33, 25 x 4 = 2-16, 25 x 5 = 2-41, 25 x 6 = 3-24, 25 x 7 = 4-7, 25 x 8 = 4-32, 25 x 9 = 5-15, 25 x 10 = 5-40, 25 x 11 = 6-23, 25 x 12 = 7-6, 25 x 13 = 7-31, 25 x 14 = 8-14, 25 x 15 = 8-39, 25 x 16 = 9-22, 25 x 17 = 10-5, 25 x 18 = 10-30, 25 x 19 = 11-13, 25 x 20 = 11-38, 25 x 21 = 12-21, 25 x 22 = 13-4, 25 x 23 = 13-29, 25 x 24 = 14-12, 25 x 25 = 14-37, 25 x 26 = 15-20, 25 x 27 = 16-3, 25 x 28 = 16-28, 25 x 29 = 17-11, 25 x 30 = 17-36, 25 x 31 = 18-19, 25 x 32 = 19-2, 25 x 33 = 19-27, 25 x 34 = 20-10, 25 x 35 = 20-35, 25 x 36 = 21-18, 25 x 37 = 22-1, 25 x 38 = 22-26, 25 x 39 = 23-9, 25 x 40 = 23-34, 25 x 41 = 24-17, 
26 x 1 = 0-26, 26 x 2 = 1-10, 26 x 3 = 1-36, 26 x 4 = 2-20, 26 x 5 = 3-4, 26 x 6 = 3-30, 26 x 7 = 4-14, 26 x 8 = 4-40, 26 x 9 = 5-24, 26 x 10 = 6-8, 26 x 11 = 6-34, 26 x 12 = 7-18, 26 x 13 = 8-2, 26 x 14 = 8-28, 26 x 15 = 9-12, 26 x 16 = 9-38, 26 x 17 = 10-22, 26 x 18 = 11-6, 26 x 19 = 11-32, 26 x 20 = 12-16, 26 x 21 = 13-0, 26 x 22 = 13-26, 26 x 23 = 14-10, 26 x 24 = 14-36, 26 x 25 = 15-20, 26 x 26 = 16-4, 26 x 27 = 16-30, 26 x 28 = 17-14, 26 x 29 = 17-40, 26 x 30 = 18-24, 26 x 31 = 19-8, 26 x 32 = 19-34, 26 x 33 = 20-18, 26 x 34 = 21-2, 26 x 35 = 21-28, 26 x 36 = 22-12, 26 x 37 = 22-38, 26 x 38 = 23-22, 26 x 39 = 24-6, 26 x 40 = 24-32, 26 x 41 = 25-16, 
