11 x 1 = 0-11, 11 x 2 = 1-0, 11 x 3 = 1-11, 11 x 4 = 2-0, 11 x 5 = 2-11, 11 x 6 = 3-0, 11 x 7 = 3-11, 11 x 8 = 4-0, 11 x 9 = 4-11, 11 x 10 = 5-0, 11 x 11 = 5-11, 11 x 12 = 6-0, 11 x 13 = 6-11, 11 x 14 = 7-0, 11 x 15 = 7-11, 11 x 16 = 8-0, 11 x 17 = 8-11, 11 x 18 = 9-0, 11 x 19 = 9-11, 11 x 20 = 10-0, 11 x 21 = 10-11, 
12 x 1 = 0-12, 12 x 2 = 1-2, 12 x 3 = 1-14, 12 x 4 = 2-4, 12 x 5 = 2-16, 12 x 6 = 3-6, 12 x 7 = 3-18, 12 x 8 = 4-8, 12 x 9 = 4-20, 12 x 10 = 5-10, 12 x 11 = 6-0, 12 x 12 = 6-12, 12 x 13 = 7-2, 12 x 14 = 7-14, 12 x 15 = 8-4, 12 x 16 = 8-16, 12 x 17 = 9-6, 12 x 18 = 9-18, 12 x 19 = 10-8, 12 x 20 = 10-20, 12 x 21 = 11-10, 
13 x 1 = 0-13, 13 x 2 = 1-4, 13 x 3 = 1-17, 13 x 4 = 2-8, 13 x 5 = 2-21, 13 x 6 = 3-12, 13 x 7 = 4-3, 13 x 8 = 4-16, 13 x 9 = 5-7, 13 x 10 = 5-20, 13 x 11 = 6-11, 13 x 12 = 7-2, 13 x 13 = 7-15, 13 x 14 = 8-6, 13 x 15 = 8-19, 13 x 16 = 9-10, 13 x 17 = 10-1, 13 x 18 = 10-14, 13 x 19 = 11-5, 13 x 20 = 11-18, 13 x 21 = 12-9, 
14 x 1 = 0-14, 14 x 2 = 1-6, 14 x 3 = 1-20, 14 x 4 = 2-12, 14 x 5 = 3-4, 14 x 6 = 3-18, 14 x 7 = 4-10, 14 x 8 = 5-2, 14 x 9 = 5-16, 14 x 10 = 6-8, 14 x 11 = 7-0, 14 x 12 = 7-14, 14 x 13 = 8-6, 14 x 14 = 8-20, 14 x 15 = 9-12, 14 x 16 = 10-4, 14 x 17 = 10-18, 14 x 18 = 11-10, 14 x 19 = 12-2, 14 x 20 = 12-16, 14 x 21 = 13-8, 
15 x 1 = 0-15, 15 x 2 = 1-8, 15 x 3 = 2-1, 15 x 4 = 2-16, 15 x 5 = 3-9, 15 x 6 = 4-2, 15 x 7 = 4-17, 15 x 8 = 5-10, 15 x 9 = 6-3, 15 x 10 = 6-18, 15 x 11 = 7-11, 15 x 12 = 8-4, 15 x 13 = 8-19, 15 x 14 = 9-12, 15 x 15 = 10-5, 15 x 16 = 10-20, 15 x 17 = 11-13, 15 x 18 = 12-6, 15 x 19 = 12-21, 15 x 20 = 13-14, 15 x 21 = 14-7, 
16 x 1 = 0-16, 16 x 2 = 1-10, 16 x 3 = 2-4, 16 x 4 = 2-20, 16 x 5 = 3-14, 16 x 6 = 4-8, 16 x 7 = 5-2, 16 x 8 = 5-18, 16 x 9 = 6-12, 16 x 10 = 7-6, 16 x 11 = 8-0, 16 x 12 = 8-16, 16 x 13 = 9-10, 16 x 14 = 10-4, 16 x 15 = 10-20, 16 x 16 = 11-14, 16 x 17 = 12-8, 16 x 18 = 13-2, 16 x 19 = 13-18, 16 x 20 = 14-12, 16 x 21 = 15-6, 
17 x 1 = 0-17, 17 x 2 = 1-12, 17 x 3 = 2-7, 17 x 4 = 3-2, 17 x 5 = 3-19, 17 x 6 = 4-14, 17 x 7 = 5-9, 17 x 8 = 6-4, 17 x 9 = 6-21, 17 x 10 = 7-16, 17 x 11 = 8-11, 17 x 12 = 9-6, 17 x 13 = 10-1, 17 x 14 = 10-18, 17 x 15 = 11-13, 17 x 16 = 12-8, 17 x 17 = 13-3, 17 x 18 = 13-20, 17 x 19 = 14-15, 17 x 20 = 15-10, 17 x 21 = 16-5, 
18 x 1 = 0-18, 18 x 2 = 1-14, 18 x 3 = 2-10, 18 x 4 = 3-6, 18 x 5 = 4-2, 18 x 6 = 4-20, 18 x 7 = 5-16, 18 x 8 = 6-12, 18 x 9 = 7-8, 18 x 10 = 8-4, 18 x 11 = 9-0, 18 x 12 = 9-18, 18 x 13 = 10-14, 18 x 14 = 11-10, 18 x 15 = 12-6, 18 x 16 = 13-2, 18 x 17 = 13-20, 18 x 18 = 14-16, 18 x 19 = 15-12, 18 x 20 = 16-8, 18 x 21 = 17-4, 
19 x 1 = 0-19, 19 x 2 = 1-16, 19 x 3 = 2-13, 19 x 4 = 3-10, 19 x 5 = 4-7, 19 x 6 = 5-4, 19 x 7 = 6-1, 19 x 8 = 6-20, 19 x 9 = 7-17, 19 x 10 = 8-14, 19 x 11 = 9-11, 19 x 12 = 10-8, 19 x 13 = 11-5, 19 x 14 = 12-2, 19 x 15 = 12-21, 19 x 16 = 13-18, 19 x 17 = 14-15, 19 x 18 = 15-12, 19 x 19 = 16-9, 19 x 20 = 17-6, 19 x 21 = 18-3, 
20 x 1 = 0-20, 20 x 2 = 1-18, 20 x 3 = 2-16, 20 x 4 = 3-14, 20 x 5 = 4-12, 20 x 6 = 5-10, 20 x 7 = 6-8, 20 x 8 = 7-6, 20 x 9 = 8-4, 20 x 10 = 9-2, 20 x 11 = 10-0, 20 x 12 = 10-20, 20 x 13 = 11-18, 20 x 14 = 12-16, 20 x 15 = 13-14, 20 x 16 = 14-12, 20 x 17 = 15-10, 20 x 18 = 16-8, 20 x 19 = 17-6, 20 x 20 = 18-4, 20 x 21 = 19-2, 
21 x 1 = 0-21, 21 x 2 = 1-20, 21 x 3 = 2-19, 21 x 4 = 3-18, 21 x 5 = 4-17, 21 x 6 = 5-16, 21 x 7 = 6-15, 21 x 8 = 7-14, 21 x 9 = 8-13, 21 x 10 = 9-12, 21 x 11 = 10-11, 21 x 12 = 11-10, 21 x 13 = 12-9, 21 x 14 = 13-8, 21 x 15 = 14-7, 21 x 16 = 15-6, 21 x 17 = 16-5, 21 x 18 = 17-4, 21 x 19 = 18-3, 21 x 20 = 19-2, 21 x 21 = 20-1, 
