17 x 1 = 0-17, 17 x 2 = 1-3, 17 x 3 = 1-20, 17 x 4 = 2-6, 17 x 5 = 2-23, 17 x 6 = 3-9, 17 x 7 = 3-26, 17 x 8 = 4-12, 17 x 9 = 4-29, 17 x 10 = 5-15, 17 x 11 = 6-1, 17 x 12 = 6-18, 17 x 13 = 7-4, 17 x 14 = 7-21, 17 x 15 = 8-7, 17 x 16 = 8-24, 17 x 17 = 9-10, 17 x 18 = 9-27, 17 x 19 = 10-13, 17 x 20 = 10-30, 17 x 21 = 11-16, 17 x 22 = 12-2, 17 x 23 = 12-19, 17 x 24 = 13-5, 17 x 25 = 13-22, 17 x 26 = 14-8, 17 x 27 = 14-25, 17 x 28 = 15-11, 17 x 29 = 15-28, 17 x 30 = 16-14, 
18 x 1 = 0-18, 18 x 2 = 1-5, 18 x 3 = 1-23, 18 x 4 = 2-10, 18 x 5 = 2-28, 18 x 6 = 3-15, 18 x 7 = 4-2, 18 x 8 = 4-20, 18 x 9 = 5-7, 18 x 10 = 5-25, 18 x 11 = 6-12, 18 x 12 = 6-30, 18 x 13 = 7-17, 18 x 14 = 8-4, 18 x 15 = 8-22, 18 x 16 = 9-9, 18 x 17 = 9-27, 18 x 18 = 10-14, 18 x 19 = 11-1, 18 x 20 = 11-19, 18 x 21 = 12-6, 18 x 22 = 12-24, 18 x 23 = 13-11, 18 x 24 = 13-29, 18 x 25 = 14-16, 18 x 26 = 15-3, 18 x 27 = 15-21, 18 x 28 = 16-8, 18 x 29 = 16-26, 18 x 30 = 17-13, 
19 x 1 = 0-19, 19 x 2 = 1-7, 19 x 3 = 1-26, 19 x 4 = 2-14, 19 x 5 = 3-2, 19 x 6 = 3-21, 19 x 7 = 4-9, 19 x 8 = 4-28, 19 x 9 = 5-16, 19 x 10 = 6-4, 19 x 11 = 6-23, 19 x 12 = 7-11, 19 x 13 = 7-30, 19 x 14 = 8-18, 19 x 15 = 9-6, 19 x 16 = 9-25, 19 x 17 = 10-13, 19 x 18 = 11-1, 19 x 19 = 11-20, 19 x 20 = 12-8, 19 x 21 = 12-27, 19 x 22 = 13-15, 19 x 23 = 14-3, 19 x 24 = 14-22, 19 x 25 = 15-10, 19 x 26 = 15-29, 19 x 27 = 16-17, 19 x 28 = 17-5, 19 x 29 = 17-24, 19 x 30 = 18-12, 
20 x 1 = 0-20, 20 x 2 = 1-9, 20 x 3 = 1-29, 20 x 4 = 2-18, 20 x 5 = 3-7, 20 x 6 = 3-27, 20 x 7 = 4-16, 20 x 8 = 5-5, 20 x 9 = 5-25, 20 x 10 = 6-14, 20 x 11 = 7-3, 20 x 12 = 7-23, 20 x 13 = 8-12, 20 x 14 = 9-1, 20 x 15 = 9-21, 20 x 16 = 10-10, 20 x 17 = 10-30, 20 x 18 = 11-19, 20 x 19 = 12-8, 20 x 20 = 12-28, 20 x 21 = 13-17, 20 x 22 = 14-6, 20 x 23 = 14-26, 20 x 24 = 15-15, 20 x 25 = 16-4, 20 x 26 = 16-24, 20 x 27 = 17-13, 20 x 28 = 18-2, 20 x 29 = 18-22, 20 x 30 = 19-11, 
21 x 1 = 0-21, 21 x 2 = 1-11, 21 x 3 = 2-1, 21 x 4 = 2-22, 21 x 5 = 3-12, 21 x 6 = 4-2, 21 x 7 = 4-23, 21 x 8 = 5-13, 21 x 9 = 6-3, 21 x 10 = 6-24, 21 x 11 = 7-14, 21 x 12 = 8-4, 21 x 13 = 8-25, 21 x 14 = 9-15, 21 x 15 = 10-5, 21 x 16 = 10-26, 21 x 17 = 11-16, 21 x 18 = 12-6, 21 x 19 = 12-27, 21 x 20 = 13-17, 21 x 21 = 14-7, 21 x 22 = 14-28, 21 x 23 = 15-18, 21 x 24 = 16-8, 21 x 25 = 16-29, 21 x 26 = 17-19, 21 x 27 = 18-9, 21 x 28 = 18-30, 21 x 29 = 19-20, 21 x 30 = 20-10, 
22 x 1 = 0-22, 22 x 2 = 1-13, 22 x 3 = 2-4, 22 x 4 = 2-26, 22 x 5 = 3-17, 22 x 6 = 4-8, 22 x 7 = 4-30, 22 x 8 = 5-21, 22 x 9 = 6-12, 22 x 10 = 7-3, 22 x 11 = 7-25, 22 x 12 = 8-16, 22 x 13 = 9-7, 22 x 14 = 9-29, 22 x 15 = 10-20, 22 x 16 = 11-11, 22 x 17 = 12-2, 22 x 18 = 12-24, 22 x 19 = 13-15, 22 x 20 = 14-6, 22 x 21 = 14-28, 22 x 22 = 15-19, 22 x 23 = 16-10, 22 x 24 = 17-1, 22 x 25 = 17-23, 22 x 26 = 18-14, 22 x 27 = 19-5, 22 x 28 = 19-27, 22 x 29 = 20-18, 22 x 30 = 21-9, 
23 x 1 = 0-23, 23 x 2 = 1-15, 23 x 3 = 2-7, 23 x 4 = 2-30, 23 x 5 = 3-22, 23 x 6 = 4-14, 23 x 7 = 5-6, 23 x 8 = 5-29, 23 x 9 = 6-21, 23 x 10 = 7-13, 23 x 11 = 8-5, 23 x 12 = 8-28, 23 x 13 = 9-20, 23 x 14 = 10-12, 23 x 15 = 11-4, 23 x 16 = 11-27, 23 x 17 = 12-19, 23 x 18 = 13-11, 23 x 19 = 14-3, 23 x 20 = 14-26, 23 x 21 = 15-18, 23 x 22 = 16-10, 23 x 23 = 17-2, 23 x 24 = 17-25, 23 x 25 = 18-17, 23 x 26 = 19-9, 23 x 27 = 20-1, 23 x 28 = 20-24, 23 x 29 = 21-16, 23 x 30 = 22-8, 
24 x 1 = 0-24, 24 x 2 = 1-17, 24 x 3 = 2-10, 24 x 4 = 3-3, 24 x 5 = 3-27, 24 x 6 = 4-20, 24 x 7 = 5-13, 24 x 8 = 6-6, 24 x 9 = 6-30, 24 x 10 = 7-23, 24 x 11 = 8-16, 24 x 12 = 9-9, 24 x 13 = 10-2, 24 x 14 = 10-26, 24 x 15 = 11-19, 24 x 16 = 12-12, 24 x 17 = 13-5, 24 x 18 = 13-29, 24 x 19 = 14-22, 24 x 20 = 15-15, 24 x 21 = 16-8, 24 x 22 = 17-1, 24 x 23 = 17-25, 24 x 24 = 18-18, 24 x 25 = 19-11, 24 x 26 = 20-4, 24 x 27 = 20-28, 24 x 28 = 21-21, 24 x 29 = 22-14, 24 x 30 = 23-7, 
25 x 1 = 0-25, 25 x 2 = 1-19, 25 x 3 = 2-13, 25 x 4 = 3-7, 25 x 5 = 4-1, 25 x 6 = 4-26, 25 x 7 = 5-20, 25 x 8 = 6-14, 25 x 9 = 7-8, 25 x 10 = 8-2, 25 x 11 = 8-27, 25 x 12 = 9-21, 25 x 13 = 10-15, 25 x 14 = 11-9, 25 x 15 = 12-3, 25 x 16 = 12-28, 25 x 17 = 13-22, 25 x 18 = 14-16, 25 x 19 = 15-10, 25 x 20 = 16-4, 25 x 21 = 16-29, 25 x 22 = 17-23, 25 x 23 = 18-17, 25 x 24 = 19-11, 25 x 25 = 20-5, 25 x 26 = 20-30, 25 x 27 = 21-24, 25 x 28 = 22-18, 25 x 29 = 23-12, 25 x 30 = 24-6, 
26 x 1 = 0-26, 26 x 2 = 1-21, 26 x 3 = 2-16, 26 x 4 = 3-11, 26 x 5 = 4-6, 26 x 6 = 5-1, 26 x 7 = 5-27, 26 x 8 = 6-22, 26 x 9 = 7-17, 26 x 10 = 8-12, 26 x 11 = 9-7, 26 x 12 = 10-2, 26 x 13 = 10-28, 26 x 14 = 11-23, 26 x 15 = 12-18, 26 x 16 = 13-13, 26 x 17 = 14-8, 26 x 18 = 15-3, 26 x 19 = 15-29, 26 x 20 = 16-24, 26 x 21 = 17-19, 26 x 22 = 18-14, 26 x 23 = 19-9, 26 x 24 = 20-4, 26 x 25 = 20-30, 26 x 26 = 21-25, 26 x 27 = 22-20, 26 x 28 = 23-15, 26 x 29 = 24-10, 26 x 30 = 25-5, 
27 x 1 = 0-27, 27 x 2 = 1-23, 27 x 3 = 2-19, 27 x 4 = 3-15, 27 x 5 = 4-11, 27 x 6 = 5-7, 27 x 7 = 6-3, 27 x 8 = 6-30, 27 x 9 = 7-26, 27 x 10 = 8-22, 27 x 11 = 9-18, 27 x 12 = 10-14, 27 x 13 = 11-10, 27 x 14 = 12-6, 27 x 15 = 13-2, 27 x 16 = 13-29, 27 x 17 = 14-25, 27 x 18 = 15-21, 27 x 19 = 16-17, 27 x 20 = 17-13, 27 x 21 = 18-9, 27 x 22 = 19-5, 27 x 23 = 20-1, 27 x 24 = 20-28, 27 x 25 = 21-24, 27 x 26 = 22-20, 27 x 27 = 23-16, 27 x 28 = 24-12, 27 x 29 = 25-8, 27 x 30 = 26-4, 
28 x 1 = 0-28, 28 x 2 = 1-25, 28 x 3 = 2-22, 28 x 4 = 3-19, 28 x 5 = 4-16, 28 x 6 = 5-13, 28 x 7 = 6-10, 28 x 8 = 7-7, 28 x 9 = 8-4, 28 x 10 = 9-1, 28 x 11 = 9-29, 28 x 12 = 10-26, 28 x 13 = 11-23, 28 x 14 = 12-20, 28 x 15 = 13-17, 28 x 16 = 14-14, 28 x 17 = 15-11, 28 x 18 = 16-8, 28 x 19 = 17-5, 28 x 20 = 18-2, 28 x 21 = 18-30, 28 x 22 = 19-27, 28 x 23 = 20-24, 28 x 24 = 21-21, 28 x 25 = 22-18, 28 x 26 = 23-15, 28 x 27 = 24-12, 28 x 28 = 25-9, 28 x 29 = 26-6, 28 x 30 = 27-3, 
29 x 1 = 0-29, 29 x 2 = 1-27, 29 x 3 = 2-25, 29 x 4 = 3-23, 29 x 5 = 4-21, 29 x 6 = 5-19, 29 x 7 = 6-17, 29 x 8 = 7-15, 29 x 9 = 8-13, 29 x 10 = 9-11, 29 x 11 = 10-9, 29 x 12 = 11-7, 29 x 13 = 12-5, 29 x 14 = 13-3, 29 x 15 = 14-1, 29 x 16 = 14-30, 29 x 17 = 15-28, 29 x 18 = 16-26, 29 x 19 = 17-24, 29 x 20 = 18-22, 29 x 21 = 19-20, 29 x 22 = 20-18, 29 x 23 = 21-16, 29 x 24 = 22-14, 29 x 25 = 23-12, 29 x 26 = 24-10, 29 x 27 = 25-8, 29 x 28 = 26-6, 29 x 29 = 27-4, 29 x 30 = 28-2, 
30 x 1 = 0-30, 30 x 2 = 1-29, 30 x 3 = 2-28, 30 x 4 = 3-27, 30 x 5 = 4-26, 30 x 6 = 5-25, 30 x 7 = 6-24, 30 x 8 = 7-23, 30 x 9 = 8-22, 30 x 10 = 9-21, 30 x 11 = 10-20, 30 x 12 = 11-19, 30 x 13 = 12-18, 30 x 14 = 13-17, 30 x 15 = 14-16, 30 x 16 = 15-15, 30 x 17 = 16-14, 30 x 18 = 17-13, 30 x 19 = 18-12, 30 x 20 = 19-11, 30 x 21 = 20-10, 30 x 22 = 21-9, 30 x 23 = 22-8, 30 x 24 = 23-7, 30 x 25 = 24-6, 30 x 26 = 25-5, 30 x 27 = 26-4, 30 x 28 = 27-3, 30 x 29 = 28-2, 30 x 30 = 29-1, 
